市町村コード,都道府県名,市町村名,年度,総数（人）,ポリオ（人）,不活化ポリオ（人）,四種混合（人）,二種混合（人）,MR1期（人）,MR2期（人）,MR3期（人）,MR4期（人）,三種混合（人）,日本脳炎（人）,ＢＣＧ（人）,ヒブ（人）,小児用肺炎球菌（人）,子宮頸がん予防（人）,水痘（人）,Ｂ型肝炎（人）,ロタ（人）,高齢者インフルエンザ（人）,高齢者肺炎球菌（人）
05212,秋田県,大仙市,2005(平成17),"19,433 ","1,196 ",-,-,830 ,-,-,-,-,"2,426 ",294 ,586 ,-,-,-,-,-,-,"14,101 ",-
05212,秋田県,大仙市,2006(平成18）,"20,063","1,155 ",-,-,848 ,634 ,585 ,-,-,"2,462 ",-,488 ,-,-,-,-,-,-,"13,891 ",-
05212,秋田県,大仙市,2007(平成19）,"21,649","1,155 ",-,-,800 ,674 ,682 ,-,-,"2,603 ",3 ,649 ,-,-,-,-,-,-,"15,083 ",-
05212,秋田県,大仙市,2008(平成20）,"23,968","1,287 ",-,-,723 ,528 ,621 ,741 ,810 ,"2,397 ",-,563 ,-,-,-,-,-,-,"16,298 ",-
05212,秋田県,大仙市,2009(平成21）,"18,929","1,069 ",-,-,740 ,834 ,555 ,664 ,558 ,"2,289 ",32 ,550 ,-,-,-,-,-,-,"11,638 ",-
05212,秋田県,大仙市,2010(平成22）,"24,828","1,118 ",-,-,625 ,555 ,599 ,675 ,757 ,"2,072 ","1,552 ",583 ,-,-,-,-,-,-,"16,292 ",-
05212,秋田県,大仙市,2011(平成23）,"26,596","1,034 ",-,-,683 ,546 ,576 ,638 ,736 ,"2,135 ","4,282 ",478 ,-,-,-,-,-,-,"15,488 ",-
05212,秋田県,大仙市,2012(平成24）,"26,854",387 ,"1,422 ",507 ,637 ,519 ,620 ,659 ,625 ,"1,669 ","3,894 ",511 ,-,-,-,-,-,-,"15,404 ",-
05212,秋田県,大仙市,2013(平成25）,"27,678",-,660 ,"1,603 ",674 ,509 ,606 ,-,-,500 ,"2,710 ",419 ,"2,161 ","2,070 ",199 ,-,-,-,"15,567 ",-
05212,秋田県,大仙市,2014(平成26）,"30,657",-,186 ,"1,907 ",631 ,525 ,549 ,-,-,83 ,"2,496 ",513 ,"1,986 ","1,962 ",4 ,857 ,-,-,"15,918 ","3,040 "
05212,秋田県,大仙市,2015(平成27）,"30,243",-,53 ,"2,089 ",561 ,487 ,531 ,-,-,2 ,"2,462 ",502 ,"2,044 ","2,042 ",-,953 ,-,-,"15,605 ","2,912 "
05212,秋田県,大仙市,2016(平成28）,"30,748",-,25 ,"1,958 ",571 ,501 ,567 ,-,-,-,"2,416 ",482 ,"1,882 ","1,896 ",-,862 ,738 ,-,"15,810 ","3,040 "
05212,秋田県,大仙市,2017(平成29）,"26,596",-,20 ,"1,827 ",552 ,429 ,492 ,-,-,-,"2,241 ",464 ,"1,828 ","1,852 ",-,856 ,"1,389 ",-,"11,394 ","3,252 "
05212,秋田県,大仙市,2018(平成30）,"31,085",-,7 ,"1,786 ",564 ,472 ,491 ,-,-,-,"2,591 ",429 ,"1,793 ","1,800 ",-,885 ,"1,311 ",-,"15,996 ","2,960 "
05212,秋田県,大仙市,2019(令和1）,"28,667",-,1 ,"1,595 ",561 ,420 ,514 ,-,-,-,"2,438 ",376 ,"1,514 ","1,531 ",1 ,864 ,"1,105 ",-,"16,690 ","1,057 "
05212,秋田県,大仙市,2020(令和2）,32966,-,-,"1,491 ",535 ,343 ,470 ,-,-,-,"2,533 ",364 ,"1,468 ","1,460 ",6 ,780 ,"1,068 ",400 ,"20,758 ","1,290 "
,,,,,,,,,,,,,,,,,,,,,,,
