市町村コード,都道府県名,市町村名,年度,財源区分,歳入項目,決算額（千円）
052124,秋田県,大仙市,2005(平成17),自主財源,市税,7450789
052124,秋田県,大仙市,2005(平成17),自主財源,分担金・負担金,545691
052124,秋田県,大仙市,2005(平成17),自主財源,使用料・手数料,514117
052124,秋田県,大仙市,2005(平成17),自主財源,財産収入,106134
052124,秋田県,大仙市,2005(平成17),自主財源,寄付金（含む繰入金),1956766
052124,秋田県,大仙市,2005(平成17),自主財源,繰越金,1417351
052124,秋田県,大仙市,2005(平成17),自主財源,諸収入,1352951
052124,秋田県,大仙市,2005(平成17),依存財源,地方譲与税,1344054
052124,秋田県,大仙市,2005(平成17),依存財源,利子割交付金,34645
052124,秋田県,大仙市,2005(平成17),依存財源,配当割交付金,8035
052124,秋田県,大仙市,2005(平成17),依存財源,株式等譲渡取得割交付金,10623
052124,秋田県,大仙市,2005(平成17),依存財源,法人事業税交付金,
052124,秋田県,大仙市,2005(平成17),依存財源,地方消費税交付金,870480
052124,秋田県,大仙市,2005(平成17),依存財源,ゴルフ場利用税交付金,18775
052124,秋田県,大仙市,2005(平成17),依存財源,自動車取得税交付金,300669
052124,秋田県,大仙市,2005(平成17),依存財源,環境性能割交付金,
052124,秋田県,大仙市,2005(平成17),依存財源,地方特例交付金,234771
052124,秋田県,大仙市,2005(平成17),依存財源,地方交付税,19975059
052124,秋田県,大仙市,2005(平成17),依存財源,交通安全対策特別交付金,23600
052124,秋田県,大仙市,2005(平成17),依存財源,国庫支出金,4137015
052124,秋田県,大仙市,2005(平成17),依存財源,県支出金,2430724
052124,秋田県,大仙市,2005(平成17),依存財源,市債,5578700
052124,秋田県,大仙市,2006(平成18）,自主財源,市税,7493120
052124,秋田県,大仙市,2006(平成18）,自主財源,分担金・負担金,437287
052124,秋田県,大仙市,2006(平成18）,自主財源,使用料・手数料,521920
052124,秋田県,大仙市,2006(平成18）,自主財源,財産収入,111714
052124,秋田県,大仙市,2006(平成18）,自主財源,寄付金（含む繰入金),1752048
052124,秋田県,大仙市,2006(平成18）,自主財源,繰越金,1402075
052124,秋田県,大仙市,2006(平成18）,自主財源,諸収入,1358971
052124,秋田県,大仙市,2006(平成18）,依存財源,地方譲与税,1608195
052124,秋田県,大仙市,2006(平成18）,依存財源,利子割交付金,25125
052124,秋田県,大仙市,2006(平成18）,依存財源,配当割交付金,15956
052124,秋田県,大仙市,2006(平成18）,依存財源,株式等譲渡取得割交付金,9445
052124,秋田県,大仙市,2006(平成18）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2006(平成18）,依存財源,地方消費税交付金,894873
052124,秋田県,大仙市,2006(平成18）,依存財源,ゴルフ場利用税交付金,21120
052124,秋田県,大仙市,2006(平成18）,依存財源,自動車取得税交付金,314130
052124,秋田県,大仙市,2006(平成18）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2006(平成18）,依存財源,地方特例交付金,172287
052124,秋田県,大仙市,2006(平成18）,依存財源,地方交付税,19491041
052124,秋田県,大仙市,2006(平成18）,依存財源,交通安全対策特別交付金,24187
052124,秋田県,大仙市,2006(平成18）,依存財源,国庫支出金,3983313
052124,秋田県,大仙市,2006(平成18）,依存財源,県支出金,2286761
052124,秋田県,大仙市,2006(平成18）,依存財源,市債,6066800
052124,秋田県,大仙市,2007(平成19）,自主財源,市税,8220643
052124,秋田県,大仙市,2007(平成19）,自主財源,分担金・負担金,420562
052124,秋田県,大仙市,2007(平成19）,自主財源,使用料・手数料,522856
052124,秋田県,大仙市,2007(平成19）,自主財源,財産収入,117373
052124,秋田県,大仙市,2007(平成19）,自主財源,寄付金（含む繰入金),2370332
052124,秋田県,大仙市,2007(平成19）,自主財源,繰越金,1391699
052124,秋田県,大仙市,2007(平成19）,自主財源,諸収入,1164637
052124,秋田県,大仙市,2007(平成19）,依存財源,地方譲与税,994161
052124,秋田県,大仙市,2007(平成19）,依存財源,利子割交付金,31695
052124,秋田県,大仙市,2007(平成19）,依存財源,配当割交付金,21468
052124,秋田県,大仙市,2007(平成19）,依存財源,株式等譲渡取得割交付金,9486
052124,秋田県,大仙市,2007(平成19）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2007(平成19）,依存財源,地方消費税交付金,879494
052124,秋田県,大仙市,2007(平成19）,依存財源,ゴルフ場利用税交付金,19112
052124,秋田県,大仙市,2007(平成19）,依存財源,自動車取得税交付金,279382
052124,秋田県,大仙市,2007(平成19）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2007(平成19）,依存財源,地方特例交付金,55407
052124,秋田県,大仙市,2007(平成19）,依存財源,地方交付税,19072527
052124,秋田県,大仙市,2007(平成19）,依存財源,交通安全対策特別交付金,23267
052124,秋田県,大仙市,2007(平成19）,依存財源,国庫支出金,3444967
052124,秋田県,大仙市,2007(平成19）,依存財源,県支出金,2748682
052124,秋田県,大仙市,2007(平成19）,依存財源,市債,5129221
052124,秋田県,大仙市,2008(平成20）,自主財源,市税,8133796
052124,秋田県,大仙市,2008(平成20）,自主財源,分担金・負担金,396418
052124,秋田県,大仙市,2008(平成20）,自主財源,使用料・手数料,571263
052124,秋田県,大仙市,2008(平成20）,自主財源,財産収入,107227
052124,秋田県,大仙市,2008(平成20）,自主財源,寄付金（含む繰入金),984928
052124,秋田県,大仙市,2008(平成20）,自主財源,繰越金,846638
052124,秋田県,大仙市,2008(平成20）,自主財源,諸収入,1634141
052124,秋田県,大仙市,2008(平成20）,依存財源,地方譲与税,963618
052124,秋田県,大仙市,2008(平成20）,依存財源,利子割交付金,32293
052124,秋田県,大仙市,2008(平成20）,依存財源,配当割交付金,5911
052124,秋田県,大仙市,2008(平成20）,依存財源,株式等譲渡取得割交付金,1661
052124,秋田県,大仙市,2008(平成20）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2008(平成20）,依存財源,地方消費税交付金,833807
052124,秋田県,大仙市,2008(平成20）,依存財源,ゴルフ場利用税交付金,18872
052124,秋田県,大仙市,2008(平成20）,依存財源,自動車取得税交付金,251579
052124,秋田県,大仙市,2008(平成20）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2008(平成20）,依存財源,地方特例交付金,105721
052124,秋田県,大仙市,2008(平成20）,依存財源,地方交付税,19165376
052124,秋田県,大仙市,2008(平成20）,依存財源,交通安全対策特別交付金,20652
052124,秋田県,大仙市,2008(平成20）,依存財源,国庫支出金,4145629
052124,秋田県,大仙市,2008(平成20）,依存財源,県支出金,2645838
052124,秋田県,大仙市,2008(平成20）,依存財源,市債,4415092
052124,秋田県,大仙市,2009(平成21）,自主財源,市税,7976008
052124,秋田県,大仙市,2009(平成21）,自主財源,分担金・負担金,361319
052124,秋田県,大仙市,2009(平成21）,自主財源,使用料・手数料,477753
052124,秋田県,大仙市,2009(平成21）,自主財源,財産収入,71212
052124,秋田県,大仙市,2009(平成21）,自主財源,寄付金（含む繰入金),193719
052124,秋田県,大仙市,2009(平成21）,自主財源,繰越金,1021464
052124,秋田県,大仙市,2009(平成21）,自主財源,諸収入,1507180
052124,秋田県,大仙市,2009(平成21）,依存財源,地方譲与税,904784
052124,秋田県,大仙市,2009(平成21）,依存財源,利子割交付金,28218
052124,秋田県,大仙市,2009(平成21）,依存財源,配当割交付金,5219
052124,秋田県,大仙市,2009(平成21）,依存財源,株式等譲渡取得割交付金,1948
052124,秋田県,大仙市,2009(平成21）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2009(平成21）,依存財源,地方消費税交付金,868275
052124,秋田県,大仙市,2009(平成21）,依存財源,ゴルフ場利用税交付金,19247
052124,秋田県,大仙市,2009(平成21）,依存財源,自動車取得税交付金,182093
052124,秋田県,大仙市,2009(平成21）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2009(平成21）,依存財源,地方特例交付金,117119
052124,秋田県,大仙市,2009(平成21）,依存財源,地方交付税,19702780
052124,秋田県,大仙市,2009(平成21）,依存財源,交通安全対策特別交付金,19862
052124,秋田県,大仙市,2009(平成21）,依存財源,国庫支出金,6992113
052124,秋田県,大仙市,2009(平成21）,依存財源,県支出金,2900913
052124,秋田県,大仙市,2009(平成21）,依存財源,市債,5144819
052124,秋田県,大仙市,2010(平成22）,自主財源,市税,7850450
052124,秋田県,大仙市,2010(平成22）,自主財源,分担金・負担金,357214
