市町村コード,都道府県名,市町村名,地域,年度,専用住宅（件数）,専用住宅（面積）,共同住宅（件数）,共同住宅（面積）,併用住宅（件数）,併用住宅（面積）,その他（件数）,その他（面積）,総数（件数）,総数（面積）,新築（件数）,新築（面積）,増築（件数）,増築（面積）,改築その他（件数）,改築その他（面積）,木造（件数）,木造（面積）,鉄骨他（件数）,鉄骨他（面積）
052124,秋田県,大仙市,市全域,2005(平成17),460 ,70112.21 ,10 ,2605.61 ,28 ,4196.08 ,295 ,51822.48 ,793 ,128736.38 ,479 ,88290.95 ,212 ,25028.30 ,102 ,15417.13 ,644 ,86874.67 ,149 ,41861.71 
052124,秋田県,大仙市,市全域,2006(平成18）,395 ,60100.90 ,13 ,3798.17 ,30 ,5778.17 ,263 ,73154.75 ,701 ,142831.99 ,460 ,110032.73 ,163 ,15586.92 ,78 ,17212.34 ,620 ,87473.84 ,81 ,55358.15 
052124,秋田県,大仙市,市全域,2007(平成19）,335 ,47034.07 ,31 ,20099.33 ,22 ,4185.32 ,185 ,251221.36 ,573 ,322540.08 ,371 ,232565.58 ,136 ,14611.94 ,66 ,75362.56 ,493 ,70279.04 ,80 ,252261.04 
052124,秋田県,大仙市,市全域,2008(平成20）,241 ,32658.46 ,36 ,10978.89 ,12 ,2087.66 ,151 ,26527.71 ,440 ,72252.72 ,304 ,55180.84 ,90 ,9810.75 ,46 ,7261.13 ,392 ,54968.15 ,48 ,17284.57 
052124,秋田県,大仙市,市全域,2009(平成21）,225 ,30721.21 ,25 ,5380.87 ,5 ,652.14 ,116 ,23764.71 ,371 ,60518.93 ,220 ,35771.53 ,82 ,10275.67 ,69 ,14471.73 ,323 ,44211.03 ,48 ,16307.90 
052124,秋田県,大仙市,市全域,2010(平成22）,243 ,33882.12 ,8 ,1625.50 ,9 ,1413.06 ,115 ,9311.46 ,375 ,46232.14 ,270 ,33783.81 ,58 ,5720.51 ,47 ,6727.82 ,351 ,43288.87 ,24 ,2943.27 
052124,秋田県,大仙市,市全域,2011(平成23）,243 ,33289.55 ,9 ,3388.12 ,7 ,1261.83 ,161 ,78779.68 ,420 ,116719.18 ,310 ,101812.19 ,61 ,5064.18 ,49 ,9842.81 ,372 ,53239.34 ,48 ,63479.84 
052124,秋田県,大仙市,市全域,2012(平成24）,274 ,35182.36 ,22 ,5739.95 ,11 ,949.98 ,161 ,54480.44 ,468 ,96352.73 ,365 ,86359.14 ,60 ,4108.19 ,43 ,5885.40 ,420 ,52394.37 ,48 ,43958.36 
052124,秋田県,大仙市,市全域,2013(平成25）,291 ,40047.98 ,9 ,2311.05 ,15 ,2228.39 ,127 ,8809.55 ,442 ,53396.97 ,372 ,47208.31 ,49 ,3323.89 ,21 ,2864.77 ,420 ,52508.31 ,22 ,888.66 
052124,秋田県,大仙市,市全域,2014(平成26）,255 ,33860.23 ,35 ,11905.27 ,6 ,1026.44 ,178 ,51042.50 ,474 ,97834.44 ,420 ,92932.45 ,39 ,2685.37 ,15 ,2216.62 ,409 ,55511.02 ,65 ,42323.42 
052124,秋田県,大仙市,市全域,2015(平成27）,285 ,38979.10 ,31 ,7101.36 ,6 ,749.91 ,139 ,37231.17 ,461 ,84061.54 ,399 ,67658.45 ,45 ,7887.70 ,17 ,8515.39 ,400 ,57595.30 ,61 ,26466.24 
052124,秋田県,大仙市,市全域,2016(平成28）,297 ,40433.31 ,19 ,4482.15 ,6 ,883.59 ,146 ,38825.60 ,468 ,84624.65 ,403 ,61860.60 ,54 ,21078.74 ,11 ,1685.31 ,393 ,58470.63 ,75 ,26154.02 
052124,秋田県,大仙市,市全域,2017(平成29）,259 ,33235.69 ,14 ,3116.71 ,5 ,647.75 ,163 ,106480.69 ,441 ,143480.84 ,380 ,132573.85 ,56 ,9883.61 ,5 ,1023.38 ,365 ,101780.56 ,76 ,41700.28 
052124,秋田県,大仙市,市全域,2018(平成30）,306 ,40139.30 ,14 ,3166.59 ,4 ,541.40 ,124 ,33436.28 ,448 ,77283.57 ,412 ,71552.35 ,34 ,4462.56 ,2 ,1268.66 ,381 ,53998.43 ,67 ,23285.14 
052124,秋田県,大仙市,市全域,2019(令和1）,329 ,37385.89 ,7 ,2436.80 ,3 ,304.42 ,73 ,37263.52 ,412 ,77390.63 ,298 ,65238.17 ,112 ,11549.88 ,2 ,602.58 ,354 ,59446.76 ,58 ,17943.87 
052124,秋田県,大仙市,市全域,2020(令和2）,314 ,36720.94 ,8 ,1889.62 ,3 ,362.74 ,122 ,24932.75 ,447 ,63906.05 ,341 ,43776.94 ,104 ,19451.14 ,2 ,677.97 ,336 ,43849.11 ,111 ,20056.94 
052124,秋田県,大仙市,市全域,2021(令和3）,329 ,38329.45 ,6 ,1841.28 ,2 ,165.87 ,85 ,24810.21 ,422 ,65146.81 ,306 ,41655.26 ,108 ,15066.60 ,8 ,8424.95 ,356 ,42586.43 ,66 ,22560.38 
052124,秋田県,大仙市,大曲地域,2005(平成17),205 ,28691.67 ,6 ,1151.51 ,18 ,2741.85 ,145 ,30227.44 ,374 ,62812.47 ,245 ,44037.57 ,85 ,13286.70 ,44 ,5488.20 ,263 ,32784.93 ,111 ,30027.54 
