,４月,５月,６月,７月,８月,９月,10月,11月,12月,１月,２月,３月,累計
H11年度,637,633,644,650,669,663,655,655,644,636,625,618,618
H23年度,549,609,624,616,633,634,628,624,615,603,587,584,584
H24年度,668,691,739,683,664,638,627,620,604,588,573,566,566
H25年度,566,559,555,557,567,566,563,559,555,543,531,527,527
H26年度,528,542,548,552,561,565,563,557,551,540,530,529,529
H27年度,510,526,543,544,553,553,550,548,542,531,522,517,517
H28年度,495,545,542,539,551,553,549,545,539,529,518,512,512
H29年度,471,534,547,543,555,553,552,547,534,524,512,509,509
H30年度,508,542,540,544,546,539,541,540,531,521,512,505,505
H31年度,519,546,528,533,542,543,543,538,534,524,513,509,509
R２年度,488,539,569,565,566,560,557,555,543,531,521,518,518
R３年度,537,549,557,549,560,560,551,555,543,531,520,515,515
R４年度,508,546,539,530,545,546,541,539,529,520,509,503,503
R５年度,449,503,518,532,532,526,,,,,,,526
