１６９　交　通　事　故　の　死　傷　者　数　　,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,各年間
年次,事故類型別死傷者数,,,,,,,,,事故類型別死傷者数,,,,,,１日平均死傷者数,,
,総数,,,人対車,,,自転車対車,,,車対車,,,その他,,,,,
,事故件数,死者,傷者,事故件数,死者,傷者,事故件数,死者,傷者,事故件数,死者,傷者,事故件数,死者,傷者,全国,秋田県,秋田市
平成24年,"1,080 ",8 ,"1,284 ",107 ,4 ,106 ,152 , - ,153 ,804 ,3 ,"1,009 ",17 ,1 ,16 ,"2,267.2 ",9.8 ,3.5 
25,988 ,6 ,"1,202 ",118 ,3 ,117 ,153 ,1 ,155 ,701 ,1 ,915 ,16 ,1 ,15 ,"2,153.1 ",8.8 ,3.3 
26,932 ,2 ,"1,136 ",94 ,2 ,94 ,150 , - ,151 ,678 , - ,879 ,10 ,－,12 ,"1,960.2 ",7.8 ,3.1 
27,924 ,4 ,"1,097 ",99 ,1 ,100 ,149 , - ,150 ,660 ,1 ,828 ,16 ,2 ,19 ,"1,836.0 ",7.1 ,3.0 
28,"1,000 ",6 ,"1,199 ",122 ,3 ,120 ,140 , - ,141 ,721 , - ,923 ,17 ,1 ,15 ,"1,706.2 ",7.5 ,3.3 
29,917 ,5 ,"1,096 ",114 ,2 ,116 ,132 , - ,132 ,658 ,1 ,834 ,13 ,2 ,14 ,"1,601.5 ",6.8 ,3.0 
30,803 ,7 ,946 ,95 ,4 ,94 ,111 ,2 ,109 ,582 , - ,729 ,15 ,1 ,14 ,"1,450.4 ",6.0 ,2.6 
令和元年,670 ,7 ,800 ,81 ,5 ,82 ,102 , - ,102 ,481 ,2 ,608 ,6 ,－,8 ,"1,273.9 ",5.1 ,2.2 
２,617 ,9 ,712 ,85 ,4 ,84 ,110 ,1 ,109 ,414 ,2 ,512 ,8 ,2 ,7 ,"1,017.3 ",4.6 ,2.0 
３,733 ,6 ,851 ,108 ,4 ,105 ,140 ,1 ,139 ,479 ,1 ,601 ,6 ,－,6 ,999.4 ,4.2 ,2.3 
　資料　秋田県警察本部,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
