３０　高　等　専　門  学　校　の　概　況,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,　各年５月１日現在　単位：人　,,,,,,
年度,学生数,,,,,,,,,,,,,教員数,,,,,,
,総数,,,創造システム工学科,,機械工学科,,電気情報工学科,,物質工学科,,環境都市工学科,,,,,,,,
,計,男,女,男,女,男,女,男,女,男,女,男,女,,,,,,,
平成25年度,845 ,723 ,122 , － , － ,209 ,4 , 198 , 13 ,154 ,56 ,162 ,49 ,64 ,,,,,,
26,835 ,700 ,135 , － , － ,205 ,5 , 193 , 20 ,140 ,68 ,162 ,42 ,65 ,,,,,,
27,820 ,677 ,143 , － , － ,201 ,5 ,186 ,24 ,135 ,71 ,155 ,43 ,66 ,,,,,,
28,817 ,659 ,158 , － , － ,197 ,7 ,178 ,28 ,130 ,75 ,154 ,48 ,66 ,,,,,,
29,819 ,646 ,173 , 128 , 40 ,157 ,5 ,138 ,27 ,102 ,60 ,121 ,41 ,64 ,,,,,,
30,805 ,632 ,173 , 251 , 81 ,118 ,5 ,99 ,17 ,73 ,41 ,91 ,29 ,63 ,,,,,,
令和元年度,802 ,620 ,182 ,375 ,121 ,79 ,2 ,61 ,11 ,45 ,29 ,60 ,19 ,64 ,,,,,,
２,816 ,620 ,196 ,495 ,161 ,44 ,2 ,20 ,14 ,32 ,12 ,29 ,7 ,55 ,,,,,,
３,796 ,604 ,192 ,597 ,190 ,2 , － ,3 , － ,2 ,1 , － ,1 ,58 ,,,,,,
４,797 ,607 ,190 ,607 ,190 , － , － , － , － , － , － , － , － ,58 ,,,,,,
　資料　文部科学省「学校基本調査」（29年度まで）、30年度以降は秋田工業高等専門学校,,,,,,,,,,,,,,,,,,,,
　　注）　学生数は本科のみ（専攻科、研究生は除く）,,,,,,,,,,,,,,,,,,,,
