３３　特 別 支 援 学 校 の 概 況,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,各年度５月１日現在,
年　度,学校数,,学級数,,,,,児童・生徒数（人） ,,,,,,,,,"教員数
（人）","職員数
（人）",
,本校,分校,総数,幼稚部,小学部,中学部,高等部,総計,,,幼・小学部,,中学部,,高等部,,,,
,,,,,,,,計,男,女,男,女,男,女,男,女,,,
平成25年度,5 , － ,149 ,3 ,46 ,38 ,62 ,476 ,305 ,171 ,89 ,43 ,72 ,58 ,144 ,70 ,362 ,67 ,
26,5 , － ,150 ,3 ,43 ,38 ,66 ,487 ,315 ,172 ,91 ,43 ,80 ,54 ,144 ,75 ,369 ,68 ,
27,5 , － ,151 ,5 ,47 ,36 ,63 ,485 ,312 ,173 ,89 ,49 ,78 ,49 ,145 ,75 ,375 ,71 ,
28,5 , － ,146 ,6 ,44 ,38 ,58 ,480 ,310 ,170 ,84 ,52 ,92 ,39 ,134 ,79 ,381 ,71 ,
29,5 , － ,147 ,8 ,45 ,36 ,58 ,466 ,296 ,170 ,71 ,58 ,91 ,35 ,134 ,77 ,368 ,77 ,
30,5 , － ,141 ,8 ,48 ,33 ,52 ,445 ,287 ,158 ,81 ,58 ,83 ,35 ,123 ,65 ,367 ,66 ,
令和元年度,5 , － ,140 ,7 ,48 ,34 ,51 ,449 ,291 ,158 ,86 ,62 ,72 ,38 ,133 ,58 ,361 ,67 ,
２,5 , － ,135 ,6 ,46 ,32 ,51 ,437 ,284 ,153 ,90 ,59 ,69 ,40 ,125 ,54 ,357 ,65 ,
３,5 , － ,139 ,7 ,45 ,36 ,51 ,450 ,282 ,168 ,90 ,59 ,75 ,50 ,117 ,59 ,358 ,66 ,
４,5 , － ,142 ,6 ,45 ,37 ,54 ,445 ,276 ,169 ,87 ,54 ,77 ,49 ,112 ,66 ,364 ,64 ,
　資料　秋田県調査統計課「学校基本調査結果報告書」,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
