地域コード,都道府県,市町村,地域,年次,商店総数(店),卸売業(店),小売業(店),従業員総数(人),卸売業(人),小売業(人),年間商品販売総額(百万円),卸売業(百万円),小売業(百万円)
052124,秋田県,大仙市,市内全域,2007年(平成19）,"1,392 ",168 ,"1,224 ","7,735 ","1,122 ","6,613 ","157,978 ","55,129 ","102,849 "
052124,秋田県,大仙市,市内全域,2012年(平成24),"1,075 ",144 ,931 ,"5,625 ",864 ,"4,761 ","121,390 ","37,410 ","83,980 "
052124,秋田県,大仙市,市内全域,2014年(平成26),"1,025 ",141 ,884 ,"6,048 ",883 ,"5,165 ","136,196 ","42,640 ","93,556 "
052124,秋田県,大仙市,大曲地域,2007年(平成19）,,122 ,,,836 ,,,"43,885 ",
052124,秋田県,大仙市,大曲地域,2012年(平成24),,103 ,,,638 ,,,"30,582 ",
052124,秋田県,大仙市,大曲地域,2014年(平成26),,106 ,,,655 ,,,"33,903 ",
052124,秋田県,大仙市,大曲地域以外（旧大曲市以外）,2007年(平成19）,,46 ,,,286 ,,,"11,244 ",
052124,秋田県,大仙市,大曲地域以外（旧大曲市以外）,2012年(平成24),,41 ,,,226 ,,,"6,828 ",
052124,秋田県,大仙市,大曲地域以外（旧大曲市以外）,2014年(平成26),,35 ,,,228 ,,,"8,737 ",
052124,秋田県,大仙市,大曲地域,2007年(平成19）,,,647 ,,,"3,951 ",,,"65,720 "
052124,秋田県,大仙市,大曲地域,2012年(平成24),,,508 ,,,"2,930 ",,,"56,423 "
052124,秋田県,大仙市,大曲地域,2014年(平成26),,,508 ,,,"3,473 ",,,"67,561 "
052124,秋田県,大仙市,神岡地域,2007年(平成19）,,,77 ,,,382 ,,,"5,542 "
052124,秋田県,大仙市,神岡地域,2012年(平成24),,,45 ,,,224 ,,,"2,960 "
052124,秋田県,大仙市,神岡地域,2014年(平成26),,,45 ,,,235 ,,,"3,496 "
052124,秋田県,大仙市,西仙北地域,2007年(平成19）,,,123 ,,,520 ,,,"6,609 "
052124,秋田県,大仙市,西仙北地域,2012年(平成24),,,94 ,,,393 ,,,"4,446 "
052124,秋田県,大仙市,西仙北地域,2014年(平成26),,,77 ,,,331 ,,,"4,864 "
052124,秋田県,大仙市,中仙地域,2007年(平成19）,,,157 ,,,"1,065 ",,,"19,887 "
052124,秋田県,大仙市,中仙地域,2012年(平成24),,,98 ,,,531 ,,,"10,281 "
052124,秋田県,大仙市,中仙地域,2014年(平成26),,,87 ,,,477 ,,,"8,165 "
052124,秋田県,大仙市,協和地域,2007年(平成19）,,,80 ,,,306 ,,,"3,551 "
052124,秋田県,大仙市,協和地域,2012年(平成24),,,56 ,,,230 ,,,"2,807 "
052124,秋田県,大仙市,協和地域,2014年(平成26),,,52 ,,,215 ,,,"2,431 "
052124,秋田県,大仙市,南外地域,2007年(平成19）,,,51 ,,,133 ,,,"1,741 "
052124,秋田県,大仙市,南外地域,2012年(平成24),,,43 ,,,108 ,,,"1,233 "
052124,秋田県,大仙市,南外地域,2014年(平成26),,,37 ,,,84 ,,,964 
052124,秋田県,大仙市,仙北地域,2007年(平成19）,,,66 ,,,289 ,,,"4,773 "
052124,秋田県,大仙市,仙北地域,2012年(平成24),,,44 ,,,167 ,,,"3,225 "
052124,秋田県,大仙市,仙北地域,2014年(平成26),,,40 ,,,184 ,,,"3,480 "
052124,秋田県,大仙市,太田地域,2007年(平成19）,,,69 ,,,253 ,,,"6,266 "
052124,秋田県,大仙市,太田地域,2012年(平成24),,,43 ,,,178 ,,,"2,605 "
052124,秋田県,大仙市,太田地域,2014年(平成26),,,38 ,,,166 ,,,"2,595 "
