地域,年度,新規求職者数(人),有効求職者数(人),新規求人数(人),有効求人数(人),新規求人倍率(倍),有効求人倍率(倍),就職者_総数(人),就職者_男(人),就職者_女(人),就職率(％)
大仙市_仙北市_美郷町管内,2005(平成17),4933,18119,4779,11478,0.97,0.63,1422,777,645,28.8
大仙市_仙北市_美郷町管内,2006(平成18）,5110,18547,4933,12241,0.97,0.66,1541,841,700,30.2
大仙市_仙北市_美郷町管内,2007(平成19）,5000,19569,4091,10133,0.82,0.52,1540,850,690,30.8
大仙市_仙北市_美郷町管内,2008(平成20）,5844,23075,2699,6156,0.46,0.27,1473,798,673,25.2
大仙市_仙北市_美郷町管内,2009(平成21）,5477,27158,2542,4989,0.46,0.18,1406,742,663,25.7
大仙市_仙北市_美郷町管内,2010(平成22）,4651,22509,3125,6899,0.67,0.31,1455,701,751,31.3
大仙市_仙北市_美郷町管内,2011(平成23）,3636,20883,3408,7413,0.94,0.36,1683,878,794,46.3
大仙市_仙北市_美郷町管内,2012(平成24）,4442,20906,3640,8432,0.82,0.4,1751,854,897,39.4
大仙市_仙北市_美郷町管内,2013(平成25）,4799,18874,4530,9883,0.94,0.52,1690,886,804,35.2
大仙市_仙北市_美郷町管内,2014(平成26）,4433,16456,5125,11460,1.16,0.7,1752,893,859,39.5
大仙市_仙北市_美郷町管内,2015(平成27）,4021,14625,5010,12359,1.25,0.85,1584,836,748,39.4
大仙市_仙北市_美郷町管内,2016(平成28）,3540,12917,4915,12404,1.39,0.96,1409,750,659,39.8
大仙市_仙北市_美郷町管内,2017(平成29）,3171,11820,5905,15143,1.86,1.28,1336,640,695,42.1
大仙市_仙北市_美郷町管内,2018(平成30）,3097,11170,6253,16475,2.02,1.47,1338,638,700,43.2
大仙市_仙北市_美郷町管内,2019(平成31/令和1）,3152,11630,6176,17136,1.96,1.47,1266,594,672,40.2
大仙市_仙北市_美郷町管内,2020(令和2）,2858,11573,5143,14183,1.8,1.23,1000,487,513,35
大仙市_仙北市_美郷町管内,2021(令和3）,2616,10254,6574,18002,2.51,1.76,1014,549,465,38.8
