市町村コード,都道府県名,市町村名,年度,かみおか温泉「嶽の湯」（人）,西仙北ぬく森温泉「ユメリア」（人）,八乙女温泉さくら荘（人）,中里温泉（人）,川口温泉奥羽山荘（人）,史跡の里交流プラザ「柵の湯」（人）,南外ふるさと館（人）,協和温泉「四季の湯」（人）,道の駅かみおか「茶屋っこ一里塚」（人）,道の駅協和「四季の森」（人）,道の駅なかせん「ドンパン節の里」（人）,国指定名勝旧池田氏庭園（人）,産業展示館（人）,秋田県立農業科学館（人）,払田柵総合案内所（人）,餅の館（人）,仙北民俗資料館（人）,南外民俗資料館（人）,まほろば唐松能楽殿（人）,物部長穂記念館（人）,大盛館（人）
052124,秋田県,大仙市,1991（平成3）,,,,,,,,,,,,,"7,200",,,"4,164",,,"6,926",,
052124,秋田県,大仙市,1992（平成4）,,,,,,,,,,,,,"5,810",,,"4,596",,,"6,780",,
052124,秋田県,大仙市,1993（平成5）,,,,,,,,,,,,,"6,419",,"4,736","4,644",,,"6,708",,
052124,秋田県,大仙市,1994（平成6）,,,,,,,,,,,,,"5,630",,"14,373","4,001",,,"4,993","3,229",
052124,秋田県,大仙市,1995（平成7）,,,,,,,,,,,,,"4,604",,"10,962","3,729","1,383",,"4,185","4,083",
052124,秋田県,大仙市,1996（平成8）,,,,,,,,,,,,,"5,347",,"9,419","3,557","1,722",,"3,447","3,383",
052124,秋田県,大仙市,1997（平成9）,,,,,,,,,,,,,"6,047",,"9,229","3,335","3,867",,"3,357","3,392",
052124,秋田県,大仙市,1998（平成10）,,,,,,,,,,,,,"5,748",,"7,544","3,525","3,200",,"2,593","2,708",
052124,秋田県,大仙市,1999（平成11）,,,,,,,,,,,,,"3,902",,"9,896","5,278","3,584",,"2,000","1,933","1,143"
052124,秋田県,大仙市,2000（平成12）,,,,,,,,,,,,,"6,234",,"13,260","7,961","5,998",,"2,470","2,370","1,131"
052124,秋田県,大仙市,2001（平成13）,,,,,,,,,,,,,"5,676","74,030","13,515","9,787","8,606",,"2,818","2,402","2,326"
052124,秋田県,大仙市,2002（平成14）,,,,,,,,,,,,,"5,638","84,777","14,041","12,626","10,990","7,098","2,625","2,432","1,708"
052124,秋田県,大仙市,2003（平成15）,,,,,,,,,,,,,"10,451","105,756","13,770","12,195","10,313","7,371","2,796","2,730","2,705"
052124,秋田県,大仙市,2004（平成16）,,,,,,,,,,,,,"9,249","120,311","12,786","4,144","1,435","7,824","2,105","1,878","1,571"
052124,秋田県,大仙市,2005（平成17）,"136,853","120,316","40,361","112,360","58,251","102,842","21,808","68,631","154,420","492,862","168,806","7,800","10,661","108,996","13,363",964,960,"2,008","2,450","1,576","2,142"
052124,秋田県,大仙市,2006（平成18）,"136,760","111,902","42,756","129,694","57,860","93,666","32,149","60,102","153,776","214,270","169,829","6,300","9,062","115,358","13,057","1,051","1,066","2,504","2,426","1,517","2,003"
052124,秋田県,大仙市,2007（平成19）,"125,884","102,058","44,914","132,640","73,431","74,774","34,606","53,312","151,375","215,511","160,418","8,767","7,367","112,428","13,788",938,"1,062","2,320","3,038",960,"1,539"
052124,秋田県,大仙市,2008（平成20）,"122,983","94,552","41,951","138,929","57,366","90,154","32,374","53,771","144,243","211,923","134,040","6,700","7,509","109,050","14,024","1,425","1,131","1,559","1,845",803,"2,610"
052124,秋田県,大仙市,2009（平成21）,"113,170","97,392","39,819","127,764","61,071","80,037","34,982","54,313","136,962","206,854","146,066","9,430","9,150","112,065","15,471",926,874,"1,339","1,638","1,001","2,240"
052124,秋田県,大仙市,2010（平成22）,"106,507","101,853","38,631","122,456","57,921","78,101","34,327","50,582","124,975","230,549","148,783","9,064","8,074","109,810","12,575",599,578,"1,499","3,510",625,"2,043"
052124,秋田県,大仙市,2011（平成23）,"116,468","83,121","39,030","148,276","61,320","71,951","37,885","54,988","116,236","216,279","156,659","21,779","6,049","93,643","12,162",916,936,"1,266","3,825",575,"1,576"
052124,秋田県,大仙市,2012（平成24）,"128,422","98,050","39,915","115,585","62,785","92,409","39,068","46,313","110,975","220,483","128,071","20,657","6,818","97,753","13,332",707,845,946,732,540,"1,363"
052124,秋田県,大仙市,2013（平成25）,"105,503","96,585","39,915","129,165","61,641","96,893","37,161","44,360","104,652","228,211","157,105","22,563","5,749","89,138","10,711",460,695,"1,240",513,373,"1,527"
052124,秋田県,大仙市,2014（平成26）,"117,353","93,650","41,402","103,771","61,239","101,861","36,207","41,123","114,916","225,456","146,407","21,670","5,734","95,329","11,588",626,398,"2,364","1,809",440,"1,443"
052124,秋田県,大仙市,2015（平成27）,"111,040","93,104","40,231","110,656","63,660","112,878","37,746","41,458","119,428","229,681","157,964","16,620","5,340","93,296","9,420",479,505,"1,864","1,471",292,"1,538"
052124,秋田県,大仙市,2016（平成28）,"111,193","85,331","27,450","114,816","61,419","112,204","35,033","39,109","117,085","223,417","145,816","11,964","5,151","92,430","9,227",319,378,"1,346",321,293,"1,289"
052124,秋田県,大仙市,2017（平成29）,"103,063","81,242","34,759","109,168","59,174","108,075","35,330","39,439","112,843","211,866","140,942","12,197","2,854","83,513","9,917",266,510,"1,222",248,160,"1,212"
052124,秋田県,大仙市,2018（平成30）,"104,475","77,980","33,388","99,413","56,323","111,747","34,932","35,583","118,342","228,424","141,271","14,029",,"74,072","13,586",302,488,"1,065",243,183,"1,199"
052124,秋田県,大仙市,2019（平成31）,"106,466","74,444","29,556","104,931","53,173","116,362","37,509","34,761","112,466","221,173","145,466","10,915",,"78,485","10,525",179,280,"1,307","1,263",466,"1,040"
052124,秋田県,大仙市,2020（令和2）,"88,597","65,432","26,212","72,339","28,993","92,688","32,180","30,514","89,552","168,825","114,931","5,429",,"39,553","4,783",24,94,"1,029",448,323,606
052124,秋田県,大仙市,2021（令和3）,"99,179","82,294","31,395","59,482","34,308","95,612","35,505","34,569","94,686","184,352","109,821","9,414",,"52,649","4,410",0,34,"1,019",537,271,719
