地域コード,市町村,地域,年次,総数(万円),食料品(万円),飲料・飼料(万円),繊維(万円),衣服(万円),木材・木製品(万円),家具・装備品(万円),パルプ・紙(万円),出版・印刷(万円),化学(万円),石油製品(万円),プラスチック(万円),ゴム製品(万円),皮革(万円),窯業・土石(万円),鉄鋼(万円),非鉄金属(万円),金属製品(万円),一般機械(万円),はん用機械(万円),生産用機械(万円),業務用機械(万円),電子部品(万円),電子部品・デバイス(万円),電気機械(万円),情報通信機械(万円),輸送機械(万円),精密機械(万円),その他(万円)
052124,大仙市,市内全域,1991年(平成3),4509193,94588,72874,-,190169,232409,5556,-,33060,-,-,117228,-,1361,313175,-,-,299089,202253,-,-,-,-,-,839976,-,-,1409676,40792
052124,大仙市,市内全域,1992年(平成4),4291231,170914,74632,-,204802,225580,4595,-,34411,-,-,132247,-,660,286084,30136,-,116082,81870,-,-,-,-,-,689900,-,-,1417138,39369
052124,大仙市,市内全域,1993年(平成5）,3934137,170330,-,9092,201660,242289,5365,-,33029,-,-,124732,-,4900,342801,-,-,104473,214324,-,-,-,-,-,603146,-,-,1143148,45987
052124,大仙市,市内全域,1994年(平成6）,4237563,174288,-,-,193442,237799,5355,-,31595,-,-,112513,-,3729,342879,-,-,268564,170732,-,-,-,-,-,689318,-,-,1304860,49182
052124,大仙市,市内全域,1995年(平成7）,4172514,157531,-,-,192939,120401,4460,-,33391,-,-,126663,-,4519,366924,-,-,151519,175067,-,-,-,-,-,592253,-,-,1476159,59339
052124,大仙市,市内全域,1996年(平成8),4223425,158210,-,-,180493,216707,3120,-,41198,-,-,133738,-,4114,405827,-,-,181802,187766,-,-,-,-,-,548939,-,-,1461453,48052
052124,大仙市,市内全域,1997年(平成9),4573784,135141,-,-,176355,261699,-,-,42075,-,-,102013,-,3847,330889,-,-,245856,191263,-,-,-,-,-,591640,-,-,1779605,51338
052124,大仙市,市内全域,1998年(平成10),4635980,144949,-,-,162395,186175,6725,-,37856,-,-,107349,-,10754,290879,-,-,188768,153279,-,-,-,-,-,568146,-,-,2078221,41723
052124,大仙市,市内全域,1999年(平成11),4313293,133634,-,-,149710,194709,6535,-,38062,-,-,100846,-,2658,305087,-,-,122902,131230,-,-,-,-,-,537669,-,-,1911054,41433
052124,大仙市,市内全域,2000年(平成12),5048451,134572,-,-,135774,193995,-,-,41671,-,-,77036,-,2542,321448,-,-,136568,182194,-,-,-,-,-,1972043,-,-,570475,35461
052124,大仙市,市内全域,2001年(平成13),4150536,120520,-,-,114478,161919,-,-,40042,-,-,69976,-,3205,225558,-,-,115350,140370,-,-,-,-,-,1478257,-,26690,570334,40072
052124,大仙市,市内全域,2002年(平成14),4336394,105790,-,-,447123,132378,-,-,37340,-,-,25865,-,2292,201560,-,-,101206,120524,-,-,-,1675434,-,-,-,44899,466185,43905
052124,大仙市,市内全域,2003年(平成15),4549175,104056,-,-,427192,128675,-,-,37742,-,-,29653,-,1539,202868,-,-,101266,138468,-,-,-,1866230,-,-,-,52440,475165,45441
052124,大仙市,市内全域,2004年(平成16),6517793,106498,-,-,404264,126869,-,-,39176,-,-,29915,-,1599,170818,-,-,296960,191305,-,-,-,3784986,-,-,-,76308,454878,44477
052124,大仙市,市内全域,2005年(平成17),8394788,203531,96334,-,433720,121371,9678,-,51718,-,-,167389,-,2414,222603,14570,59184,408460,550963,-,-,-,-,5348892,12823,-,119686,486881,58304
052124,大仙市,市内全域,2006年(平成18),10263936,187885,95847,-,590826,117161,11739,-,47134,-,-,184723,-,1308,219518,13500,67194,501267,383678,-,-,-,-,6908558,21969,-,126837,715226,43876
052124,大仙市,市内全域,2007年(平成19),7929614,173305,91450,-,584386,124565,13722,-,50723,-,-,208463,-,1571,216179,-,85481,367827,382685,-,-,-,-,4834891,50527,16973,135979,492100,50675
052124,大仙市,市内全域,2008年(平成20),7263169,184279,91140,593973,-,115948,14073,-,50909,-,-,198038,-,33122,242723,-,20231,533940,-,-,458824,597093,-,3815663,50540,-,-,-,57675
052124,大仙市,市内全域,2009年(平成21),3238522,154437,77985,547228,-,77139,8530,-,45254,-,-,162936,-,29380,218380,-,26187,363403,-,-,271023,380388,-,654253,25306,17969,62357,-,53600
052124,大仙市,市内全域,2010年(平成22),4357882,167816,85304,563205,-,80776,2869,-,45638,-,-,121657,-,30709,207008,-,26897,492707,-,-,364836,369443,-,1527560,54561,22394,93567,-,46497
052124,大仙市,市内全域,2011年(平成23),3369942,193131,89469,628058,-,55776,4738,-,62735,-,-,66360,-,13047,136504,37162,18814,332295,-,-,306894,192546,-,926567,38253,17641,105389,-,60863
052124,大仙市,市内全域,2012年(平成24),3452032,153187,80700,670462,-,48057,-,-,56202,-,-,185234,-,19646,162389,28713,-,388267,-,-,321884,471078,-,611425,33683,-,103027,-,49125
052124,大仙市,市内全域,2013年(平成25),3431105,175403,81515,668429,-,49738,-,-,45499,-,-,141691,-,18874,227535,39470,-,446995,-,-,349454,460298,-,495891,30666,-,93794,-,47130
052124,大仙市,市内全域,2014年(平成26),3705779,136806,84674,691621,-,65126,-,-,50119,-,-,185223,-,26496,220924,45130,-,668544,-,-,372176,328185,-,521420,26098,-,99738,-,45809
052124,大仙市,市内全域,2015年(平成27)/2016年(平成28),3332699,163402,114538,700927,-,46881,-,-,49177,-,-,159950,-,31323,207419,X,-,464988,-,-,430298,373101,-,231287,19191,-,-,-,51762
052124,大仙市,市内全域,2017年(平成29),3847565,142479,100324,723879,-,62347,-,-,47111,-,-,183107,-,30861,238137,25215,-,557210,-,-,482641,380615,-,556906,53099,-,44515,-,52532
052124,大仙市,市内全域,2018年(平成30),3877925,136249,95128,706420,-,60993,-,-,51602,-,-,172528,-,18704,247844,34522,-,439783,-,-,549641,390200,-,547175,68993,-,102581,-,28058
052124,大仙市,市内全域,2019年(平成31/令和1),4004956,141599,103598,713792,-,60920,-,-,41482,-,-,209663,-,19309,219868,35371,-,508230,-,-,464220,421120,-,579133,26956,32992,107757,-,43045
052124,大仙市,市内全域,2020年(令和2),4084013,153501,94154,689745,-,37104,-,-,44122,-,-,167476,-,14480,234532,25211,-,685556,-,-,602207,416288,-,499606,19591,-,87310,-,43708
