市町村コード,都道府県名,市町村名,データカタログ分類番号,データカタログ分類,データ名,担当課,公開URL
052124,秋田県,大仙市,1,国土・気象,雪の諸記録,道路河川課,https://www.city.daisen.lg.jp/docs/2021121000241/
052124,秋田県,大仙市,1,国土・気象,河川の状況,道路河川課,https://www.city.daisen.lg.jp/docs/2021121000234/
052124,秋田県,大仙市,1,国土・気象,月別平均気温の推移,総合政策課,https://www.city.daisen.lg.jp/docs/2021120300038/
052124,秋田県,大仙市,1,国土・気象,月別降水量の推移,総合政策課,https://www.city.daisen.lg.jp/docs/2021120600138/
052124,秋田県,大仙市,1,国土・気象,月別平均風速の推移,総合政策課,https://www.city.daisen.lg.jp/docs/2021120600152/
052124,秋田県,大仙市,1,国土・気象,気象の諸記録,総合政策課,https://www.city.daisen.lg.jp/docs/2021120600183/
052124,秋田県,大仙市,1,国土・気象,過去の積雪深,総合防災課,https://www.city.daisen.lg.jp/docs/2022011100027/
052124,秋田県,大仙市,2,人口・世帯,住民基本台帳人口・世帯数,市民課,https://www.city.daisen.lg.jp/docs/2021121000227/
052124,秋田県,大仙市,2,人口・世帯,年齢（各歳・5歳階級）別・男女別人口,総合政策課,https://www.city.daisen.lg.jp/docs/2021120600190/
052124,秋田県,大仙市,2,人口・世帯,（各地域別）人口・世帯数・面積・人口密度,総合政策課,https://www.city.daisen.lg.jp/docs/2021120600206/
052124,秋田県,大仙市,2,人口・世帯,人口集中地区の推移,総合政策課,https://www.city.daisen.lg.jp/docs/2021120600213/
052124,秋田県,大仙市,2,人口・世帯,秋田県年齢別人口流動調査による人口動態の推移,総合政策課,https://www.city.daisen.lg.jp/docs/2021120900016/
052124,秋田県,大仙市,2,人口・世帯,年齢（５歳階級）別配偶者関係,総合政策課,https://www.city.daisen.lg.jp/docs/2021120900023/
052124,秋田県,大仙市,2,人口・世帯,人口の移動状況,総合政策課,https://www.city.daisen.lg.jp/docs/2023031700112/
052124,秋田県,大仙市,3,労働・賃金,労働力人口,総合政策課,https://www.city.daisen.lg.jp/docs/2021120600220/
052124,秋田県,大仙市,3,労働・賃金,産業（大分類）、年齢（５歳階級）、１５歳以上就業者数,総合政策課,https://www.city.daisen.lg.jp/docs/2021120600237/
052124,秋田県,大仙市,3,労働・賃金,地域別産業（大分類）別就業者数の推移,総合政策課,https://www.city.daisen.lg.jp/docs/2021120600244/
052124,秋田県,大仙市,3,労働・賃金,労働災害の発生状況,総合政策課,https://www.city.daisen.lg.jp/docs/2023031700174/
052124,秋田県,大仙市,3,労働・賃金,労働者災害補償保険の状況,総合政策課,https://www.city.daisen.lg.jp/docs/2023031700181/
052124,秋田県,大仙市,3,労働・賃金,職業紹介の状況,総合政策課,https://www.city.daisen.lg.jp/docs/2023031700105/
052124,秋田県,大仙市,3,労働・賃金,雇用保険の給付状況,総合政策課,https://www.city.daisen.lg.jp/docs/2023031700037/
052124,秋田県,大仙市,4,農林水産業,農業経営耕地面積の状況,総合政策課,https://www.city.daisen.lg.jp/docs/2021120900122/
052124,秋田県,大仙市,4,農林水産業,地域別農家戸数・農家人口・農業就業人口,総合政策課,https://www.city.daisen.lg.jp/docs/2021120900054/
052124,秋田県,大仙市,4,農林水産業,専業・兼業農家数,総合政策課,https://www.city.daisen.lg.jp/docs/2021120900061/
