地域コード,都道府県名,市町村名,年度,学校名,学級数_総数（学級）,児童数_総数（人）,児童数_男（人）,児童数_女（人）,児童数_１学年_総数（人）,児童数_１学年_男（人）,児童数_１学年_女（人）,児童数_２学年_総数（人）,児童数_２学年_男（人）,児童数_２学年_女（人）,児童数_３学年_総数（人）,児童数_３学年_男（人）,児童数_３学年_女（人）,児童数_４学年_総数（人）,児童数_４学年_男（人）,児童数_４学年_女（人）,児童数_５学年_総数（人）,児童数_５学年_男（人）,児童数_５学年_女（人）,児童数_６学年_総数（人）,児童数_６学年_男（人）,児童数_６学年_女（人）,教員数_総数（人）
052124,秋田県,大仙市,2005(平成17),総数,245,4803,2448,2355,732,-,-,754,-,-,756,-,-,818,-,-,887,-,-,856,-,-,397
052124,秋田県,大仙市,2005(平成17),大曲,32,985,501,484,150,-,-,143,-,-,150,-,-,201,-,-,168,-,-,173,-,-,43
052124,秋田県,大仙市,2005(平成17),東大曲,9,85,46,39,8,-,-,18,-,-,17,-,-,12,-,-,11,-,-,19,-,-,13
052124,秋田県,大仙市,2005(平成17),花館,14,389,202,187,62,-,-,70,-,-,64,-,-,64,-,-,71,-,-,58,-,-,26
052124,秋田県,大仙市,2005(平成17),内小友,6,122,56,66,14,-,-,23,-,-,16,-,-,21,-,-,22,-,-,26,-,-,10
052124,秋田県,大仙市,2005(平成17),大川西根,6,84,47,37,7,-,-,19,-,-,9,-,-,17,-,-,17,-,-,15,-,-,10
052124,秋田県,大仙市,2005(平成17),藤木,6,118,60,58,17,-,-,20,-,-,15,-,-,26,-,-,26,-,-,14,-,-,10
052124,秋田県,大仙市,2005(平成17),四ツ屋,8,193,94,99,25,-,-,34,-,-,35,-,-,30,-,-,41,-,-,28,-,-,13
052124,秋田県,大仙市,2005(平成17),角間川,6,115,62,53,16,-,-,23,-,-,20,-,-,18,-,-,19,-,-,19,-,-,10
052124,秋田県,大仙市,2005(平成17),神宮寺,7,199,98,101,33,-,-,31,-,-,26,-,-,33,-,-,37,-,-,39,-,-,14
052124,秋田県,大仙市,2005(平成17),北神,7,132,59,73,20,-,-,16,-,-,22,-,-,19,-,-,33,-,-,22,-,-,11
052124,秋田県,大仙市,2005(平成17),刈和野,9,232,115,117,33,-,-,38,-,-,38,-,-,39,-,-,42,-,-,42,-,-,16
052124,秋田県,大仙市,2005(平成17),土川,7,114,55,59,16,-,-,12,-,-,21,-,-,23,-,-,22,-,-,20,-,-,13
052124,秋田県,大仙市,2005(平成17),大沢郷,7,72,42,30,9,-,-,6,-,-,10,-,-,11,-,-,14,-,-,22,-,-,10
052124,秋田県,大仙市,2005(平成17),双葉,6,79,34,45,10,-,-,13,-,-,10,-,-,9,-,-,19,-,-,18,-,-,9
052124,秋田県,大仙市,2005(平成17),豊岡,7,90,43,47,13,-,-,13,-,-,16,-,-,13,-,-,17,-,-,18,-,-,11
052124,秋田県,大仙市,2005(平成17),中仙,11,267,146,121,36,-,-,44,-,-,37,-,-,47,-,-,47,-,-,56,-,-,16
052124,秋田県,大仙市,2005(平成17),清水,6,96,54,42,25,-,-,7,-,-,12,-,-,19,-,-,16,-,-,17,-,-,12
052124,秋田県,大仙市,2005(平成17),豊川,6,99,52,47,14,-,-,15,-,-,22,-,-,10,-,-,26,-,-,12,-,-,10
052124,秋田県,大仙市,2005(平成17),荒川,8,126,66,60,23,-,-,23,-,-,19,-,-,19,-,-,24,-,-,18,-,-,14
052124,秋田県,大仙市,2005(平成17),稲沢,5,21,12,9,4,-,-,5,-,-,2,-,-,2,-,-,3,-,-,5,-,-,8
052124,秋田県,大仙市,2005(平成17),峰吉川,5,48,23,25,11,-,-,7,-,-,8,-,-,10,-,-,3,-,-,9,-,-,9
052124,秋田県,大仙市,2005(平成17),船岡,6,91,52,39,15,-,-,15,-,-,9,-,-,16,-,-,18,-,-,18,-,-,11
052124,秋田県,大仙市,2005(平成17),淀川,6,51,22,29,7,-,-,10,-,-,6,-,-,9,-,-,11,-,-,8,-,-,9
052124,秋田県,大仙市,2005(平成17),小種,4,22,13,9,4,-,-,1,-,-,4,-,-,5,-,-,3,-,-,5,-,-,7
052124,秋田県,大仙市,2005(平成17),南楢岡,7,82,47,35,9,-,-,11,-,-,7,-,-,15,-,-,23,-,-,17,-,-,11
052124,秋田県,大仙市,2005(平成17),南外西,7,125,56,69,14,-,-,16,-,-,26,-,-,13,-,-,29,-,-,27,-,-,11
052124,秋田県,大仙市,2005(平成17),高梨,9,228,120,108,48,-,-,35,-,-,40,-,-,37,-,-,35,-,-,33,-,-,14
052124,秋田県,大仙市,2005(平成17),横堀,8,161,76,85,32,-,-,21,-,-,31,-,-,25,-,-,29,-,-,23,-,-,13
052124,秋田県,大仙市,2005(平成17),太田東,7,157,77,80,23,-,-,25,-,-,29,-,-,19,-,-,30,-,-,31,-,-,12
052124,秋田県,大仙市,2005(平成17),太田南,7,149,76,73,27,-,-,25,-,-,26,-,-,22,-,-,21,-,-,28,-,-,11
052124,秋田県,大仙市,2005(平成17),太田北,6,71,42,29,7,-,-,15,-,-,9,-,-,14,-,-,10,-,-,16,-,-,10
052124,秋田県,大仙市,2006(平成18),総数,245,4647,2366,2281,708,-,-,725,-,-,752,-,-,753,-,-,823,-,-,886,-,-,397
052124,秋田県,大仙市,2006(平成18),大曲,32,958,474,484,163,-,-,145,-,-,142,-,-,143,-,-,202,-,-,163,-,-,44
052124,秋田県,大仙市,2006(平成18),東大曲,8,78,38,40,11,-,-,8,-,-,19,-,-,16,-,-,12,-,-,12,-,-,12
052124,秋田県,大仙市,2006(平成18),花館,14,386,210,176,57,-,-,61,-,-,66,-,-,64,-,-,65,-,-,73,-,-,23
052124,秋田県,大仙市,2006(平成18),内小友,6,111,46,65,14,-,-,14,-,-,23,-,-,16,-,-,21,-,-,23,-,-,11
052124,秋田県,大仙市,2006(平成18),大川西根,6,84,48,36,15,-,-,7,-,-,19,-,-,9,-,-,17,-,-,17,-,-,9
052124,秋田県,大仙市,2006(平成18),藤木,6,124,65,59,19,-,-,16,-,-,21,-,-,16,-,-,26,-,-,26,-,-,10
052124,秋田県,大仙市,2006(平成18),四ツ屋,8,199,103,96,33,-,-,24,-,-,35,-,-,35,-,-,31,-,-,41,-,-,13
052124,秋田県,大仙市,2006(平成18),角間川,6,104,56,48,8,-,-,16,-,-,23,-,-,20,-,-,18,-,-,19,-,-,10
052124,秋田県,大仙市,2006(平成18),神宮寺,7,185,86,99,23,-,-,34,-,-,30,-,-,27,-,-,33,-,-,38,-,-,12
052124,秋田県,大仙市,2006(平成18),北神,7,120,48,72,10,-,-,20,-,-,16,-,-,22,-,-,19,-,-,33,-,-,12
052124,秋田県,大仙市,2006(平成18),刈和野,9,238,122,116,45,-,-,32,-,-,38,-,-,40,-,-,40,-,-,43,-,-,18
052124,秋田県,大仙市,2006(平成18),土川,7,112,58,54,17,-,-,16,-,-,12,-,-,21,-,-,24,-,-,22,-,-,13
052124,秋田県,大仙市,2006(平成18),大沢郷,7,60,39,21,9,-,-,9,-,-,6,-,-,10,-,-,12,-,-,14,-,-,11
052124,秋田県,大仙市,2006(平成18),双葉,6,68,35,33,8,-,-,10,-,-,13,-,-,9,-,-,9,-,-,19,-,-,10
052124,秋田県,大仙市,2006(平成18),豊岡,8,84,42,42,11,-,-,13,-,-,13,-,-,16,-,-,14,-,-,17,-,-,12
052124,秋田県,大仙市,2006(平成18),中仙,10,251,139,112,38,-,-,36,-,-,45,-,-,38,-,-,47,-,-,47,-,-,15
052124,秋田県,大仙市,2006(平成18),清水,6,97,50,47,18,-,-,25,-,-,7,-,-,12,-,-,19,-,-,16,-,-,10
052124,秋田県,大仙市,2006(平成18),豊川,7,100,50,50,13,-,-,14,-,-,15,-,-,22,-,-,10,-,-,26,-,-,11
052124,秋田県,大仙市,2006(平成18),荒川,8,130,62,68,22,-,-,22,-,-,24,-,-,20,-,-,19,-,-,23,-,-,13
052124,秋田県,大仙市,2006(平成18),稲沢,4,20,10,10,4,-,-,4,-,-,5,-,-,2,-,-,2,-,-,3,-,-,7
052124,秋田県,大仙市,2006(平成18),峰吉川,5,51,28,23,10,-,-,12,-,-,7,-,-,10,-,-,9,-,-,3,-,-,9
052124,秋田県,大仙市,2006(平成18),船岡,6,89,52,37,16,-,-,15,-,-,15,-,-,9,-,-,16,-,-,18,-,-,10
052124,秋田県,大仙市,2006(平成18),淀川,6,49,20,29,6,-,-,7,-,-,10,-,-,6,-,-,9,-,-,11,-,-,9
052124,秋田県,大仙市,2006(平成18),小種,4,24,15,9,7,-,-,5,-,-,1,-,-,4,-,-,5,-,-,2,-,-,7
052124,秋田県,大仙市,2006(平成18),南楢岡,7,70,43,27,5,-,-,9,-,-,11,-,-,7,-,-,15,-,-,23,-,-,11
052124,秋田県,大仙市,2006(平成18),南外西,7,118,55,63,20,-,-,14,-,-,16,-,-,26,-,-,13,-,-,29,-,-,11
052124,秋田県,大仙市,2006(平成18),高梨,9,227,114,113,31,-,-,49,-,-,35,-,-,40,-,-,37,-,-,35,-,-,14
052124,秋田県,大仙市,2006(平成18),横堀,8,162,77,85,24,-,-,32,-,-,21,-,-,31,-,-,25,-,-,29,-,-,15
052124,秋田県,大仙市,2006(平成18),太田東,7,143,70,73,19,-,-,23,-,-,24,-,-,28,-,-,19,-,-,30,-,-,13
052124,秋田県,大仙市,2006(平成18),太田南,8,142,74,68,23,-,-,26,-,-,25,-,-,26,-,-,21,-,-,21,-,-,12
052124,秋田県,大仙市,2006(平成18),太田北,6,63,37,26,9,-,-,7,-,-,15,-,-,8,-,-,14,-,-,10,-,-,10
052124,秋田県,大仙市,2007(平成19),総数,243,4423,2271,2152,662,-,-,722,-,-,720,-,-,746,-,-,754,-,-,819,-,-,394
052124,秋田県,大仙市,2007(平成19),大曲,31,919,467,452,131,-,-,167,-,-,139,-,-,142,-,-,142,-,-,198,-,-,44
052124,秋田県,大仙市,2007(平成19),東大曲,8,81,40,41,15,-,-,10,-,-,7,-,-,20,-,-,16,-,-,13,-,-,11
052124,秋田県,大仙市,2007(平成19),花館,14,380,198,182,68,-,-,60,-,-,61,-,-,63,-,-,62,-,-,66,-,-,24
052124,秋田県,大仙市,2007(平成19),内小友,6,102,47,55,13,-,-,14,-,-,15,-,-,23,-,-,16,-,-,21,-,-,11
052124,秋田県,大仙市,2007(平成19),大川西根,7,77,41,36,10,-,-,15,-,-,7,-,-,19,-,-,9,-,-,17,-,-,12
052124,秋田県,大仙市,2007(平成19),藤木,6,114,60,54,17,-,-,18,-,-,16,-,-,21,-,-,16,-,-,26,-,-,10
052124,秋田県,大仙市,2007(平成19),四ツ屋,8,191,104,87,32,-,-,34,-,-,24,-,-,35,-,-,36,-,-,30,-,-,13
052124,秋田県,大仙市,2007(平成19),角間川,6,100,54,46,16,-,-,8,-,-,16,-,-,23,-,-,20,-,-,17,-,-,10
052124,秋田県,大仙市,2007(平成19),神宮寺,8,184,86,98,31,-,-,25,-,-,36,-,-,30,-,-,28,-,-,34,-,-,15
052124,秋田県,大仙市,2007(平成19),北神,6,99,42,57,11,-,-,11,-,-,20,-,-,16,-,-,22,-,-,19,-,-,10
052124,秋田県,大仙市,2007(平成19),刈和野,9,226,115,111,29,-,-,45,-,-,32,-,-,39,-,-,40,-,-,41,-,-,19
052124,秋田県,大仙市,2007(平成19),土川,7,105,50,55,15,-,-,18,-,-,16,-,-,11,-,-,21,-,-,24,-,-,12
052124,秋田県,大仙市,2007(平成19),大沢郷,7,53,29,24,8,-,-,9,-,-,9,-,-,6,-,-,10,-,-,11,-,-,10
052124,秋田県,大仙市,2007(平成19),双葉,6,58,32,26,11,-,-,8,-,-,10,-,-,12,-,-,9,-,-,8,-,-,9
052124,秋田県,大仙市,2007(平成19),豊岡,8,84,45,39,18,-,-,11,-,-,13,-,-,13,-,-,16,-,-,13,-,-,12
052124,秋田県,大仙市,2007(平成19),中仙,9,236,126,110,32,-,-,39,-,-,36,-,-,44,-,-,38,-,-,47,-,-,15
052124,秋田県,大仙市,2007(平成19),清水,6,92,49,43,11,-,-,19,-,-,25,-,-,6,-,-,12,-,-,19,-,-,10
052124,秋田県,大仙市,2007(平成19),豊川,7,89,46,43,15,-,-,13,-,-,14,-,-,15,-,-,22,-,-,10,-,-,10
052124,秋田県,大仙市,2007(平成19),荒川,7,125,58,67,19,-,-,21,-,-,22,-,-,24,-,-,20,-,-,19,-,-,12
052124,秋田県,大仙市,2007(平成19),稲沢,4,21,9,12,4,-,-,4,-,-,4,-,-,5,-,-,2,-,-,2,-,-,7
052124,秋田県,大仙市,2007(平成19),峰吉川,6,57,32,25,9,-,-,10,-,-,12,-,-,7,-,-,10,-,-,9,-,-,9
052124,秋田県,大仙市,2007(平成19),船岡,6,86,48,38,14,-,-,16,-,-,16,-,-,15,-,-,9,-,-,16,-,-,10
052124,秋田県,大仙市,2007(平成19),淀川,5,41,17,24,4,-,-,6,-,-,7,-,-,10,-,-,5,-,-,9,-,-,8
