市町村コード,都道府県名,市町村名,年度,財源区分,歳入項目,決算額（千円）,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),自主財源,市税,7450789,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),自主財源,分担金・負担金,545691,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),自主財源,使用料・手数料,514117,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),自主財源,財産収入,106134,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),自主財源,寄付金（含む繰入金),1956766,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),自主財源,繰越金,1417351,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),自主財源,諸収入,1352951,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,地方譲与税,1344054,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,利子割交付金,34645,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,配当割交付金,8035,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,株式等譲渡取得割交付金,10623,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,地方消費税交付金,870480,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,ゴルフ場利用税交付金,18775,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,自動車取得税交付金,300669,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,地方特例交付金,234771,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,地方交付税,19975059,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,交通安全対策特別交付金,23600,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,国庫支出金,4137015,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,県支出金,2430724,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2005(平成17),依存財源,市債,5578700,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,自主財源,市税,7493120,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,自主財源,分担金・負担金,437287,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,自主財源,使用料・手数料,521920,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,自主財源,財産収入,111714,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,自主財源,寄付金（含む繰入金),1752048,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,自主財源,繰越金,1402075,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,自主財源,諸収入,1358971,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,地方譲与税,1608195,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,利子割交付金,25125,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,配当割交付金,15956,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,株式等譲渡取得割交付金,9445,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,地方消費税交付金,894873,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,ゴルフ場利用税交付金,21120,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,自動車取得税交付金,314130,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,地方特例交付金,172287,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,地方交付税,19491041,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,交通安全対策特別交付金,24187,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,国庫支出金,3983313,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,県支出金,2286761,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2006(平成18）,依存財源,市債,6066800,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,自主財源,市税,8220643,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,自主財源,分担金・負担金,420562,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,自主財源,使用料・手数料,522856,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,自主財源,財産収入,117373,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,自主財源,寄付金（含む繰入金),2370332,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,自主財源,繰越金,1391699,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,自主財源,諸収入,1164637,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,地方譲与税,994161,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,利子割交付金,31695,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,配当割交付金,21468,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,株式等譲渡取得割交付金,9486,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,地方消費税交付金,879494,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,ゴルフ場利用税交付金,19112,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,自動車取得税交付金,279382,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,地方特例交付金,55407,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,地方交付税,19072527,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,交通安全対策特別交付金,23267,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,国庫支出金,3444967,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,県支出金,2748682,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,市債,5129221,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,市税,8133796,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,分担金・負担金,396418,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,使用料・手数料,571263,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,財産収入,107227,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,寄付金（含む繰入金),984928,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,繰越金,846638,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,諸収入,1634141,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,地方譲与税,963618,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,利子割交付金,32293,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,配当割交付金,5911,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,株式等譲渡取得割交付金,1661,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,地方消費税交付金,833807,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,ゴルフ場利用税交付金,18872,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,自動車取得税交付金,251579,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,地方特例交付金,105721,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,地方交付税,19165376,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,交通安全対策特別交付金,20652,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,国庫支出金,4145629,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,県支出金,2645838,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,市債,4415092,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,市税,7976008,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,分担金・負担金,361319,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,使用料・手数料,477753,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,財産収入,71212,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,寄付金（含む繰入金),193719,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,繰越金,1021464,,,,,,,,,,,,,,,
