市町村コード,都道府県名,市町村名,地域,年度,世帯数(世帯),(男女計)人口(人),(男)人口(人),(女)人口(人)
5212,秋田県,大仙市,全域,1975,26323,107538,51997,55541
5212,秋田県,大仙市,大曲地域,1975,10949,40493,19251,21242
5212,秋田県,大仙市,神岡地域,1975,1731,6957,3416,3541
5212,秋田県,大仙市,西仙北地域,1975,3076,13516,6599,6917
5212,秋田県,大仙市,中仙地域,1975,2999,13380,6478,6902
5212,秋田県,大仙市,協和地域,1975,2455,10637,5180,5457
5212,秋田県,大仙市,南外地域,1975,1272,5515,2722,2793
5212,秋田県,大仙市,仙北地域,1975,1893,8398,4068,4330
5212,秋田県,大仙市,太田地域,1975,1948,8642,4283,4359
5212,秋田県,大仙市,全域,1976,26537,107966,52314,55652
5212,秋田県,大仙市,大曲地域,1976,11116,40952,19543,21409
5212,秋田県,大仙市,神岡地域,1976,1747,6960,3422,3538
5212,秋田県,大仙市,西仙北地域,1976,3095,13450,6580,6870
5212,秋田県,大仙市,中仙地域,1976,3001,13431,6525,6906
5212,秋田県,大仙市,協和地域,1976,2443,10607,5163,5444
5212,秋田県,大仙市,南外地域,1976,1266,5476,2707,2769
5212,秋田県,大仙市,仙北地域,1976,1905,8424,4082,4342
5212,秋田県,大仙市,太田地域,1976,1964,8666,4292,4374
5212,秋田県,大仙市,全域,1977,26670,108108,52491,55617
5212,秋田県,大仙市,大曲地域,1977,11233,41230,19672,21558
5212,秋田県,大仙市,神岡地域,1977,1752,6951,3439,3512
5212,秋田県,大仙市,西仙北地域,1977,3106,13415,6583,6832
5212,秋田県,大仙市,中仙地域,1977,3010,13480,6563,6917
5212,秋田県,大仙市,協和地域,1977,2440,10590,5180,5410
5212,秋田県,大仙市,南外地域,1977,1267,5447,2696,2751
5212,秋田県,大仙市,仙北地域,1977,1905,8377,4086,4291
5212,秋田県,大仙市,太田地域,1977,1957,8618,4272,4346
5212,秋田県,大仙市,全域,1978,26768,108363,52593,55770
5212,秋田県,大仙市,大曲地域,1978,11341,41475,19813,21662
5212,秋田県,大仙市,神岡地域,1978,1722,6915,3417,3498
5212,秋田県,大仙市,西仙北地域,1978,3110,13367,6545,6822
5212,秋田県,大仙市,中仙地域,1978,3014,13514,6582,6932
5212,秋田県,大仙市,協和地域,1978,2444,10576,5194,5382
5212,秋田県,大仙市,南外地域,1978,1265,5430,2678,2752
5212,秋田県,大仙市,仙北地域,1978,1918,8453,4099,4354
5212,秋田県,大仙市,太田地域,1978,1954,8633,4265,4368
5212,秋田県,大仙市,全域,1979,26837,108544,52613,55931
5212,秋田県,大仙市,大曲地域,1979,11414,41617,19882,21735
5212,秋田県,大仙市,神岡地域,1979,1691,6868,3357,3511
5212,秋田県,大仙市,西仙北地域,1979,3112,13284,6506,6778
5212,秋田県,大仙市,中仙地域,1979,3024,13564,6593,6971
5212,秋田県,大仙市,協和地域,1979,2443,10568,5193,5375
5212,秋田県,大仙市,南外地域,1979,1269,5472,2697,2775
5212,秋田県,大仙市,仙北地域,1979,1920,8497,4125,4372
5212,秋田県,大仙市,太田地域,1979,1964,8674,4260,4414
5212,秋田県,大仙市,全域,1980,26884,108521,52545,55976
5212,秋田県,大仙市,大曲地域,1980,11446,41745,19917,21828
5212,秋田県,大仙市,神岡地域,1980,1666,6854,3331,3523
5212,秋田県,大仙市,西仙北地域,1980,3117,13216,6486,6730
5212,秋田県,大仙市,中仙地域,1980,3030,13538,6589,6949
5212,秋田県,大仙市,協和地域,1980,2484,10544,5167,5377
5212,秋田県,大仙市,南外地域,1980,1261,5447,2683,2764
5212,秋田県,大仙市,仙北地域,1980,1921,8497,4123,4374
5212,秋田県,大仙市,太田地域,1980,1959,8680,4249,4431
5212,秋田県,大仙市,全域,1981,27093,108339,52386,55953
5212,秋田県,大仙市,大曲地域,1981,11626,41823,19922,21901
5212,秋田県,大仙市,神岡地域,1981,1653,6780,3279,3501
5212,秋田県,大仙市,西仙北地域,1981,3112,13162,6470,6692
5212,秋田県,大仙市,中仙地域,1981,3043,13499,6556,6943
5212,秋田県,大仙市,協和地域,1981,2509,10468,5151,5317
5212,秋田県,大仙市,南外地域,1981,1268,5440,2665,2775
5212,秋田県,大仙市,仙北地域,1981,1925,8506,4105,4401
5212,秋田県,大仙市,太田地域,1981,1957,8661,4238,4423
5212,秋田県,大仙市,全域,1982,27213,108075,52268,55807
5212,秋田県,大仙市,大曲地域,1982,11748,41885,20000,21885
5212,秋田県,大仙市,神岡地域,1982,1642,6711,3229,3482
5212,秋田県,大仙市,西仙北地域,1982,3107,13041,6407,6634
5212,秋田県,大仙市,中仙地域,1982,3053,13442,6527,6915
5212,秋田県,大仙市,協和地域,1982,2516,10471,5153,5318
5212,秋田県,大仙市,南外地域,1982,1267,5428,2647,2781
5212,秋田県,大仙市,仙北地域,1982,1928,8503,4110,4393
5212,秋田県,大仙市,太田地域,1982,1952,8594,4195,4399
5212,秋田県,大仙市,全域,1983,27337,107667,52053,55614
5212,秋田県,大仙市,大曲地域,1983,11851,41727,19929,21798
5212,秋田県,大仙市,神岡地域,1983,1643,6656,3187,3469
5212,秋田県,大仙市,西仙北地域,1983,3117,12989,6386,6603
5212,秋田県,大仙市,中仙地域,1983,3055,13353,6472,6881
5212,秋田県,大仙市,協和地域,1983,2512,10427,5135,5292
5212,秋田県,大仙市,南外地域,1983,1264,5384,2627,2757
5212,秋田県,大仙市,仙北地域,1983,1940,8541,4133,4408
5212,秋田県,大仙市,太田地域,1983,1955,8590,4184,4406
5212,秋田県,大仙市,全域,1984,27330,107333,51831,55502
5212,秋田県,大仙市,大曲地域,1984,11857,41585,19838,21747
5212,秋田県,大仙市,神岡地域,1984,1648,6664,3197,3467
5212,秋田県,大仙市,西仙北地域,1984,3122,12906,6357,6549
5212,秋田県,大仙市,中仙地域,1984,3039,13267,6417,6850
5212,秋田県,大仙市,協和地域,1984,2506,10387,5086,5301
5212,秋田県,大仙市,南外地域,1984,1263,5347,2597,2750
5212,秋田県,大仙市,仙北地域,1984,1942,8551,4135,4416
5212,秋田県,大仙市,太田地域,1984,1953,8626,4204,4422
5212,秋田県,大仙市,全域,1985,27422,106896,51532,55364
5212,秋田県,大仙市,大曲地域,1985,11849,41286,19700,21586
5212,秋田県,大仙市,神岡地域,1985,1657,6659,3184,3475
5212,秋田県,大仙市,西仙北地域,1985,3131,12797,6285,6512
5212,秋田県,大仙市,中仙地域,1985,3038,13252,6402,6850
5212,秋田県,大仙市,協和地域,1985,2536,10375,5083,5292
5212,秋田県,大仙市,南外地域,1985,1312,5381,2595,2786
5212,秋田県,大仙市,仙北地域,1985,1949,8540,4106,4434
5212,秋田県,大仙市,太田地域,1985,1950,8606,4177,4429
5212,秋田県,大仙市,全域,1986,27516,106593,51353,55240
5212,秋田県,大仙市,大曲地域,1986,11940,41204,19656,21548
5212,秋田県,大仙市,神岡地域,1986,1661,6701,3216,3485
5212,秋田県,大仙市,西仙北地域,1986,3129,12708,6236,6472
5212,秋田県,大仙市,中仙地域,1986,3045,13192,6371,6821
5212,秋田県,大仙市,協和地域,1986,2521,10315,5031,5284
5212,秋田県,大仙市,南外地域,1986,1308,5340,2560,2780
5212,秋田県,大仙市,仙北地域,1986,1955,8535,4103,4432
5212,秋田県,大仙市,太田地域,1986,1957,8598,4180,4418
5212,秋田県,大仙市,全域,1987,27526,106147,51115,55032
5212,秋田県,大仙市,大曲地域,1987,11932,40936,19522,21414
5212,秋田県,大仙市,神岡地域,1987,1670,6673,3198,3475
5212,秋田県,大仙市,西仙北地域,1987,3132,12673,6214,6459
5212,秋田県,大仙市,中仙地域,1987,3052,13180,6374,6806
5212,秋田県,大仙市,協和地域,1987,2527,10236,5001,5235
5212,秋田県,大仙市,南外地域,1987,1308,5346,2563,2783
5212,秋田県,大仙市,仙北地域,1987,1955,8540,4093,4447
5212,秋田県,大仙市,太田地域,1987,1950,8563,4150,4413
5212,秋田県,大仙市,全域,1988,27548,105569,50754,54815
5212,秋田県,大仙市,大曲地域,1988,11979,40710,19425,21285
5212,秋田県,大仙市,神岡地域,1988,1661,6642,3159,3483
5212,秋田県,大仙市,西仙北地域,1988,3128,12551,6149,6402
5212,秋田県,大仙市,中仙地域,1988,3028,13124,6323,6801
5212,秋田県,大仙市,協和地域,1988,2529,10193,4958,5235
5212,秋田県,大仙市,南外地域,1988,1309,5313,2544,2769
5212,秋田県,大仙市,仙北地域,1988,1969,8533,4091,4442
5212,秋田県,大仙市,太田地域,1988,1945,8503,4105,4398
5212,秋田県,大仙市,全域,1989,27629,104890,50368,54522
5212,秋田県,大仙市,大曲地域,1989,12065,40398,19266,21132
5212,秋田県,大仙市,神岡地域,1989,1650,6586,3114,3472
5212,秋田県,大仙市,西仙北地域,1989,3138,12504,6135,6369
5212,秋田県,大仙市,中仙地域,1989,3024,13051,6269,6782
5212,秋田県,大仙市,協和地域,1989,2521,10107,4900,5207
5212,秋田県,大仙市,南外地域,1989,1306,5272,2508,2764
5212,秋田県,大仙市,仙北地域,1989,1978,8528,4100,4428
5212,秋田県,大仙市,太田地域,1989,1947,8444,4076,4368
5212,秋田県,大仙市,全域,1990,27745,104515,50140,54375
5212,秋田県,大仙市,大曲地域,1990,12141,40268,19164,21104
5212,秋田県,大仙市,神岡地域,1990,1655,6579,3104,3475
5212,秋田県,大仙市,西仙北地域,1990,3145,12429,6092,6337
5212,秋田県,大仙市,中仙地域,1990,3010,12938,6214,6724
5212,秋田県,大仙市,協和地域,1990,2536,10063,4885,5178
5212,秋田県,大仙市,南外地域,1990,1312,5277,2507,2770
5212,秋田県,大仙市,仙北地域,1990,2000,8526,4105,4421
5212,秋田県,大仙市,太田地域,1990,1946,8435,4069,4366
5212,秋田県,大仙市,全域,1991,27849,103690,49636,54054
5212,秋田県,大仙市,大曲地域,1991,12205,39982,18995,20987
5212,秋田県,大仙市,神岡地域,1991,1670,6558,3098,3460
5212,秋田県,大仙市,西仙北地域,1991,3152,12288,6025,6263
5212,秋田県,大仙市,中仙地域,1991,3013,12819,6157,6662
5212,秋田県,大仙市,協和地域,1991,2534,9939,4794,5145
5212,秋田県,大仙市,南外地域,1991,1310,5246,2476,2770
5212,秋田県,大仙市,仙北地域,1991,2012,8507,4069,4438
5212,秋田県,大仙市,太田地域,1991,1953,8351,4022,4329
5212,秋田県,大仙市,全域,1992,27844,103165,49328,53837
5212,秋田県,大仙市,大曲地域,1992,12331,39902,18981,20921
5212,秋田県,大仙市,神岡地域,1992,1662,6486,3051,3435
5212,秋田県,大仙市,西仙北地域,1992,3049,12230,5944,6286
5212,秋田県,大仙市,中仙地域,1992,3013,12735,6116,6619
5212,秋田県,大仙市,協和地域,1992,2523,9856,4748,5108
5212,秋田県,大仙市,南外地域,1992,1305,5193,2450,2743
5212,秋田県,大仙市,仙北地域,1992,2015,8466,4045,4421
5212,秋田県,大仙市,太田地域,1992,1946,8297,3993,4304
5212,秋田県,大仙市,全域,1993,27966,102684,49083,53601
5212,秋田県,大仙市,大曲地域,1993,12436,39839,18940,20899
5212,秋田県,大仙市,神岡地域,1993,1665,6464,3027,3437
5212,秋田県,大仙市,西仙北地域,1993,3043,12135,5894,6241
5212,秋田県,大仙市,中仙地域,1993,3008,12624,6070,6554
5212,秋田県,大仙市,協和地域,1993,2532,9746,4705,5041
5212,秋田県,大仙市,南外地域,1993,1303,5162,2436,2726
5212,秋田県,大仙市,仙北地域,1993,2031,8419,4019,4400
5212,秋田県,大仙市,太田地域,1993,1948,8295,3992,4303
5212,秋田県,大仙市,全域,1994,28191,102444,48993,53451
5212,秋田県,大仙市,大曲地域,1994,12557,39923,18984,20939
5212,秋田県,大仙市,神岡地域,1994,1688,6492,3039,3453
5212,秋田県,大仙市,西仙北地域,1994,3046,11958,5803,6155
5212,秋田県,大仙市,中仙地域,1994,3025,12566,6056,6510
5212,秋田県,大仙市,協和地域,1994,2542,9681,4686,4995
5212,秋田県,大仙市,南外地域,1994,1308,5159,2447,2712
5212,秋田県,大仙市,仙北地域,1994,2045,8388,4004,4384
5212,秋田県,大仙市,太田地域,1994,1980,8277,3974,4303
5212,秋田県,大仙市,全域,1995,28438,101946,48737,53209
5212,秋田県,大仙市,大曲地域,1995,12714,39834,18921,20913
5212,秋田県,大仙市,神岡地域,1995,1704,6497,3047,3450
5212,秋田県,大仙市,西仙北地域,1995,3047,11812,5722,6090
5212,秋田県,大仙市,中仙地域,1995,3074,12503,6026,6477
5212,秋田県,大仙市,協和地域,1995,2561,9581,4654,4927
5212,秋田県,大仙市,南外地域,1995,1306,5100,2423,2677
5212,秋田県,大仙市,仙北地域,1995,2048,8375,3986,4389
5212,秋田県,大仙市,太田地域,1995,1984,8244,3958,4286
5212,秋田県,大仙市,全域,1996,28694,101397,48542,52855
5212,秋田県,大仙市,大曲地域,1996,12889,39764,18947,20817
5212,秋田県,大仙市,神岡地域,1996,1717,6475,3036,3439
5212,秋田県,大仙市,西仙北地域,1996,3045,11655,5656,5999
5212,秋田県,大仙市,中仙地域,1996,3108,12428,6001,6427
5212,秋田県,大仙市,協和地域,1996,2575,9489,4604,4885
5212,秋田県,大仙市,南外地域,1996,1318,5069,2404,2665
5212,秋田県,大仙市,仙北地域,1996,2055,8342,3965,4377
5212,秋田県,大仙市,太田地域,1996,1987,8175,3929,4246
5212,秋田県,大仙市,全域,1997,28953,101091,48267,52824
5212,秋田県,大仙市,大曲地域,1997,13030,39771,18929,20842
5212,秋田県,大仙市,神岡地域,1997,1725,6469,3005,3464
5212,秋田県,大仙市,西仙北地域,1997,3030,11558,5579,5979
5212,秋田県,大仙市,中仙地域,1997,3115,12354,5951,6403
5212,秋田県,大仙市,協和地域,1997,2616,9464,4555,4909
5212,秋田県,大仙市,南外地域,1997,1329,5036,2394,2642
5212,秋田県,大仙市,仙北地域,1997,2065,8267,3938,4329
5212,秋田県,大仙市,太田地域,1997,2043,8172,3916,4256
5212,秋田県,大仙市,全域,1998,29111,100426,47899,52527
5212,秋田県,大仙市,大曲地域,1998,13141,39512,18769,20743
5212,秋田県,大仙市,神岡地域,1998,1727,6430,2978,3452
5212,秋田県,大仙市,西仙北地域,1998,3039,11543,5555,5988
5212,秋田県,大仙市,中仙地域,1998,3137,12254,5885,6369
5212,秋田県,大仙市,協和地域,1998,2618,9347,4518,4829
5212,秋田県,大仙市,南外地域,1998,1324,4990,2368,2622
5212,秋田県,大仙市,仙北地域,1998,2083,8271,3956,4315
5212,秋田県,大仙市,太田地域,1998,2042,8079,3870,4209
5212,秋田県,大仙市,全域,1999,29474,100088,47712,52376
5212,秋田県,大仙市,大曲地域,1999,13364,39584,18812,20772
5212,秋田県,大仙市,神岡地域,1999,1791,6427,2959,3468
5212,秋田県,大仙市,西仙北地域,1999,3037,11367,5487,5880
5212,秋田県,大仙市,中仙地域,1999,3189,12197,5838,6359
5212,秋田県,大仙市,協和地域,1999,2631,9321,4501,4820
5212,秋田県,大仙市,南外地域,1999,1317,4906,2342,2564
5212,秋田県,大仙市,仙北地域,1999,2108,8247,3937,4310
5212,秋田県,大仙市,太田地域,1999,2037,8039,3836,4203
5212,秋田県,大仙市,全域,2000,29667,99195,47347,51848
5212,秋田県,大仙市,大曲地域,2000,13508,39443,18805,20638
5212,秋田県,大仙市,神岡地域,2000,1812,6335,2917,3418
5212,秋田県,大仙市,西仙北地域,2000,3046,11163,5380,5783
5212,秋田県,大仙市,中仙地域,2000,3187,12056,5781,6275
5212,秋田県,大仙市,協和地域,2000,2628,9174,4422,4752
5212,秋田県,大仙市,南外地域,2000,1309,4839,2312,2527
5212,秋田県,大仙市,仙北地域,2000,2116,8190,3923,4267
5212,秋田県,大仙市,太田地域,2000,2061,7995,3807,4188
5212,秋田県,大仙市,全域,2001,29807,98316,46875,51441
5212,秋田県,大仙市,大曲地域,2001,13526,39101,18614,20487
5212,秋田県,大仙市,神岡地域,2001,1819,6269,2885,3384
5212,秋田県,大仙市,西仙北地域,2001,3043,10996,5295,5701
5212,秋田県,大仙市,中仙地域,2001,3212,11953,5743,6210
5212,秋田県,大仙市,協和地域,2001,2634,9087,4383,4704
5212,秋田県,大仙市,南外地域,2001,1309,4811,2294,2517
5212,秋田県,大仙市,仙北地域,2001,2200,8209,3909,4300
5212,秋田県,大仙市,太田地域,2001,2064,7890,3752,4138
5212,秋田県,大仙市,全域,2002,29993,97609,46501,51108
5212,秋田県,大仙市,大曲地域,2002,13610,39022,18554,20468
5212,秋田県,大仙市,神岡地域,2002,1826,6190,2848,3342
5212,秋田県,大仙市,西仙北地域,2002,3089,10896,5255,5641
5212,秋田県,大仙市,中仙地域,2002,3256,11875,5703,6172
5212,秋田県,大仙市,協和地域,2002,2648,8971,4313,4658
5212,秋田県,大仙市,南外地域,2002,1308,4745,2262,2483
5212,秋田県,大仙市,仙北地域,2002,2187,8136,3859,4277
5212,秋田県,大仙市,太田地域,2002,2069,7774,3707,4067
5212,秋田県,大仙市,全域,2003,30115,96898,46130,50768
5212,秋田県,大仙市,大曲地域,2003,13688,38842,18457,20385
5212,秋田県,大仙市,神岡地域,2003,1835,6130,2815,3315
5212,秋田県,大仙市,西仙北地域,2003,3087,10759,5176,5583
5212,秋田県,大仙市,中仙地域,2003,3270,11783,5672,6111
5212,秋田県,大仙市,協和地域,2003,2657,8894,4269,4625
5212,秋田県,大仙市,南外地域,2003,1301,4675,2234,2441
5212,秋田県,大仙市,仙北地域,2003,2197,8108,3843,4265
5212,秋田県,大仙市,太田地域,2003,2080,7707,3664,4043
5212,秋田県,大仙市,全域,2004,30206,96059,45659,50400
5212,秋田県,大仙市,大曲地域,2004,13734,38617,18323,20294
5212,秋田県,大仙市,神岡地域,2004,1846,6102,2797,3305
5212,秋田県,大仙市,西仙北地域,2004,3082,10616,5103,5513
5212,秋田県,大仙市,中仙地域,2004,3273,11657,5590,6067
5212,秋田県,大仙市,協和地域,2004,2667,8749,4194,4555
5212,秋田県,大仙市,南外地域,2004,1297,4598,2186,2412
5212,秋田県,大仙市,仙北地域,2004,2226,8067,3820,4247
5212,秋田県,大仙市,太田地域,2004,2081,7653,3646,4007
5212,秋田県,大仙市,全域,2005,30391,95155,45180,49975
5212,秋田県,大仙市,大曲地域,2005,13831,38376,18220,20156
5212,秋田県,大仙市,神岡地域,2005,1844,5990,2732,3258
5212,秋田県,大仙市,西仙北地域,2005,3158,10561,5055,5506
5212,秋田県,大仙市,中仙地域,2005,3272,11542,5525,6017
5212,秋田県,大仙市,協和地域,2005,2652,8599,4104,4495
5212,秋田県,大仙市,南外地域,2005,1300,4538,2158,2380
5212,秋田県,大仙市,仙北地域,2005,2248,8001,3797,4204
5212,秋田県,大仙市,太田地域,2005,2086,7548,3589,3959
5212,秋田県,大仙市,全域,2006,30484,94160,44628,49532
5212,秋田県,大仙市,大曲地域,2006,13896,38123,18057,20066
5212,秋田県,大仙市,神岡地域,2006,1850,5955,2729,3226
5212,秋田県,大仙市,西仙北地域,2006,3145,10388,4955,5433
5212,秋田県,大仙市,中仙地域,2006,3270,11393,5437,5956
5212,秋田県,大仙市,協和地域,2006,2646,8418,4007,4411
5212,秋田県,大仙市,南外地域,2006,1298,4458,2113,2345
5212,秋田県,大仙市,仙北地域,2006,2275,7974,3790,4184
5212,秋田県,大仙市,太田地域,2006,2104,7451,3540,3911
5212,秋田県,大仙市,全域,2007,30548,93103,44072,49031
5212,秋田県,大仙市,大曲地域,2007,13981,37870,17895,19975
5212,秋田県,大仙市,神岡地域,2007,1861,5929,2727,3202
5212,秋田県,大仙市,西仙北地域,2007,3121,10195,4851,5344
5212,秋田県,大仙市,中仙地域,2007,3265,11288,5388,5900
5212,秋田県,大仙市,協和地域,2007,2651,8228,3935,4293
5212,秋田県,大仙市,南外地域,2007,1292,4360,2063,2297
5212,秋田県,大仙市,仙北地域,2007,2285,7875,3731,4144
5212,秋田県,大仙市,太田地域,2007,2092,7358,3482,3876
5212,秋田県,大仙市,全域,2008,30678,92224,43569,48655
5212,秋田県,大仙市,大曲地域,2008,14106,37793,17823,19970
5212,秋田県,大仙市,神岡地域,2008,1855,5862,2684,3178
5212,秋田県,大仙市,西仙北地域,2008,3104,9998,4746,5252
5212,秋田県,大仙市,中仙地域,2008,3260,11114,5292,5822
5212,秋田県,大仙市,協和地域,2008,2656,8076,3860,4216
5212,秋田県,大仙市,南外地域,2008,1298,4282,2037,2245
5212,秋田県,大仙市,仙北地域,2008,2303,7809,3691,4118
5212,秋田県,大仙市,太田地域,2008,2096,7290,3436,3854
5212,秋田県,大仙市,全域,2009,30732,91308,43071,48237
5212,秋田県,大仙市,大曲地域,2009,14139,37555,17683,19872
5212,秋田県,大仙市,神岡地域,2009,1861,5848,2666,3182
5212,秋田県,大仙市,西仙北地域,2009,3102,9817,4663,5154
5212,秋田県,大仙市,中仙地域,2009,3251,10959,5231,5728
5212,秋田県,大仙市,協和地域,2009,2651,7945,3800,4145
5212,秋田県,大仙市,南外地域,2009,1294,4182,1973,2209
5212,秋田県,大仙市,仙北地域,2009,2340,7787,3675,4112
5212,秋田県,大仙市,太田地域,2009,2094,7215,3380,3835
5212,秋田県,大仙市,全域,2010,30863,90406,42603,47803
5212,秋田県,大仙市,大曲地域,2010,14261,37454,17637,19817
5212,秋田県,大仙市,神岡地域,2010,1851,5793,2634,3159
5212,秋田県,大仙市,西仙北地域,2010,3131,9658,4566,5092
5212,秋田県,大仙市,中仙地域,2010,3277,10835,5176,5659
5212,秋田県,大仙市,協和地域,2010,2634,7797,3720,4077
