市町村コード,都道府県名,市町村名,地域,年度,申請件数総数（件）,申請件数（5人槽）（件）,申請件数（6～7人槽）（件）,申請件数（8～10人槽）（件）,補助金決定額総額（千円）,補助金決定額（5人槽）（千円）,補助金決定額（6～7人槽）（千円）,補助金決定額（8～10人槽）（千円）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2005(平成17),246,84,157,5,"154,517","47,208","103,149","4,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2006(平成18）,221,78,141,2,"138,137","43,836","92,637","1,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2007(平成19）,217,87,125,5,"104,411","36,801","64,250","3,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2008(平成20）,181,78,98,5,"85,860","32,058","50,372","3,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2009(平成21）,203,74,127,2,"97,064","30,414","65,278","1,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2010(平成22）,166,57,103,5,"80,210","23,838","52,942","3,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2011(平成23）,189,84,100,5,"89,354","34,524","51,400","3,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2012(平成24）,151,71,79,1,"70,473","29,181","40,606",686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2013(平成25）,166,71,91,4,"78,699","29,181","46,774","2,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2014(平成26）,126,59,66,1,"66,262","27,258","38,220",784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2015(平成27）,149,67,82,0,"79,000","31,372","47,628",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2016(平成28）,125,63,62,0,"65,507","29,492","36,015",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2017(平成29）,110,54,55,1,"58,239","25,262","32,193",784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2018(平成30）,115,60,54,1,"59,941","27,846","31,311",784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2019(令和1）,101,66,35,0,"44,543","26,772","17,771",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,市全域,2020(令和2）,84,54,30,0,"37,187","21,840","15,347",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
