市町村コード,都道府県名,市町村名,年度,総人口（人）,一般被保険者_若年（人）,一般被保険者_老人（人）,一般被保険者_計（人）,退職被保険者等_本人（人）,退職被保険者等_扶養（人）,退職被保険者等_計（人）,合計（人）,対前年増減率（％）,加入率（％）
05212,秋田県,大仙市,2005(平成17),"96,059","24,740","10,960","35,700","3,573","1,353","4,926","40,626",-,42.30
05212,秋田県,大仙市,2006(平成18）,"95,155","24,607","10,666","35,273","3,683","1,387","5,070","40,343",△ 0.70,42.40
05212,秋田県,大仙市,2007(平成19）,"93,653","23,965","10,247","34,212","3,849","1,391","5,240","39,452",△ 2.21,42.13
05212,秋田県,大仙市,2008(平成20）,"92,716","26,978",-,"26,978","1,030",352,"1,382","28,360",△ 28.12,30.59
05212,秋田県,大仙市,2009(平成21）,"91,776","26,069",-,"26,069","1,249",479,"1,728","27,797",△ 1.99,30.29
05212,秋田県,大仙市,2010(平成22）,"90,868","24,776",-,"24,776","1,457",544,"2,001","26,777",△ 3.67,29.47
05212,秋田県,大仙市,2011(平成23）,"89,849","23,742",-,"23,742","1,607",633,"2,240","25,982",△ 2.67,28.92
05212,秋田県,大仙市,2012(平成24）,"88,906","23,045",-,"23,045","1,606",574,"2,180","25,225",△ 2.91,28.37
05212,秋田県,大仙市,2013(平成25）,"87,876","22,217",-,"22,217","1,564",500,"2,064","24,281",△ 3.74,27.63
05212,秋田県,大仙市,2014(平成26）,"86,780","21,162",-,"21,162","1,484",364,"1,848","23,010",△ 5.23,26.52
05212,秋田県,大仙市,2015(平成27）,"85,556","20,224",-,"20,224","1,161",242,"1,403","21,627",△ 6.01,25.28
05212,秋田県,大仙市,2016(平成28）,"84,345","19,496",-,"19,496",759,141,900,"20,396",△ 5.69,24.18
05212,秋田県,大仙市,2017(平成29）,"83,165","18,680",-,"18,680",415,61,476,"19,156",△ 6.08,23.03
05212,秋田県,大仙市,2018(平成30）,"81,930","18,051",-,"18,051",183,15,198,"18,249",△ 4.73,22.28
05212,秋田県,大仙市,2019(令和1）,"80,650","17,463",-,"17,463",40,0,40,"17,503",△ 4.09,21.70
05212,秋田県,大仙市,2020(令和2）,"79,411","17,143",-,"17,143",0,0,0,"17,143",△ 2.06,21.59
05212,秋田県,大仙市,2021(令和3）,"78,080","16,624",-,"16,624",0,0,0,"16,624",△ 3.03,21.29
