NO,市町村コード,都道府県名,市区町村名,名称,名称_カナ,文化財分類,種類,住所,電話番号,員数（数）,員数（単位）,所有者等,文化財指定日,備考,,アクセス名,備考
1,52124,秋田県,大仙市,線刻千手観音等鏡像,センコクセンジュカンノントウキョウゾウ,国指定国宝,工芸品,秋田県大仙市豊川字観音堂57,0187-63-8972,1,面,水神社,1953/11/14,中仙地域,401,水神社へは,
2,52124,秋田県,大仙市,古四王神社本殿,コシオウジンジャホンデン,国指定重要文化財,建造物,秋田県大仙市大曲字古四王際30,0187-63-8972,1,棟,古四王神社(個人所有),1953/11/14,大曲地域,101,古四王神社へは,
3,52124,秋田県,大仙市,絹本著色当麻曼荼羅図,ケンポンチャクショクタイママンダラズ,国指定重要文化財,絵画,秋田県大仙市角間川町字東本町82,0187-63-8972,1,幅,浄蓮寺,1953/11/14,大曲地域,135,浄蓮寺へは,
4,52124,秋田県,大仙市,刈和野の大綱引き,カリワノノオオツナヒキ,国指定重要無形民俗文化財,,秋田県大仙市刈和野,0187-63-8972,,,刈和野大綱引保存会,1984/1/19,西仙北地域,301,刈和野の大綱引きを見るには,
5,52124,秋田県,大仙市,払田柵跡,ホッタノサクアト,国指定史跡,,秋田県大仙市払田字仲谷地95,0187-63-8972,,,大仙市(大仙市他),1931/3/30,仙北地域,709,払田柵跡へは,
6,52124,秋田県,大仙市,旧池田氏庭園,キュウイケダシテイエン,国指定名勝,,秋田県大仙市高梨字大嶋1,0187-63-8972,,,大仙市（個人）,2004/2/27,仙北地域,701,池田氏庭園へは,
7,52124,秋田県,大仙市,強首樅峰苑（旧小山田家住宅）,コワクビショウホウエン（キュウオヤマダケジュウタク）,国登録有形文化財,建造物,秋田県大仙市強首字強首268,0187-63-8972,1,棟,個人,1999/10/14,西仙北地域,302,強首樅峰苑へは,
8,52124,秋田県,大仙市,秋田県立農業科学館曲屋,アキタケンリツノウギョウカガクカンマガリヤ,国登録有形文化財,建造物,秋田県大仙市内小友字中沢171-4,0187-63-8972,1,棟,秋田県,2000/4/28,大曲地域,102,農業科学館へは,
9,52124,秋田県,大仙市,奥田酒造店店舗兼主屋,オクダシュゾウテンテンポケンシュオク,国登録有形文化財,建造物,秋田県大仙市協和境字境113,0187-63-8972,1,棟,個人,2009/4/28,協和地域,,,
10,52124,秋田県,大仙市,秋田南外の仕事着,アキタナンガイノシゴトギ,国登録有形民俗文化財,,秋田県大仙市南外字松木田193-1,0187-63-8972,341,点,大仙市,2014/3/10,南外地域,,,
11,52124,秋田県,大仙市,旧本郷家住宅主屋,キュウホンゴウケジュウタクシュオク,国登録有形文化財,建造物,秋田県大仙市角間川町字西中上町19,0187-63-8972,1,棟,大仙市,2016/11/29,大曲地域,,,
12,52124,秋田県,大仙市,旧本郷家住宅洋館,キュウホウゴウケジュウタクヨウカン,国登録有形文化財,建造物,秋田県大仙市角間川町字西中上町19,0187-63-8972,1,棟,大仙市,2016/11/29,大曲地域,,,
13,52124,秋田県,大仙市,旧本郷家住宅文庫蔵,キュウホンゴウケジュウタクブンコグラ,国登録有形文化財,建造物,秋田県大仙市角間川町字西中上町19,0187-63-8972,1,棟,大仙市,2016/11/29,大曲地域,,,
14,52124,秋田県,大仙市,旧本郷家住宅味噌蔵,キュウホンゴウケジュウタクミソグラ,国登録有形文化財,建造物,秋田県大仙市角間川町字西中上町19-5,0187-63-8972,1,棟,大仙市,2016/11/29,大曲地域,,,
15,52124,秋田県,大仙市,旧池田家住宅洋館,キュウイケダケジュウタクヨウカン,国指定重要文化財,建造物,秋田県大仙市高梨字大嶋1,0187-63-8972,1,棟,大仙市,2017/11/28,仙北地域,,,
16,52124,秋田県,大仙市,鈴木酒造店事務所兼主屋,スズキシュゾウテンジムショケンオモヤ,国登録有形文化財,建造物,秋田県大仙市長野字二日町9,0187-63-8972,1,棟,個人,2020/4/3,中仙地域,,,
17,52124,秋田県,大仙市,鈴木酒造店上座敷,スズキシュゾウテンカミノザシキ,国登録有形文化財,建造物,秋田県大仙市長野字二日町9,0187-63-8972,1,棟,個人,2020/4/3,中仙地域,,,
18,52124,秋田県,大仙市,鈴木酒造店文庫蔵,スズキシュゾウテンブンコグラ,国登録有形文化財,建造物,秋田県大仙市長野字二日町9,0187-63-8972,1,棟,個人,2020/4/3,中仙地域,,,
19,52124,秋田県,大仙市,鈴木酒造店前蔵,スズキシュゾウテンマエグラ,国登録有形文化財,建造物,秋田県大仙市長野字二日町9,0187-63-8972,1,棟,個人,2020/4/3,中仙地域,,,
20,52124,秋田県,大仙市,鈴木酒造店中蔵及び袖蔵,ズスキシュゾウテンナカグラオヨビソデグラ,国登録有形文化財,建造物,秋田県大仙市長野字二日町9,0187-63-8972,1,棟,個人,2020/4/3,中仙地域,,,
21,52124,秋田県,大仙市,鈴木酒造店北蔵,スズキシュゾウテンキタグラ,国登録有形文化財,建造物,秋田県大仙市長野字二日町9,0187-63-8972,1,棟,個人,2020/4/3,中仙地域,,,
22,52124,秋田県,大仙市,鈴木酒造店仕込蔵,スズキシュゾウテンシコミグラ,国登録有形文化財,建造物,秋田県大仙市長野字二日町9,0187-63-8972,1,棟,個人,2020/4/3,中仙地域,,,
23,52124,秋田県,大仙市,石造五重塔,セキゾウゴジュウトウ,県指定有形文化財,建造物,秋田県大仙市大曲丸ノ内町73,0187-63-8972,1,基,八幡神社（個人所有）,1956/5/21,大曲地域,109,八幡神社へは,
24,52124,秋田県,大仙市,唐松神社奥殿,カラマツジンジャオクデン,県指定有形文化財,建造物,秋田県大仙市協和境字下台91,0187-63-8972,1,棟,唐松神社,1973/12/11,協和地域,501,唐松神社へは,
25,52124,秋田県,大仙市,普賢菩薩像,フゲンボサツゾウ,県指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1952/11/1,大曲地域,114,,
26,52124,秋田県,大仙市,秋田蘭画「岩に牡丹図」,アキタランガイワニボタンズ,県指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1968/3/19,大曲地域,105,,
27,52124,秋田県,大仙市,聖観世音菩薩像,ショウカンゼオンボサツゾウ,県指定有形文化財,彫刻,秋田県大仙市豊川字小沼山1,0187-63-8972,1,躯,小沼神社,1952/11/1,中仙地域,402,小沼神社へは,
28,52124,秋田県,大仙市,十一面観世音菩薩像,ジュウイチメンカンゼオンボサツゾウ,県指定有形文化財,彫刻,秋田県大仙市豊川字小沼山1,0187-63-8972,1,躯,小沼神社,1952/11/1,中仙地域,402,小沼神社へは,
29,52124,秋田県,大仙市,聖観世音菩薩像,ショウカンゼオンボサツゾウ,県指定有形文化財,彫刻,秋田県大仙市内,0187-63-8972,1,躯,個人,1952/11/1,大曲地域,104,,
30,52124,秋田県,大仙市,舞楽二ノ舞面,ブガクニノマイメン,県指定有形文化財,彫刻,秋田県大仙市土川字小杉山19,0187-63-8972,1,組,円満寺,1952/11/1,西仙北地域,318,円満時へは,
31,52124,秋田県,大仙市,木造僧形頭部,モクゾウソウギョウトウブ,県指定有形文化財,彫刻,秋田県大仙市豊川字小沼山1,0187-63-8972,1,箇,小沼神社,1960/3/1,中仙地域,402,小沼神社へは,
32,52124,秋田県,大仙市,木造獅子頭,モクゾウシシガシラ,県指定有形文化財,彫刻,秋田県大仙市協和境字下台86,0187-63-8972,1,個,唐松神社,1975/4/10,協和地域,501,唐松神社へは,
33,52124,秋田県,大仙市,銅鼓,ドウコ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,大曲地域,103,,
34,52124,秋田県,大仙市,太刀　銘正恒,タチ メイマサツネ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,中仙地域,404,,
35,52124,秋田県,大仙市,太刀　銘吉岡一文字,タチ  メイヨシオカイチモンジ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,大曲地域,141,,
36,52124,秋田県,大仙市,短刀　銘信国,タントウ メイノブクニ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,大曲地域,104,,
37,52124,秋田県,大仙市,太刀　銘粟田口,タチ  メイアワタグチ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,太田地域,801,,
38,52124,秋田県,大仙市,黒塗角頭兜,クロヌリカクトウカブト,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,個,個人,1953/10/5,中仙地域,404,,
39,52124,秋田県,大仙市,紫色威横矧二枚胴具足　附六十二間筋兜,ムラサキイロオドシヨコハギニマイドウグソク　ツケタリロクジュウニケンスジカブト,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,組,個人,1953/10/5,中仙地域,404,,
40,52124,秋田県,大仙市,瑞花文円鏡,ズイカモンエンキョウ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,面,個人,1956/5/21,中仙地域,409,,
41,52124,秋田県,大仙市,竜文刻馬具,リュウモンコクバグ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,式,個人,1956/5/21,中仙地域,404,,
42,52124,秋田県,大仙市,螺鈿鞍馬具,ラデンクラバグ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,式,個人,1956/5/21,中仙地域,405,,
43,52124,秋田県,大仙市,白磁瓶子（初期伊万里）,ハクジヘイシ　ショキイマリ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,点,個人,1968/12/28,大曲地域,108,,
44,52124,秋田県,大仙市,藤木出土品,フジキシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市内,0187-63-8972,1,括,個人,1959/1/7,大曲地域,113,,
45,52124,秋田県,大仙市,土偶,ドグウ,県指定有形文化財,考古資料,秋田県大仙市内,0187-63-8972,1,個,個人,1960/3/1,大曲地域,106,,
46,52124,秋田県,大仙市,灰釉牡丹文瓶子,カイユウボタンモンヘイシ,県指定有形文化財,考古資料,秋田県大仙市内,0187-63-8972,1,個,個人,1963/2/5,大曲地域,111,,
47,52124,秋田県,大仙市,米ケ森遺跡出土品,ヨネガモリイセキシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市協和境字野田4,0187-63-8972,1,括,大仙市教育委員会（大仙市）,1985/3/15,協和地域,502,,
48,52124,秋田県,大仙市,田久保下遺跡土坑墓出土品,タクボシタイセキドコウボシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市払田字牛嶋20　秋田県埋蔵文化財センター,0187-63-8972,68,点,秋田県,2002/3/19,仙北地域,790,埋蔵文化財センターへは,
49,52124,秋田県,大仙市,寒川Ⅱ遺跡土壙墓出土品,サムカワニイセキドコウボシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市払田字牛嶋20　秋田県埋蔵文化財センター,0187-63-8972,107,点,秋田県,2003/3/25,仙北地域,790,埋蔵文化財センターへは,
50,52124,秋田県,大仙市,戸平川遺跡出土品,トビラカワイセキシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市払田字牛嶋20　秋田県埋蔵文化財センター,0187-63-8972,5144,点,秋田県,2005/3/22,仙北地域,790,埋蔵文化財センターへは,
51,52124,秋田県,大仙市,星宮遺跡出土土偶,ホシノミヤイセキシュツドドグウ,県指定有形文化財,考古資料,秋田県大仙市高梨字田茂木10　,0187-63-8972,1,点,大仙市,2011/3/22,仙北地域,,,
52,52124,秋田県,大仙市,田沢湯元道中画報,タザワユモトドウチュウガホウ,県指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,冊,個人,1987/7/14,中仙地域,436,,
53,52124,秋田県,大仙市,鈴木空如筆法隆寺金堂壁画模写及び下絵,スズキクウニョヒツホウリュウジコンドウヘキガモシャオヨビシタエ,県指定有形文化財,歴史資料,秋田県大仙市太田町太田字新田田尻3-4,0187-63-8972,77,点,大仙市教育委員会（大仙市）,2012/3/23,太田地域,,,
54,52124,秋田県,大仙市,国見ささら,クニミササラ,県指定無形民俗文化財,,秋田県大仙市太田町国見,0187-63-8972,,,国見ささら保存会,1964/11/17,太田地域,802,国見ささらを見るには,
55,52124,秋田県,大仙市,東長野ささら・長野ささら,ヒガシナガノササラ・ナガノササラ,県指定無形民俗文化財,,秋田県大仙市豊川東長野、長野,0187-63-8972,,,東長野・長野ささら保存会,1964/11/17,中仙地域,403,東長野・長野ささらを見るには,
56,52124,秋田県,大仙市,大曲の綱引き,オオマガリノツナヒキ,県指定無形民俗文化財,,秋田県大仙市大曲上大町12-20,0187-63-8972,,,諏訪神社,2011/3/22,大曲地域,,,
57,52124,秋田県,大仙市,四十二館跡,シジュウニダテアト,県指定史跡,,秋田県大仙市藤木字乙糠塚1　他　六郷西根字沼福田1　他,0187-63-8972,,,大仙市教育委員会、国土交通省他,1959/1/7,大曲地域,112,四十二館跡へは,
58,52124,秋田県,大仙市,一里塚,イチリヅカ,県指定史跡,,秋田県大仙市北楢岡字長丁場62　北楢岡字上船戸185-4,0187-63-8972,,,大仙市教育委員会（大仙市）,1959/1/7,神岡地域,201,一里塚へは,
59,52124,秋田県,大仙市,心像市道の窯跡,ココロヤリイチミチノカマアト,県指定史跡,,秋田県大仙市土川,0187-63-8972,,,大仙市教育委員会（個人）,1962/2/15,西仙北地域,304,心像市道の窯跡へは,
60,52124,秋田県,大仙市,大畑古窯跡,オオバタコヨウアト,県指定史跡,,秋田県大仙市南外字大畑139-3　字大畑150-1のうち　字大畑深山261-1,0187-63-8972,,,大仙市教育委員会（大仙市他）,2000/3/17,南外地域,437,大畑古窯跡へは,
61,52124,秋田県,大仙市,しだれ桜,シダレザクラ,県指定天然記念物,,秋田県大仙市協和船岡,0187-63-8972,,,大仙市教育委員会（個人）,1953/10/5,協和地域,503,しだれ桜を見るには,
62,52124,秋田県,大仙市,枝垂桜,シダレザクラ,県指定天然記念物,,秋田県大仙市内,0187-63-8972,,,個人,1955/1/24,西仙北地域,303,枝垂桜を見るには,
63,52124,秋田県,大仙市,鬢垂のシダレグリ,ビンダレノシダレグリ,県指定天然記念物,,秋田県大仙市内,0187-63-8972,,,個人,1973/6/16,協和地域,506,鬢垂のシダレグリを見るには,
64,52124,秋田県,大仙市,唐松神社のスギ並木,カラマツジンジャノスギナミキ,県指定天然記念物,,秋田県大仙市協和境字下台91,0187-63-8972,,,唐松神社,1973/12/11,協和地域,501,唐松神社へは,
65,52124,秋田県,大仙市,諏訪神社格天井,スワジンジャゴウテンジョウ,市指定有形文化財,絵画,秋田県大仙市大曲上大町12-20,0187-63-8972,49,枚,諏訪神社,1970/12/4,大曲地域,110,諏訪神社へは, 
66,52124,秋田県,大仙市,秋景山水の図,シュウケイサンスイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域,115,,松岡白石画 
67,52124,秋田県,大仙市,極彩色秋景山水の図,ゴクサイシキシュウケイサンスイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域,130,,松岡白石画　明治40年（1907）
68,52124,秋田県,大仙市,淡彩色柳堤の図,タンサイシキリュウテイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域,130,,松岡白石画　明治40年（1907）
69,52124,秋田県,大仙市,極彩色絹本山水の図,ゴクサイシキケンポンサンスイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域,129,,松岡白石画　明治40年（1907）
70,52124,秋田県,大仙市,水墨山水の図,スイボクサンスイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域,128,,松岡白石画 
71,52124,秋田県,大仙市,前後赤壁,ゼンコウセキヘキ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,2,対,個人,1972/7/10,大曲地域,132,,松岡白石画　明治40年（1907）
72,52124,秋田県,大仙市,極彩色紙本お多福の図,ゴクサイシキシホンオタフクノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域,120,,松岡白石画 
73,52124,秋田県,大仙市,絹本水僕竹石の図,ケンポンスイボクチクセキノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域,124,,松岡白石画 
74,52124,秋田県,大仙市,紙本角間川港の図,シホンカクマガワミナトノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,枚,個人,1979/6/1,大曲地域,134,, 
75,52124,秋田県,大仙市,釈迦涅槃図,シャカネハンズ,市指定有形文化財,絵画,秋田県大仙市角間川町字東本町82,0187-63-8972,1,幅,浄蓮寺,1990/9/11,大曲地域,135,浄蓮寺へは,戸部一閑斉画
76,52124,秋田県,大仙市,力士像,リキシゾウ,市指定有形文化財,彫刻,秋田県大仙市内,0187-63-8972,1,基,個人,1965/2/17,大曲地域,137,力士像を見るには, 
77,52124,秋田県,大仙市,大日如来坐像,ダイニチニョライザゾウ,市指定有形文化財,彫刻,秋田県大仙市大曲須和町3-1-26,0187-63-8972,1,躯,大川寺,2019/11/20,大曲地域,,,
78,52124,秋田県,大仙市,神棚用神殿,カミダナヨウシンデン,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,基,個人,1965/2/17,大曲地域,125,, 
79,52124,秋田県,大仙市,ナマコ瓢形花瓶,ナマコヒョウケイカビン,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,個,個人,1979/1/16,大曲地域,136,, 
80,52124,秋田県,大仙市,草花文徳利,ソウカモントックリ,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,個,個人,1979/1/16,大曲地域,136,, 
