観測点,年次,1月(m/s),2月(m/s),3月(m/s),4月(m/s),5月(m/s),6月(m/s),7月(m/s),8月(m/s),9月(m/s),10月(m/s),11月(m/s),12月(m/s),平均(m/s),
大曲観測所,1985,2.4 ,2.8 ,1.6 ,1.9 ,2.0 ,1.5 ,1.5 ,1.0 ,1.2 ,1.4 ,1.7 ,1.5 ,1.7 ,
大曲観測所,1986,2.9 ,1.9 ,2.2 ,2.3 ,2.3 ,1.6 ,1.2 ,1.1 ,1.3 ,1.3 ,2.1 ,2.3 ,1.9 ,
大曲観測所,1987,2.7 ,2.8 ,2.5 ,2.8 ,2.0 ,1.6 ,1.4 ,1.2 ,1.1 ,1.5 ,2.1 ,1.9 ,2.0 ,
大曲観測所,1988,2.1 ,2.5 ,2.1 ,2.2 ,2.3 ,1.7 ,1.4 ,1.2 ,1.1 ,1.5 ,1.5 ,2.2 ,1.8 ,
大曲観測所,1989,1.9 ,1.5 ,2.4 ,2.5 ,2.0 ,1.6 ,1.4 ,1.2 ,1.1 ,1.3 ,1.5 ,1.7 ,1.7 ,
大曲観測所,1990,1.7 ,1.5 ,2.5 ,2.4 ,1.9 ,1.6 ,1.3 ,1.3 ,1.1 ,1.1 ,1.8 ,1.7 ,1.7 ,
大曲観測所,1991,1.7 ,2.1 ,2.2 ,2.1 ,1.8 ,1.4 ,1.2 ,1.1 ,1.1 ,1.3 ,1.5 ,1.8 ,1.6 ,
大曲観測所,1992,1.6 ,2.3 ,1.9 ,2.3 ,1.9 ,1.5 ,1.4 ,1.2 ,1.5 ,1.3 ,1.7 ,1.9 ,1.7 ,
大曲観測所,1993,2.1 ,2.4 ,2.3 ,2.5 ,1.9 ,1.5 ,1.0 ,1.2 ,1.1 ,1.3 ,1.7 ,2.4 ,1.8 ,
大曲観測所,1994,1.7 ,3.2 ,2.1 ,2.4 ,1.9 ,1.4 ,1.2 ,1.1 ,1.1 ,1.1 ,1.4 ,1.8 ,1.7 ,
大曲観測所,1995,1.8 ,1.7 ,1.6 ,2.5 ,1.7 ,1.3 ,1.1 ,1.0 ,1.1 ,1.2 ,1.8 ,1.7 ,1.5 ,
大曲観測所,1996,2.9 ,1.7 ,2.3 ,2.3 ,1.7 ,1.3 ,1.0 ,1.0 ,0.9 ,1.1 ,1.6 ,1.3 ,1.6 ,
大曲観測所,1997,1.9 ,2.1 ,2.3 ,2.0 ,1.6 ,1.3 ,1.1 ,1.0 ,0.8 ,0.9 ,1.3 ,1.2 ,1.5 ,
大曲観測所,1998,1.7 ,1.5 ,2.0 ,1.7 ,1.4 ,1.4 ,1.0 ,0.8 ,0.9 ,1.0 ,1.3 ,1.7 ,1.4 ,
大曲観測所,1999,1.9 ,2.1 ,1.8 ,1.9 ,1.7 ,1.2 ,0.9 ,0.8 ,0.9 ,1.0 ,0.9 ,1.4 ,1.4 ,
大曲観測所,2000,1.4 ,1.5 ,2.0 ,2.1 ,1.2 ,1.1 ,0.9 ,0.7 ,0.8 ,0.8 ,1.2 ,2.0 ,1.3 ,
