市町村コード,都道府県名,市町村名,年度,総数(人),悪性新生物（人）,糖尿病（人）,心疾患（高血圧性除く）（人）,脳血管疾患（人）,肺炎（人）,肝疾患（人）,腎不全（人）,老衰（人）,不慮の事故（人）,自殺（人）,その他（人）,構成比（％）,悪性新生物(％),糖尿病（％）,心疾患（高血圧性除く）（％）,脳血管疾患（％）,肺炎（％）,肝疾患（％）,腎不全（％）,老衰（％）,不慮の事故（％）,自殺（％）,その他（％）
05212,秋田県,大仙市,2005(平成17),"1,138",322,11,176,148,115,9,16,53,53,39,196,100,28.3 ,1.0 ,15.4 ,13.0 ,10.1 ,0.8 ,1.4 ,4.7 ,4.7 ,3.4 ,17.2 
05212,秋田県,大仙市,2006(平成18）,"1,194",326,14,177,153,164,12,25,26,41,42,214,100,27.3 ,1.2 ,14.8 ,12.8 ,13.8 ,1.0 ,2.1 ,2.2 ,3.4 ,3.5 ,17.9 
05212,秋田県,大仙市,2007(平成19）,"1,235",348,16,184,196,156,12,18,30,53,29,193,100,28.2 ,1.3 ,14.9 ,15.9 ,12.6 ,1.0 ,1.5 ,2.4 ,4.3 ,2.3 ,15.6 
05212,秋田県,大仙市,2008(平成20）,"1,184",332,15,188,159,128,6,23,35,47,39,212,100,28.0 ,1.3 ,15.9 ,13.4 ,10.8 ,0.5 ,1.9 ,3.0 ,4.0 ,3.3 ,17.9 
05212,秋田県,大仙市,2009(平成21）,"1,249",342,12,240,155,138,14,27,33,47,41,200,100,27.4 ,1.0 ,19.2 ,12.4 ,11.0 ,1.1 ,2.2 ,2.6 ,3.8 ,3.3 ,16.0 
05212,秋田県,大仙市,2010(平成22）,"1,295",374,13,233,147,113,16,32,39,56,32,240,100,28.9 ,1.0 ,18.0 ,11.4 ,8.7 ,1.2 ,2.5 ,3.0 ,4.3 ,2.5 ,18.5 
05212,秋田県,大仙市,2011(平成23）,"1,330",321,9,247,155,155,17,20,53,61,28,264,100,24.1 ,0.7 ,18.6 ,11.6 ,11.6 ,1.3 ,1.5 ,4.0 ,4.6 ,2.1 ,19.9 
05212,秋田県,大仙市,2012(平成24）,"1,391",319,19,228,167,148,13,28,106,59,27,277,100,22.9 ,1.4 ,16.4 ,12.0 ,10.7 ,0.9 ,2.0 ,7.6 ,4.3 ,1.9 ,19.9 
05212,秋田県,大仙市,2013(平成25）,"1,367",348,18,242,117,136,12,23,114,59,30,268,100,25.5 ,1.3 ,17.7 ,8.6 ,9.9 ,0.9 ,1.7 ,8.3 ,4.3 ,2.2 ,19.6 
05212,秋田県,大仙市,2014(平成26）,"1,301",326,13,215,134,110,14,27,119,48,23,272,100,25.1 ,1.0 ,16.5 ,10.3 ,8.4 ,1.1 ,2.1 ,9.1 ,3.7 ,1.8 ,20.9 
05212,秋田県,大仙市,2015(平成27）,"1,399",355,15,214,127,146,20,27,136,39,27,293,100,25.4 ,1.1 ,15.3 ,9.1 ,10.4 ,1.4 ,1.9 ,9.7 ,2.8 ,1.9 ,21.0 
05212,秋田県,大仙市,2016(平成28）,"1,344",357,13,204,121,136,8,23,120,49,16,297,100,26.6 ,1.0 ,15.2 ,9.0 ,10.1 ,0.6 ,1.7 ,8.9 ,3.6 ,1.2 ,22.1 
05212,秋田県,大仙市,2017(平成29）,"1,373",345,19,197,124,119,11,24,144,56,20,314,100,25.1 ,1.4 ,14.3 ,9.0 ,8.7 ,0.8 ,1.7 ,10.5 ,4.1 ,1.5 ,22.9 
05212,秋田県,大仙市,2018(平成30）,"1,403",366,15,169,127,125,17,32,135,49,17,351,100,26.1 ,1.1 ,12.0 ,9.1 ,8.9 ,1.2 ,2.3 ,9.6 ,3.5 ,1.2 ,25.0 
05212,秋田県,大仙市,2019(令和1）,"1,443",355,10,185,150,94,19,31,152,52,14,381,100,24.6 ,0.7 ,12.8 ,10.4 ,6.5 ,1.3 ,2.2 ,10.5 ,3.6 ,1.0 ,26.4 
