市町村コード,都道府県名,市町村名,年度（和暦）,受給者（被用者）,延べ対象児童（被用者）,支給額（被用者）千円,受給者（非被用者）,延べ対象児童（非被用者）,支給額（非被用者）千円,受給者（特例給付）,延べ対象児童（特例給付）,支給額（特例給付）千円
05212,秋田県,大仙市,2004（平成16）,-,"43,453","240,455",-,"16,781","94,890",-,700,"3,985"
05212,秋田県,大仙市,2005（平成17）,"2,528","45,134","249,935","1,069","17,120","96,345",188,645,"3,770"
05212,秋田県,大仙市,2006（平成18）,"3,965","58,435","321,225","1,608","22,876","128,160",46,176,960
05212,秋田県,大仙市,2007（平成19）,"3,910","60,452","379,935","1,534","23,261","148,440",12,116,"1,100"
05212,秋田県,大仙市,2008（平成20）,"3,878","59,742","385,400","1,465","22,519","148,110",7,104,"1,040"
05212,秋田県,大仙市,2009（平成21）,"3,802","58,461","377,000","1,486","22,767","149,405",9,91,910
05212,秋田県,大仙市,2010（平成22）,"3,752","10,081","64,500","1,489","3,995","25,895",8,16,160
05212,秋田県,大仙市,2011（平成23）,,,,,,,,,
05212,秋田県,大仙市,2012（平成24）,"3,957","61,506","683,630","1,338","20,510","227,635",94,"1,166","5,830"
05212,秋田県,大仙市,2013（平成25）,"3,925","72,938","810,610","1,233","23,329","258,705",88,"1,658","8,290"
05212,秋田県,大仙市,2014（平成26）,"3,872","72,484","807,040","1,133","21,631","240,325",93,"1,673","8,365"
05212,秋田県,大仙市,2015（平成27）,"3,889","72,406","807,015","1,000","19,363","216,125",87,"1,660","8,300"
05212,秋田県,大仙市,2016（平成28）,"3,836","72,316","805,895",913,"17,503","195,755",91,"1,650","8,250"
05212,秋田県,大仙市,2017（平成29）,"3,774","71,239","795,215",791,"15,419","172,165",97,"1,753","8,765"
05212,秋田県,大仙市,2018（平成30）,"3,730","70,752","790,570",722,"13,964","155,020",93,"1,763","8,815"
05212,秋田県,大仙市,2019（平成31）,"3,683","69,645","776,925",621,"12,495","137,605",105,"2,024","10,120"
05212,秋田県,大仙市,2020（令和2）,"3,591","68,170","757,200",578,"11,163","123,045",105,"2,016","10,080"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
