市町村コード,都道府県名,市区町村名,名称,名称ｶﾅ,医療機関の種類,住所,電話番号,FAX番号,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,診療科目,病床数,URL
52124,秋田県,大仙市,大曲厚生医療センター,ｵｵﾏｶﾞﾘｺｳｾｲｲﾘｮｳｾﾝﾀｰ,病院,秋田県大仙市大曲通町8-65,0187-63-2111,0187-63-5406,月火水木金,8:30,17:00,,内科；小児科；外科；整形外科；脳神経外科；呼吸器外科；皮膚科；泌尿器科；産婦人科；眼科；耳鼻咽喉科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科；放射線科；歯科口腔外科；麻酔科；病理診断科,437,http://www.okmc.jp/
52124,秋田県,大仙市,大曲中通病院,ｵｵﾏｶﾞﾘﾅｶﾄﾞｵﾘﾋﾞｮｳｲﾝ,病院,秋田県大仙市大曲上栄町6-4,0187-63-2131,0187-63-3901,月火水木金土,8:45,12:00,"土,予約皮膚科のみ診療",内科；外科；喘息外来；神経内科；循環器科；肝臓外来；糖尿病外来；整形外科；脳神経外科；腎臓外来；皮膚科,106,http://www.meiwakai.or.jp/omagari/
52124,秋田県,大仙市,花園病院,ﾊﾅｿﾞﾉﾋﾞｮｳｲﾝ,病院,秋田県大仙市大曲あけぼの町9-26,0187-63-3100,0187-66-2450,月火水木金土,8:30,17:00,,内科；泌尿器科,50,https://hanazono
52124,秋田県,大仙市,市立大曲病院,ｼﾘﾂｵｵﾏｶﾞﾘﾋﾞｮｳｲﾝ,病院,秋田県大仙市飯田字堰東210,0187-63-9100,0187-63-9103,月火水木金,9:00,14:00,,精神科,120,http://www.omagari-hospital.sakura.ne.jp/index.html
52124,秋田県,大仙市,協和病院,ｷｮｳﾜﾋﾞｮｳｲﾝﾝ,病院,秋田県大仙市協和上淀川字五百刈田277-1,018-892-2881,018-892-2888,月火水木金,9:00,12:30,精神科、心療内科は予約制,内科；心療内科；精神科,177,https://keishinkai-akita.net/
52124,秋田県,大仙市,秋田県立リハビリテーション･精神医療センター,ｱｷﾀｹﾝﾘﾂﾘﾊﾋﾞﾘﾃｰｼｮﾝ･ｾｲｼﾝｲﾘｮｳｾﾝﾀｰ,病院,秋田県大仙市協和上淀川字五百刈田352,018-892-3751,018-892-3816,月火水木金,9:00,17:00,,ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科；精神科；神経内科；耳鼻咽喉科；放射線科,300,http://akita-rehacen.jp/
52124,秋田県,大仙市,三浦クリニック,ﾐｳﾗｸﾘﾆｯｸ,無床診療所,秋田県大仙市幸町4-23-2,0187-86-3280,0187-86-3281,月火水木金土,8:30,17:00,"水,土；午前診療",脳神経外科；整形外科；内科；放射線科；神経内科,,https://sites.google.com/site/miuracli/
52124,秋田県,大仙市,はら眼科,ﾊﾗｶﾞﾝｶ,無床診療所,秋田県大仙市幸町1-50,0187-88-8658,0187-88-8302,火木金土,9:00,16:30,,眼科,,http://www.hara-ganka.com/
52124,秋田県,大仙市,くしま産婦人科医院,ｸｼﾏｻﾝﾌｼﾞﾝｶｲｲﾝ,有床診療所,秋田県大仙市幸町1-53,0187-88-8455,0187-63-5750,月火水木金土,9:00,18:00（土;16:00）,木；午前診療,産婦人科,記載なし,http://kushima4103.jp
52124,秋田県,大仙市,こにし胃腸内科,ｺﾆｼｲﾁｮｳﾅｲｶ,無床診療所,秋田県大仙市福田町21-23-13,0187-88-8871,0187-88-8872,月火水木金土,9:00,18:00,"木,土；午前診療　火；予約検査日",内科；消化器内科（胃腸内科）,,http://www.konishi-icho.com/
52124,秋田県,大仙市,白鳥耳鼻咽喉科医院,ｼﾛﾄﾘｼﾞﾋﾞｲﾝﾄｳｶｲｲﾝ,無床診療所,秋田県大仙市福田町22-21-10,0187-66-3387,0187-73-5233,月火水木金土,9:00,18:00,水；午前診療　土；17:00,耳鼻咽喉科,,
52124,秋田県,大仙市,大曲整形外科クリニック,ｵｵﾏｶﾞﾘｾｲｹｲｹﾞｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大花町11-6-8,0187-73-6437,0187-73-6438,月火水木金土,8:45,17:30,"水,土；午前診療",整形外科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,http://ooc.sunnyday.jp/
52124,秋田県,大仙市,大仙眼科クリニック,ﾀﾞｲｾﾝｶﾞﾝｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大花町14-3,0187-63-0001,0187-73-8028,月火水木金土,8:30,17:30,"火,木,土；午前診療",眼科,6,http://daisen-eyeclinic.jp/
52124,秋田県,大仙市,大曲こどもクリニック,ｵｵﾏｶﾞﾘｺﾄﾞﾓｸﾘﾆｯｸ,無床診療所,秋田県大仙市大花町14-7,0187-73-7330,018-803-7302,月火水金土日,8:30,"18:00(土,日16:00)",,小児科,,https://www.omagari-kids-clinic.com/
