地域コード,都道府県,地域,地区,年次,商店総数(店),卸売業(店),小売業(店),従業員総数(人),卸売業(人),小売業(人),年間商品販売総額(百万円),卸売業(百万円),小売業(百万円)
05212,秋田県,大仙市,市内全域,2007年(平成19）,"1,392 ",168 ,"1,224 ","7,735 ","1,122 ","6,613 ","157,978 ","55,129 ","102,849 "
05212,秋田県,大仙市,市内全域,2012年(平成24),"1,075 ",144 ,931 ,"5,625 ",864 ,"4,761 ","121,390 ","37,410 ","83,980 "
05212,秋田県,大仙市,市内全域,2014年(平成26),"1,025 ",141 ,884 ,"6,048 ",883 ,"5,165 ","136,196 ","42,640 ","93,556 "
05212,秋田県,大仙市,大曲地域,2007年(平成19）,,122 ,,,836 ,,,"43,885 ",
05212,秋田県,大仙市,大曲地域,2012年(平成24),,103 ,,,638 ,,,"30,582 ",
05212,秋田県,大仙市,大曲地域,2014年(平成26),,106 ,,,655 ,,,"33,903 ",
05212,秋田県,大仙市,大曲地域以外（旧大曲市以外）,2007年(平成19）,,46 ,,,286 ,,,"11,244 ",
05212,秋田県,大仙市,大曲地域以外（旧大曲市以外）,2012年(平成24),,41 ,,,226 ,,,"6,828 ",
05212,秋田県,大仙市,大曲地域以外（旧大曲市以外）,2014年(平成26),,35 ,,,228 ,,,"8,737 ",
05212,秋田県,大仙市,大曲地域,2007年(平成19）,,,647 ,,,"3,951 ",,,"65,720 "
05212,秋田県,大仙市,大曲地域,2012年(平成24),,,508 ,,,"2,930 ",,,"56,423 "
05212,秋田県,大仙市,大曲地域,2014年(平成26),,,508 ,,,"3,473 ",,,"67,561 "
05212,秋田県,大仙市,神岡地域,2007年(平成19）,,,77 ,,,382 ,,,"5,542 "
05212,秋田県,大仙市,神岡地域,2012年(平成24),,,45 ,,,224 ,,,"2,960 "
05212,秋田県,大仙市,神岡地域,2014年(平成26),,,45 ,,,235 ,,,"3,496 "
05212,秋田県,大仙市,西仙北地域,2007年(平成19）,,,123 ,,,520 ,,,"6,609 "
05212,秋田県,大仙市,西仙北地域,2012年(平成24),,,94 ,,,393 ,,,"4,446 "
05212,秋田県,大仙市,西仙北地域,2014年(平成26),,,77 ,,,331 ,,,"4,864 "
05212,秋田県,大仙市,中仙地域,2007年(平成19）,,,157 ,,,"1,065 ",,,"19,887 "
05212,秋田県,大仙市,中仙地域,2012年(平成24),,,98 ,,,531 ,,,"10,281 "
05212,秋田県,大仙市,中仙地域,2014年(平成26),,,87 ,,,477 ,,,"8,165 "
05212,秋田県,大仙市,協和地域,2007年(平成19）,,,80 ,,,306 ,,,"3,551 "
05212,秋田県,大仙市,協和地域,2012年(平成24),,,56 ,,,230 ,,,"2,807 "
05212,秋田県,大仙市,協和地域,2014年(平成26),,,52 ,,,215 ,,,"2,431 "
05212,秋田県,大仙市,南外地域,2007年(平成19）,,,51 ,,,133 ,,,"1,741 "
05212,秋田県,大仙市,南外地域,2012年(平成24),,,43 ,,,108 ,,,"1,233 "
05212,秋田県,大仙市,南外地域,2014年(平成26),,,37 ,,,84 ,,,964 
05212,秋田県,大仙市,仙北地域,2007年(平成19）,,,66 ,,,289 ,,,"4,773 "
05212,秋田県,大仙市,仙北地域,2012年(平成24),,,44 ,,,167 ,,,"3,225 "
05212,秋田県,大仙市,仙北地域,2014年(平成26),,,40 ,,,184 ,,,"3,480 "
05212,秋田県,大仙市,太田地域,2007年(平成19）,,,69 ,,,253 ,,,"6,266 "
05212,秋田県,大仙市,太田地域,2012年(平成24),,,43 ,,,178 ,,,"2,605 "
05212,秋田県,大仙市,太田地域,2014年(平成26),,,38 ,,,166 ,,,"2,595 "
