No.,名称,名称_カナ,住所,電話番号,市町村コード,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,計画集合人数,備考
1,大曲中学校,オオマガリチュウガッコウ,秋田県大仙市若竹町7-17,0187-63-2222,52124,1,1,,1,,1,1,,2095,洪水時2階以上
2,はぴねす大仙,ハピネスダイセン,秋田県大仙市幸町2-70,0187-88-8722,52124,,1,,1,,1,,,419,
3,ペアーレ大仙,ペアーレダイセン,秋田県大仙市大曲中通町10-6,0187-63-8600,52124,1,1,,1,,1,1,,116,洪水時2階以上
4,大曲高等学校,オオマガリコウトウガッコウ,秋田県大仙市大曲栄町6番7号,0187-63-4004,52124,1,1,,1,,1,1,,1102,洪水時2階以上
5,大曲地域職業訓練センター,オオマガリチイキショクギョウクンレンセンター,秋田県大仙市大曲田町3番1号,0187-62-1726,52124,1,1,,1,,1,1,,350,洪水時2階以上
6,大曲小学校,オオマガリショウガッコウ,秋田県大仙市大曲花園町4番88号,0187-63-1018,52124,1,1,,1,,1,1,,1609,洪水時2階以上
7,大曲農業高等学校,オオマガリノウギョウコウトウガッコウ,秋田県大仙市大曲金谷町26番9号,0187-63-2257,52124,1,1,,1,,1,1,,1639,洪水時2階以上
8,サンクエスト大曲,サンクエストオオマガリ,秋田県大仙市大曲日の出町1-23-3,0187-63-5572,52124,,1,,1,,1,,,360,
9,大曲交流センター,オオマガリコウリュウセンター,秋田県大仙市大曲日の出町2-7-53,0187-63-1105,52124,1,1,,1,,1,1,,1039,洪水時2階以上
10,大曲市民会館,オオマガリシミンカイカン,秋田県大仙市大曲日の出町2-6-50,0187-63-6101,52124,1,1,,1,,1,1,,500,洪水時2階以上
11,大曲中央公民館,オオマガリチュウオウコウミンカン,秋田県大仙市大曲日の出町2-6-60,0187-63-6101,52124,1,1,,1,,1,1,,300,洪水時2階以上
12,大曲工業高等学校,オオマガリコウギョウコウトウガッコウ,秋田県大仙市大曲若葉町3-17,0187-63-4060,52124,1,1,,1,,1,1,,931,洪水時2階以上
13,東大曲小学校,ヒガシオオマガリショウガッコウ,秋田県大仙市大曲字下高畑81,0187-63-1020,52124,1,1,,1,,1,1,,387,洪水時2階以上
14,花館小学校,ハナダテショウガッコウ,秋田県大仙市花館中町1-40,0187-63-1022,52124,1,1,,1,,1,1,,461,洪水時2階以上
15,花館公民館,ハナダテコウミンカン,秋田県大仙市花館上町5-19,0187-62-3012,52124,1,1,,,,1,1,,210,洪水時2階以上
16,大曲西中学校,オオマガリニシチュウガッコウ,秋田県大仙市内小友字中沢176-1,0187-68-2222,52124,1,1,,1,,1,1,,820,
17,内小友小学校,ウチオトモショウガッコウ,秋田県大仙市内小友字四ツ村35,0187-68-2345,52124,1,1,,1,,1,1,,354,洪水時2階以上
18,内小友公民館,ウチオトモコウミンカン,秋田県大仙市内小友字仙北屋68-2,0187-68-2033,52124,1,1,,,,1,1,,210,洪水時2階以上
