市町村コード,都道府県名,市町村名,区域,年度,人口（人）
05212,秋田県,大仙市,下水道処理区域内,2005(平成17),"26,640"
05212,秋田県,大仙市,下水道処理区域内,2006(平成18),"29,062"
05212,秋田県,大仙市,下水道処理区域内,2007(平成19),"29,719"
05212,秋田県,大仙市,下水道処理区域内,2008(平成20),"32,033"
05212,秋田県,大仙市,下水道処理区域内,2009(平成21),"32,784"
05212,秋田県,大仙市,下水道処理区域内,2010(平成22),"33,527"
05212,秋田県,大仙市,下水道処理区域内,2011(平成23),"34,065"
05212,秋田県,大仙市,下水道処理区域内,2012(平成24),"34,324"
05212,秋田県,大仙市,下水道処理区域内,2013(平成25),"34,289"
05212,秋田県,大仙市,下水道処理区域内,2014(平成26),"34,036"
05212,秋田県,大仙市,下水道処理区域内,2015(平成27),"33,859"
05212,秋田県,大仙市,下水道処理区域内,2016(平成28),"33,835"
05212,秋田県,大仙市,下水道処理区域内,2017(平成29),"34,050"
05212,秋田県,大仙市,下水道処理区域内,2018(平成30),"35,759"
05212,秋田県,大仙市,下水道処理区域内,2019(平成31),"35,823"
05212,秋田県,大仙市,農業集落排水処理区域内,2005(平成17),"16,075"
05212,秋田県,大仙市,農業集落排水処理区域内,2006(平成18),"16,441"
05212,秋田県,大仙市,農業集落排水処理区域内,2007(平成19),"19,493"
05212,秋田県,大仙市,農業集落排水処理区域内,2008(平成20),"20,280"
05212,秋田県,大仙市,農業集落排水処理区域内,2009(平成21),"20,637"
05212,秋田県,大仙市,農業集落排水処理区域内,2010(平成22),"20,258"
05212,秋田県,大仙市,農業集落排水処理区域内,2011(平成23),"20,831"
05212,秋田県,大仙市,農業集落排水処理区域内,2012(平成24),"20,708"
05212,秋田県,大仙市,農業集落排水処理区域内,2013(平成25),"20,403"
05212,秋田県,大仙市,農業集落排水処理区域内,2014(平成26),"20,158"
05212,秋田県,大仙市,農業集落排水処理区域内,2015(平成27),"19,928"
05212,秋田県,大仙市,農業集落排水処理区域内,2016(平成28),"19,580"
05212,秋田県,大仙市,農業集落排水処理区域内,2017(平成29),"19,379"
05212,秋田県,大仙市,農業集落排水処理区域内,2018(平成30),"19,035"
05212,秋田県,大仙市,農業集落排水処理区域内,2019(平成31),"18,666"
05212,秋田県,大仙市,浄化槽設置区域内,2005(平成17),"10,290"
05212,秋田県,大仙市,浄化槽設置区域内,2006(平成18),"11,334"
05212,秋田県,大仙市,浄化槽設置区域内,2007(平成19),"11,850"
05212,秋田県,大仙市,浄化槽設置区域内,2008(平成20),"12,370"
05212,秋田県,大仙市,浄化槽設置区域内,2009(平成21),"13,125"
05212,秋田県,大仙市,浄化槽設置区域内,2010(平成22),"13,728"
05212,秋田県,大仙市,浄化槽設置区域内,2011(平成23),"13,775"
05212,秋田県,大仙市,浄化槽設置区域内,2012(平成24),"14,180"
05212,秋田県,大仙市,浄化槽設置区域内,2013(平成25),"14,072"
05212,秋田県,大仙市,浄化槽設置区域内,2014(平成26),"14,125"
05212,秋田県,大仙市,浄化槽設置区域内,2015(平成27),"14,184"
05212,秋田県,大仙市,浄化槽設置区域内,2016(平成28),"14,463"
05212,秋田県,大仙市,浄化槽設置区域内,2017(平成29),"14,016"
05212,秋田県,大仙市,浄化槽設置区域内,2018(平成30),"13,357"
05212,秋田県,大仙市,浄化槽設置区域内,2019(平成31),"13,612"
