地域コード,地域,地区,年次,総数(万円),食料品(万円),飲料・飼料(万円),繊維(万円),衣服(万円),木材・木製品(万円),家具・装備品(万円),パルプ・紙(万円),出版・印刷(万円),化学(万円),石油製品(万円),プラスチック(万円),ゴム製品(万円),皮革(万円),窯業・土石(万円),鉄鋼(万円),非鉄金属(万円),金属製品(万円),一般機械(万円),はん用機械(万円),生産用機械(万円),業務用機械(万円),電子部品(万円),電子部品・デバイス(万円),電気機械(万円),情報通信機械(万円),輸送機械(万円),精密機械(万円),その他(万円)
05212,大仙市,市内全域,1991年(平成3),"10,273,838","194,510","152,923","108,167","739,095","383,795","14,131",-,"92,543",-,-,"196,848",-,"16,995","691,965",-,-,"557,312","404,500",-,-,-,-,-,"1,691,944",-,-,"2,422,885","82,016"
05212,大仙市,市内全域,1992年(平成4),"9,343,691","281,523","149,191","111,893","770,327","390,080","13,577",-,"94,685",-,-,"181,635",-,"4,590","648,152","49,095",-,"229,943","177,891",-,-,-,-,-,"1,511,328",-,-,"2,108,482","82,609"
05212,大仙市,市内全域,1993年(平成5）,"8,642,596","284,857",-,"141,482","736,952","396,796","14,024",-,"91,760",-,-,"224,400",-,"21,653","777,228",-,-,"217,835","455,758",-,-,-,-,-,"1,421,752",-,-,"1,799,032","93,578"
05212,大仙市,市内全域,1994年(平成6）,"8,978,572","342,988",-,-,"889,562","405,278","14,240",-,"88,731",-,-,"217,566",-,"22,690","781,930",-,-,"398,777","387,745",-,-,-,-,-,"1,440,047",-,-,"2,078,351","98,528"
05212,大仙市,市内全域,1995年(平成7）,"9,020,545","269,091",-,-,"840,143","234,855","12,120",-,"94,184",-,-,"242,910",-,"24,241","833,301",-,-,"304,840","399,317",-,-,-,-,-,"1,469,780",-,-,"2,305,368","123,367"
05212,大仙市,市内全域,1996年(平成8),"9,357,895","272,176",-,-,"828,575","351,226","9,810",-,"115,136",-,-,"235,187",-,"22,342","980,146",-,-,"328,509","412,736",-,-,-,-,-,"1,371,536",-,-,"2,429,563","109,365"
05212,大仙市,市内全域,1997年(平成9),"9,894,780","245,154",-,-,"833,013","419,099",-,-,"113,661",-,-,"268,466",-,"19,375","844,122",-,-,"425,868","435,538",-,-,-,-,-,"1,601,296",-,-,"2,691,085","111,552"
05212,大仙市,市内全域,1998年(平成10),"9,694,916","291,136",-,-,"793,946","302,226","20,513",-,"104,946",-,-,"264,099",-,"34,910","720,121",-,-,"355,263","381,826",-,-,-,-,-,"1,436,159",-,-,"2,887,139","92,891"
05212,大仙市,市内全域,1999年(平成11),"9,445,301","266,689",-,-,"691,269","327,939","39,328",-,"106,319",-,-,"241,231",-,"28,396","720,904",-,-,"280,720","346,343",-,-,-,-,-,"1,354,644",-,-,"2,898,567","92,978"
05212,大仙市,市内全域,2000年(平成12),"10,024,771","291,700",-,-,"616,325","310,616","27,393",-,"119,857",-,-,"225,434",-,"27,438","754,285",-,-,"300,455","448,390",-,-,-,-,-,"2,978,068",-,-,"791,993","87,953"
