年次,自然動態(出生)(人),自然動態(死亡)(人),自然動態増減(出生-死亡)(人),社会動態(転入)(人),社会動態(転出)(人),社会動態増減(転入-転出)(人),人口増減(人)
1994,877,1020,-143,2843,3072,-229,-372
1995,796,986,-190,2794,3057,-263,-453
1996,775,1026,-251,2767,2882,-115,-366
1997,768,1026,-258,2885,3058,-173,-431
1998,697,995,-298,2853,3051,-198,-496
1999,701,1084,-383,2705,2915,-210,-593
2000,725,1118,-393,2953,3014,-61,-454
2001,663,1136,-473,2833,3222,-389,-862
2002,647,1106,-459,2629,2888,-259,-718
2003,637,1111,-474,2602,2898,-296,-770
2004,603,1117,-514,2608,2963,-355,-869
2005,604,1141,-537,2264,2531,-267,-804
2006,603,1209,-606,1933,2384,-451,-1057
2007,654,1200,-546,1870,2310,-440,-986
2008,585,1177,-592,2056,2362,-306,-898
2009,552,1266,-714,1972,2271,-299,-1013
2010,587,1270,-683,1811,1988,-177,-860
2011,491,1310,-819,1761,1983,-222,-1041
2012,523,1394,-871,1782,1996,-214,-1085
2013,495,1391,-896,1758,1957,-199,-1095
2014,517,1286,-769,1745,2050,-305,-1074
2015,514,1403,-889,1654,2066,-412,-1301
2016,467,1351,-884,1684,1967,-283,"-1,167"
2017,474,1366,-892,1592,1917,-325,"-1,217"
2018,427,1394,-967,1489,1750,-261,"-1,228"
2019,383,1402,"-1,019",1556,1822,-266,"-1,285"
2020,356,1404,"-1,048",1478,1644,-166,"-1,214"
