４５　主要スポーツ施設の利用状況（ Ⅲ ）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,各年度間,,,
年度,新屋運動広場,,,,向浜運動広場,,,,,,,,,,秋田県スポーツ科学センター,,,,,
,サッカー・ラグビー場,,,,テニスコート,,,,,野球広場,,,,,,,,,,
,"開場日数
(日)","利用件数
（件）",利用者数（人),,開場日数（日),,"利用件数
（件）",利用者数（人),,開場日数（日),,"利用件数
（件）",利用者数（人),,"開場日数
(日)",利用者数（人),,,,
,,,総数,１日平均,総数,"うち
利用日数",,総数,１日平均,総数,"うち
利用日数",,総数,１日平均,,総数,１日平均,,,
,,,,,,,,,,,,,,,,,,,,
平成23年度,239 ,314 ,"14,118 ",57 ,222 ,157 ,438 ,"4,401 ",28 ,222 ,173 ,564 ,"35,860 ",207 ,360 ,"49,710 ",138 ,,,
24,228 ,356 ,"16,546 ",72 ,205 ,161 ,449 ,"4,144 ",26 ,205 ,167 ,560 ,"37,105 ",222 ,359 ,"57,912 ",161 ,,,
25,231 ,281 ,"11,711 ",50 ,225 ,137 ,312 ,"2,951 ",21 ,225 ,154 ,556 ,"34,303 ",222 ,357 ,"62,583 ",175 ,,,
26,235 ,310 ,"17,143 ",72 ,231 ,128 ,294 ,"2,478 ",19 ,231 ,175 ,559 ,"34,232 ",196 ,358 ,"61,979 ",173 ,,,
27,234 ,303 ,"18,749 ",80 ,220 ,159 ,376 ,"3,438 ",21 ,220 ,170 ,554 ,"35,643 ",209 ,357 ,"60,894 ",170 ,,,
28,236 ,289 ,"18,206 ",77 ,223 ,130 ,297 ,"2,745 ",21 ,223 ,166 ,543 ,"30,456 ",183 ,359 ,"74,262 ",206 ,,,
29,235 ,296 ,"18,339 ",78 ,96 ,67 ,138 ,"1,491 ",22 ,223 ,162 ,482 ,"29,375 ",181 ,359 ,"76,275 ",212 ,,,
30,231 ,269 ,"18,569 ",80 ,214 ,99 ,154 ,"1,429 ",14 ,214 ,172 ,564 ,"28,685 ",166 ,359 ,"76,977 ",214 ,,,
令和元年度,230 ,267 ,"21,090 ",92 ,225 ,102 ,148 ,"1,247 ",12 ,225 ,172 ,533 ,"27,328 ",159 ,356 ,"66,575 ",187 ,,,
２,223 ,232 ,"19,355 ",86 ,227 ,47 ,65 ,646 ,14 ,227 ,130 ,314 ,"13,482 ",104 ,353 ,"41,546 ",118 ,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
年度,県立スケート場,,,県立総合プール,,,県立野球場,,,,,,,一つ森公園弓道場,,,,,,
,"開場日数
(日)",利用者数（人),,"開場日数
(日)",利用者数（人),,"開場日数
(日)",利用回数（回),,利用者数（人),,,,"開場日数
(日)",利用回数（回),,,,,
,,総数,１日平均,,総数,１日平均,,総数,"開催
試合数",総数,競技者数,観覧者数,１日平均,,総数,うち試合,,,,
,,,,,,,,,,,,,,,,,,,,
平成23年度,152 ,"63,712 ",419 ,343 ,"111,084 ",323 ,204 ,115 ,207 ,"132,583 ",…,…,650 ,360,"5,512",15,,,,
24,152 ,"66,334 ",437 ,335 ,"144,850 ",433 ,191 ,155 ,217 ,"144,158 ",…,…,755 ,359,"5,350",14,,,,
25,151 ,"78,348 ",518 ,335 ,"152,221 ",454 ,190 ,110 ,175 ,"132,939 ",…,…,699 ,359,"5,651",…,,,,
26,149 ,"69,398 ",466 ,334 ,"161,542 ",484 ,180 ,113 ,178 ,"151,479 ",…,…,842 ,359,"6,225",…,,,,
27,144 ,"67,224 ",466 ,335 ,"157,801 ",471 ,198 ,112 ,202 ,"132,831 ",…,…,670 ,360,"6,128",…,,,,
28,144 ,"64,232 ",446 ,349 ,"158,402 ",453 ,191 ,123 ,194 ,"137,510 ",…,…,719 ,359,"6,048",17,,,,
29,152 ,"59,169 ",389 ,335 ,"150,242 ",448 ,101 ,69 ,108 ,"89,588 ",…,…,887 ,359,"6,353",…,,,,
30,151 ,"58,619 ",388 ,331 ,"154,821 ",468 ,108 ,74 ,131 ,"83,402 ",…,…,772 ,359,"6,148",…,,,,
令和元年度,149 ,"72,365 ",486 ,336 ,"138,720 ",413 ,180 ,89 ,183 ,"124,333 ",…,…,691 ,360,"6,016",…,,,,
２,142 ,"49,059 ",345 ,316 ,"77,588 ",246 ,173 ,56 ,104 ,"9,170 ",…,…,53 ,330,"3,259",…,,,,
資料　秋田県の施設：秋田県観光文化スポーツ部スポーツ振興課、秋田市の施設：スポーツ振興課,,,,,,,,,,,,,,,,,,,,
注）　１　向浜運動広場の野球広場とテニスコートの１日平均利用者数は利用日数で算出している。,,,,,,,,,,,,,,,,,,,,
　　　２　スポーツ振興課所管体育施設は、令和２年４月12日から５月10日まで新型コロナウイルス感染症の影響により閉鎖した。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
