２７　児　童・生　徒　の　平　均　体　位,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,各年度５月１日現在
年度,,小学校,,,,,,,,,,,,中学校,,,,,
,,１学年,,２学年,,３学年,,４学年,,５学年,,６学年,,１学年,,２学年,,３学年,
,,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
身長,平成24年度,117.3 ,116.2 ,123.6 ,122.6 ,129.1 ,128.5 ,134.6 ,134.8 ,140.5 ,141.8 ,146.7 ,148.5 ,154.3 ,153.3 ,162.0 ,155.7 ,166.8 ,157.6 
(㎝),25,117.4 ,116.5 ,123.4 ,122.4 ,129.4 ,128.5 ,134.6 ,134.7 ,140.2 ,141.7 ,147.1 ,148.2 ,154.5 ,153.1 ,161.6 ,155.9 ,166.8 ,157.1 
,26,117.3 ,116.4 ,123.4 ,122.5 ,129.1 ,128.3 ,134.8 ,134.7 ,140.2 ,141.5 ,146.7 ,148.4 ,154.9 ,153.0 ,161.6 ,155.9 ,166.9 ,157.3 
,27,117.4 ,116.8 ,123.4 ,122.4 ,129.2 ,128.4 ,134.7 ,134.5 ,140.3 ,141.6 ,146.8 ,148.0 ,154.1 ,153.1 ,162.0 ,155.8 ,166.7 ,157.4 
,28,117.6 ,116.7 ,123.3 ,122.5 ,129.3 ,128.3 ,134.8 ,134.8 ,140.4 ,141.5 ,146.9 ,148.3 ,154.5 ,152.8 ,161.5 ,155.9 ,167.2 ,157.2 
,29,117.3 ,116.4 ,123.7 ,122.8 ,129.1 ,128.8 ,134.8 ,134.6 ,140.4 ,141.8 ,146.8 ,148.1 ,154.8 ,153.0 ,161.9 ,155.8 ,166.6 ,157.5 
,30,117.5 ,116.4 ,123.4 ,122.5 ,129.6 ,128.7 ,134.6 ,135.2 ,140.4 ,141.5 ,146.8 ,148.4 ,154.6 ,153.0 ,162.0 ,155.9 ,166.9 ,157.3 
,令和元年度,117.4 ,116.3 ,123.7 ,122.5 ,129.3 ,128.5 ,135.2 ,135.2 ,140.3 ,142.2 ,146.8 ,148.1 ,154.7 ,153.2 ,162.0 ,155.8 ,166.9 ,157.2 
,２,117.8 ,117.0 ,123.8 ,122.7 ,129.5 ,128.6 ,134.9 ,135.2 ,141.0 ,142.3 ,147.0 ,149.0 ,154.7 ,153.1 ,162.0 ,155.8 ,166.6 ,157.2 
,３,117.6 ,116.7 ,123.6 ,123.0 ,129.4 ,128.6 ,137.2 ,135.5 ,140.6 ,142.4 ,147.9 ,148.9 ,155.3 ,153.5 ,162.5 ,156.0 ,167.1 ,157.2 
体重,平成24年度,21.9 ,21.3 ,25.2 ,24.2 ,28.3 ,27.2 ,31.7 ,30.8 ,35.8 ,35.5 ,40.3 ,40.1 ,45.6 ,45.0 ,50.3 ,47.7 ,55.5 ,50.7 
(㎏),25,21.8 ,21.4 ,24.8 ,24.0 ,28.2 ,27.2 ,31.8 ,30.8 ,35.4 ,35.0 ,40.3 ,40.2 ,46.4 ,44.8 ,50.8 ,48.2 ,55.4 ,50.4 
,26,21.8 ,21.2 ,24.6 ,24.0 ,28.2 ,27.1 ,31.6 ,30.7 ,35.4 ,34.7 ,39.5 ,39.8 ,45.9 ,44.9 ,50.6 ,47.9 ,55.7 ,50.6 
,27,21.5 ,21.3 ,24.6 ,24.0 ,28.0 ,27.1 ,31.6 ,30.6 ,35.4 ,34.9 ,39.8 ,39.5 ,45.1 ,44.7 ,50.9 ,48.5 ,55.8 ,50.8 
,28,21.8 ,21.3 ,24.4 ,24.0 ,28.0 ,27.1 ,31.5 ,30.9 ,35.5 ,35.0 ,40.0 ,39.9 ,45.6 ,44.1 ,50.4 ,47.8 ,56.0 ,50.9 
,29,21.8 ,21.5 ,24.9 ,24.1 ,27.9 ,27.4 ,31.6 ,30.8 ,35.3 ,35.3 ,40.0 ,40.0 ,45.9 ,44.7 ,50.8 ,47.6 ,55.7 ,50.8 
,30,21.8 ,21.5 ,24.7 ,24.2 ,28.4 ,27.4 ,31.3 ,31.0 ,35.6 ,35.2 ,40.0 ,40.4 ,45.9 ,44.7 ,50.7 ,48.0 ,56.0 ,50.3 
