４４　主 要 文 化 施 設 の 利 用 状 況 （ Ⅱ ）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,各年度末現在、各年度間,,,,,,,,,,,,
年　度,大森山動物園,,,,,,老人いこいの家,,,,,女性学習センター,,,,,,,,,,,,,,,
,開園日数,来園者数（人）,,,動物の種類･頭羽数,,（大森山老人と子どもの家含む）,,,,,,,,,,,,,,,,,,,,
,,総数,,１日平均,種類,頭羽数,施設数,平均開館日数,利用者数（人）,,,"開館日数
（日）","利用回数
（回）",利用者数（人）,,,,,,,,,,,,,
,(日),,うち無料,,,,,(日),総数,１館平均,1日1館平均,,,総数,１日平均,,,,,,,,,,,,
平成23年度,274 ,"271,251 ","146,526 ",989 ,110 ,555 ,3 ,287 ,"46,182 ","15,394 ",54 ,345 ,792 ,"9,967 ",29 ,,,,,,,,,,,,
24,281 ,"249,402 ","147,843 ",887 ,109 ,638 ,3 ,298 ,"46,169 ","15,390 ",52 ,344 ,800 ,"9,341 ",27 ,,,,,,,,,,,,
25,280 ,"251,955 ","151,738 ",900 ,107 ,657 ,3 ,302 ,"45,732 ","15,244 ",50 ,347 ,742 ,"9,071 ",26 ,,,,,,,,,,,,
26,274 ,"281,876 ","172,919 ","1,029 ",107 ,610 ,3 ,298 ,"43,664 ","14,555 ",49 ,330 ,655 ,"7,792 ",24 ,,,,,,,,,,,,
27,276 ,"285,370 ","179,900 ","1,034 ",105 ,580 ,3 ,297 ,"42,977 ","14,326 ",48 ,348 ,641 ,"6,945 ",20 ,,,,,,,,,,,,
28,243 ,"267,182 ","178,836 ","1,100 ",100 ,624 ,3 ,296 ,"42,775 ","14,258 ",48 ,－ ,－ ,－ ,－ ,,,,,,,,,,,,
29,277 ,"266,614 ","168,629 ",963 ,96 ,579 ,3 ,296 ,"41,341 ","13,780 ",47 ,－ ,－ ,－ ,－ ,,,,,,,,,,,,
30,280 ,"272,631 ","176,075 ",974 ,99 ,567 ,3 ,298 ,"38,556 ","12,852 ",43 ,－ ,－ ,－ ,－ ,,,,,,,,,,,,
令和元年度,277 ,"275,966 ","176,927 ",996 ,96 ,583 ,3 ,296 ,"48,215 ","16,072 ",54 ,－ ,－ ,－ ,－ ,,,,,,,,,,,,
２,249 ,"226,156 ","151,451 ",908 ,92 ,545 ,3 ,276 ,"37,950 ","12,650 ",46 ,－ ,－ ,－ ,－ ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年　度,市立千秋美術館,,,,文化会館,,,,勤労青少年ホーム,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"開館日数
（日）",入館者数（人）,,蔵品数,"開館日数
（日）","利用回数
（回）",利用者数（人）,,"開館日数
（日）","利用回数
（回）",利用者数（人),,,,,,,,,,,,,,,,
,,総数,１日平均,,,,総数,１日平均,,,総数,１日平均,,,,,,,,,,,,,,,
平成23年度,283 ,"25,145 ",89 ,"2,368 ",345 ,"3,766 ","340,236 ",986 ,344 ,277 ,"2,263 ",6 ,,,,,,,,,,,,,,,
24,352 ,"34,938 ",99 ,"2,374 ",345 ,"3,689 ","347,311 ","1,007 ",344 ,371 ,"2,124 ",6 ,,,,,,,,,,,,,,,
25,355 ,"31,606 ",89 ,"2,378 ",347 ,"3,224 ","340,151 ",980 ,347 ,345 ,"2,005 ",6 ,,,,,,,,,,,,,,,
26,349 ,"62,394 ",179 ,"2,380 ",330 ,"2,747 ","290,966 ",882 ,330 ,287 ,"1,783 ",6 ,,,,,,,,,,,,,,,
27,356 ,"37,360 ",105 ,"2,398 ",351 ,"2,780 ","306,279 ",873 ,348 ,232 ,"1,792 ",5 ,,,,,,,,,,,,,,,
28,355 ,"33,460 ",94 ,"2,409 ",347 ,"3,566 ","354,313 ","1,021 ",－ ,－ ,－ ,－ ,,,,,,,,,,,,,,,
29,355 ,"42,803 ",121 ,"2,413 ",343 ,"4,253 ","381,273 ","1,112 ",－ ,－ ,－ ,－ ,,,,,,,,,,,,,,,
30,345 ,"50,692 ",147 ,"2,421 ",347 ,"4,928 ","443,214 ","1,277 ",－ ,－ ,－ ,－ ,,,,,,,,,,,,,,,
令和元年度,346 ,"42,545 ",123 ,"2,427 ",347 ,"5,950 ","501,904 ","1,446 ",－ ,－ ,－ ,－ ,,,,,,,,,,,,,,,
２,340 ,"19,717 ",58 ,"2,590 ",325 ,"3,662 ","280,412 ",863 ,－ ,－ ,－ ,－ ,,,,,,,,,,,,,,,
注）　１　平成15年11月中央公民館、勤労青少年ホームとの複合施設となって以来、利用者数は、一般の貸し館等利用者を中央公民館利用者として算出しているため減となっている。,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　２　女性学習センターと勤労青少年ホームは平成28年4月1日に廃止され、その事業は生涯学習室と生活総務課で継承され実施されている。,,,,,,,,,,,,,,,,,,,,,,,,,,,
