２１　学　校　の　概　況,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,令和３年５月１日現在,
学校,学校数,,,園 児 ・ 児 童 ・ 生 徒 ・ 学 生 数 (人),,,,,,,,,"教員数
(人)",
,"総
数",国･公立,"私
立",総数,,,国・公立,,,私立,,,,
,,,,計,男,女,計,男,女,計,男,女,,
幼　 稚　 園,16 ,1 ,15 ,"1,236 ",650 ,586 ,79 ,46 ,33 ,"1,157 ",604 ,553 ,151 ,
幼保連携型認定こども園,22 , － ,22 ,"3,275 ","1,631 ","1,644 ", － , － , － ,"3,275 ","1,631 ","1,644 ",551 ,
小 　学　 校,43 ,43 , － ,"13,862 ","7,014 ","6,848 ","13,862 ","7,014 ","6,848 ", － , － , － ,869 ,
中 　学 　校,27 ,26 ,1 ,"7,416 ","3,783 ","3,633 ","7,416 ","3,783 ","3,633 ", － , － , － ,579 ,
高 等　学 校,14 ,10 ,4 ,"7,696 ","3,748 ","3,948 ","5,697 ","2,933 ","2,764 ","1,999 ",815 ,"1,184 ",626 ,
短 期　大 学,4 ,－ , 4 ,577 ,31 ,546 ,－ ,－ ,－ ,577 ,31 ,546 ,59 ,
高等専門学校,1 ,1 , － ,796 ,604 ,192 ,796 ,604 ,192 , － , － , － ,58 ,
大　　　　学,6 ,4 , 2 ,"7,534 ","4,139 ","3,395 ","6,318 ","3,461 ","2,857 ","1,216 ",678 ,538 ,883 ,
特別支援学校,5 ,5 , － ,450 ,282 ,168 ,450 ,282 ,168 , － , － , － ,358 ,
専 修　学 校,13 ,1 ,12 ,"1,139 ",345 ,794 ,84 ,10 ,74 ,"1,055 ",335 ,720 ,99 ,
各 種　学 校, 1 , － , 1 , － , － , － , － , － , － , － , － , － , 2 ,
  資料　秋田県調査統計課「学校基本調査」、各短期大学、高等専門学校、各大学,,,,,,,,,,,,,,
  注)　１　公立小中学校に分校１校を含む。,,,,,,,,,,,,,,
　　   ２　こども園の園児数には、保育部分の園児数も含めた０歳から５歳までの利用者数。,,,,,,,,,,,,,,
　　   ３　高等学校の生徒には、通信制含めず。,,,,,,,,,,,,,,
　  　 ４　大学・短大の学生数は、学部・本科の学生数である。        ,,,,,,,,,,,,,,
 　  　５　高等専門学校の学生数は、専攻科を除く。,,,,,,,,,,,,,,
 　  　６　教員数は本務者分である。,,,,,,,,,,,,,,
