１１２　保　存　樹　の　状　況,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,各年３月３１日現在
年　次,総数,,単独樹木,,貴重木（珍木）,,並木,,樹林,
,箇所,本数,箇所,本数,箇所,本数,箇所,本数,箇所,本数
平成24年,196 ,"1,967 ",133 ,237 ,44 ,469 ,14 ,250 ,5 ,"1,011 "
25,177 ,"1,928 ",117 ,212 ,41 ,465 ,14 ,244 ,5 ,"1,007 "
26,176 ,"1,926 ",122 ,217 ,35 ,458 ,14 ,244 ,5 ,"1,007 "
27,176 ,"1,926 ",122 ,217 ,35 ,458 ,14 ,244 ,5 ,"1,007 "
28,176 ,"1,926 ",122 ,217 ,35 ,458 ,14 ,244 ,5 ,"1,007 "
29,176 ,"1,926 ",122 ,217 ,35 ,458 ,14 ,244 ,5 ,"1,007 "
30,176 ,"1,926 ",122 ,217 ,35 ,458 ,14 ,244 ,5 ,"1,007 "
令和元年,176 ,"1,926 ",122 ,217 ,35 ,458 ,14 ,244 ,5 ,"1,007 "
２,176 ,"1,926 ",122 ,217 ,35 ,458 ,14 ,244 ,5 ,"1,007 "
３,169 ,"1,913 ",116 ,210 ,34 ,457 ,14 ,240 ,5 ,"1,006 "
資料　秋田市公園課,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
