１０１　住宅の種類・建築の時期・所有の関係等別、65歳以上の世帯員のいる世帯の高齢者等のための設備状況,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,平成３０年１０月１日現在
,総数,高  齢  者  等  の  た  め  の  設  備  が  あ  る,,,,,,,,,,,高齢者等のための設備はない
,,総数,手すり            がある,,,,,,またぎやすい高さの浴槽,廊下などが車いすで通行可能な幅,"段差のない
屋内",道路から玄関まで車いすで通行可能,
住宅の種類別等,,,総数,玄関,トイレ,"浴室
脱衣所","廊下
階段",居住室等,,,,,
,,,,,,,,,,,,,
65歳以上の世帯員のいる主世帯総数,"58,730 ","35,970 ","31,810 ","10,370 ","17,660 ","20,460 ","27,150 ","1,750 ","15,010 ","12,250 ","11,700 ","5,950 ","22,710 "
,,,,,,,,,,,,,
(その１.住宅の種類別）,,,,,,,,,,,,,
　専       用       住      宅,"57,160 ","35,020 ","30,920 ","9,900 ","17,120 ","19,850 ","26,240 ","1,650 ","14,690 ","11,970 ","11,470 ","5,740 ","22,110 "
　店 舗 そ の 他の 併 用 住 宅,"1,560 ",950 ,890 ,470 ,540 ,600 ,910 ,100 , 320 , 290 , 230 , 210 , 600 
,,,,,,,,,,,,,
(その２.建築の時期別）,,,,,,,,,,,,,
　　昭和45年以前,"7,540 ","4,360 ","3,990 "," 1,530 ","2,740 ","2,690 ","3,510 ",410 ," 1,430 "," 1,150 ", 570 , 650 ," 3,170 "
　　昭和46年～55年,"13,440 ","8,760 "," 7,800 "," 2,030 ","4,060 ","4,460 ","6,280 ",490 ," 3,050 "," 2,180 "," 1,260 "," 1,430 "," 4,680 "
　　昭和56年～平成２年,"13,620 ","6,930 "," 5,880 "," 1,460 ","3,130 ","3,330 ","4,710 ", 150 ," 2,660 "," 1,970 "," 1,050 "," 1,030 "," 6,690 "
　　平成３年～12年,"11,210 ","7,740 ","6,790 ","2,180 ","3,250 ","4,260 ","6,340 ",360 ,"3,580 ","3,150 ","3,080 ","1,170 ","3,480 "
　　平成13年～22年,"6,360 ","5,280 ","4,880 ","2,060 ","2,980 ","4,030 ","4,480 ",260 ,"2,940 ","2,550 ","4,070 ","1,210 ","1,080 "
　　平成23年～27年,"2,150 ","1,720 ","1,450 ",620 ,890 ,910 ,"1,160 ",60 ,790 , 740 ,"1,130 ", 300 , 430 
　　平成28年～30年９月,640 ,550 ,510 ,270 ,320 ,540 ,290 , － , 290 , 310 , 340 , 110 , 90 
,,,,,,,,,,,,,
(その３.専用住宅の所有の関係等別),,,,,,,,,,,,,
　持　　　 　　ち　 　　　　家,"50,670 ","33,310 ","29,620 "," 9,400 ","16,250 ","18,990 ","25,340 ","1,590 "," 13,860 "," 11,450 "," 10,750 "," 5,130 "," 17,360 "
　　一　　　  　戸　　　  　建,"48,890 ","32,150 ","28,910 "," 9,080 ","15,840 ","18,410 ","25,140 ","1,560 "," 13,430 "," 10,750 "," 10,140 "," 4,430 "," 16,750 "
　　長　　　 　 屋　　 　　 建,230 ,130 ,90 , － , 20 , 70 ,90 , － , － , 60 , 90 , 60 , 110 
　　共　    同　　  住　 　 宅,"1,540 ","1,040 ",620 , 320 ,380 ,510 ,110 ,30 , 440 , 650 , 520 , 640 , 510 
　　　う　ち　エレベーターあり,"1,490 ",990 ,590 , 290 ,350 ,480 ,50 , － , 410 , 620 , 470 , 620 , 510 
　　　うち高齢者対応型共同住宅,120 ,120 ,120 , 30 ,70 ,70 , 20 , － , 30 , 70 , 120 , 20 , － 
　　そ        　の      　  他, － , － , － , － , － , － , － , － , － , － , － , － , － 
　借                　　    家,"6,460 ","1,710 "," 1,300 ", 500 ,870 ,860 ,910 , 70 , 820 , 510 , 720 , 610 ," 4,760 "
　　一　　　  　戸　　　  　建,"1,870 ",540 ,380 , 150 ,130 ,190 ,320 , 70 ,210 ,80 ,100 ,130 ,"1,330 "
　　長　　　 　 屋　　 　　 建,500 ,250 ,250 ,170 ,180 ,130 ,140 , － , 180 ,130 , 130 ,150 ,240 
　　共　    同　　  住　 　 宅,"4,100 ",920 ,660 ,180 ,560 ,540 ,440 , － ,440 ,310 ,490 ,330 ,"3,180 "
　　　う　ち　エレベーターあり,580 ,130 ,20 , － ,20 , － , － , － ,30 , － ,110 , 80 , 440 
　　　うち高齢者対応型共同住宅,290 ,190 ,190 , 30 , 190 , 160 ,200 , － , 190 , 160 , 160 , 130 , 100 
　　そ        　の      　  他, － , － , － , － , － , － , － , － , － , － , － , － , － 
,,,,,,,,,,,,,
資料　総務省統計局「住宅・土地統計調査報告」,,,,,,,,,,,,,
注）　標本調査であるため、個々の数値と総数は一致しない場合がある。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
