９１　用 途 地 域 別 建 築 確 認 件 数　,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,各年度間
年度,総数,用途地域内,,,,,,,,用途地域内,,,,,"市街化
調整地域",用途地域の指定のない区域(市街化調整区域をのぞく),"都市計画
区域外"
,,総数,"第１種
低層住居専用地域","第２種
低層住居専用地域","第１種
中高層住居専用
地域","第２種
中高層住居専用
地域","第１種
住居地域","第２種
住居地域","準住居
地域","近隣商業
地域",商業地域,"準工業
地域",工業地域,"工業専用
地域",,,
平成23年度,"1,642 ","1,492 ",553 ,7 ,83 ,156 ,375 ,16 ,1 ,94 ,59 ,100 ,17 ,31 ,100 , 41 ,9 
24 ,"1,705 ","1,560 ",589 ,13 ,92 ,138 ,402 ,27 , 4 ,84 ,62 ,106 ,13 ,30 ,90 , 45 ,10 
25 ,"1,838 ","1,663 ",592 ,4 ,106 ,178 ,409 ,34 ,1 ,143 ,76 ,98 ,8 ,14 ,106 , 51 ,18 
26 ,"1,649 ","1,506 ",545 ,9 ,127 ,172 ,303 ,28 ,4 ,110 ,74 ,97 ,9 ,28 ,111 , 18 ,14 
27 ,"1,684 ","1,548 ",540 ,3 ,139 ,165 ,348 ,28 ,2 ,82 ,93 ,108 ,7 ,33 ,125 , － ,11 
28 ,"1,682 ","1,566 ",526 ,1 ,135 ,193 ,378 ,37 ,1 ,87 ,97 ,67 ,18 ,26 ,110 , － ,6 
29 ,"1,623 ","1,527 ",497 ,5 ,133 ,148 ,408 ,48 ,1 ,105 ,53 ,98 ,9 ,22 ,85 , － ,11 
30 ,"1,691 ","1,582 ",523 ,4 ,127 ,182 ,389 ,45 , 1 ,106 ,58 ,107 ,12 ,28 ,99 , － ,10 
令和元年度,"1,574 ","1,487 ",478 ,2 ,124 ,189 ,384 ,36 ,3 ,114 ,58 ,71 ,8 ,20 ,77 , － ,10 
２,"1,437 ","1,347 ",426 ,2 ,114 ,160 ,347 ,25 ,－ ,92 ,59 ,84 ,8 ,30 ,75 , － ,15 
資料　秋田市建築指導課,,,,,,,,,,,,,,,,,
注）  １  計画通知適合件数を除く。,,,,,,,,,,,,,,,,,
　　　２  平成18年度から建築物のみの確認件数（昇降機・工作物を除く）。,,,,,,,,,,,,,,,,,
　　　３  平成22年度から計画変更確認件数を除く。,,,,,,,,,,,,,,,,,
