１６　年 齢（５ 歳 階 級） 別 構 成 の 推 移,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,各年１０月１日現在　単位：人
年齢,, 平成１７年,,,, 平成２２年,,,, 平成２７年,,,, 令和２年,,,
,,総数,構成比,男,女,総数,構成比,男,女,総数,構成比,男,女,総数,構成比,男,女
（５歳階級）,,,（％）,,,,（％）,,,,（％）,,,,（％）,,
総数,,"333,109 ",100.0 ,"158,107 ","175,002 ","323,600 ",100.0 ,"152,456 ","171,144 ","315,814 ",100.0 ,"148,851 ","166,963 ","307,672 ",100.0 ,"145,411 ","162,261 "
年少人口    ,０ ～ ４,"13,203 ",4.0 ,"6,676 ","6,527 ","11,887 ",3.7 ,"6,053 ","5,834 ","10,494 ",3.3 ,"5,329 ","5,165 ","9,434 ",3.1 ,"4,854 ","4,580 "
,５ ～ ９,"14,714 ",4.5 ,"7,604 ","7,110 ","13,039 ",4.0 ,"6,604 ","6,435 ","11,731 ",3.7 ,"5,993 ","5,738 ","11,244 ",3.7 ,"5,733 ","5,511 "
,10 ～ 14,"15,962 ",4.8 ,"8,153 ","7,809 ","14,648 ",4.5 ,"7,499 ","7,149 ","12,691 ",4.0 ,"6,361 ","6,330 ","12,131 ",3.9 ,"6,206 ","5,925 "
,計,"43,879 ",13.2 ,"22,433 ","21,446 ","39,574 ",12.2 ,"20,156 ","19,418 ","34,916 ",11.0 ,"17,683 ","17,233 ","32,809 ",10.7 ,"16,793 ","16,016 "
,15 ～ 19,"18,141 ",5.4 ,"9,313 ","8,828 ","15,946 ",4.9 ,"8,070 ","7,876 ","14,662 ",4.6 ,"7,430 ","7,232 ","13,017 ",4.2 ,"6,617 ","6,400 "
,20 ～ 24,"18,606 ",5.6 ,"9,390 ","9,216 ","15,220 ",4.7 ,"7,543 ","7,677 ","13,652 ",4.3 ,"6,895 ","6,757 ","12,562 ",4.1 ,"6,454 ","6,108 "
生産年齢人口,25 ～ 29,"20,673 ",6.2 ,"10,131 ","10,542 ","16,348 ",5.1 ,"7,892 ","8,456 ","13,413 ",4.2 ,"6,519 ","6,894 ","12,269 ",4.0 ,"6,072 ","6,197 "
,30 ～ 34,"23,118 ",6.9 ,"11,466 ","11,652 ","20,053 ",6.2 ,"9,935 ","10,118 ","15,907 ",5.0 ,"7,747 ","8,160 ","14,096 ",4.6 ,"6,884 ","7,212 "
,35 ～ 39,"20,709 ",6.3 ,"10,136 ","10,573 ","22,666 ",7.0 ,"11,242 ","11,424 ","19,779 ",6.3 ,"9,707 ","10,072 ","16,778 ",5.5 ,"8,291 ","8,487 "
,40 ～ 44,"21,253 ",6.4 ,"10,148 ","11,105 ","20,424 ",6.3 ,"9,929 ","10,495 ","22,459 ",7.1 ,"11,097 ","11,362 ","20,347 ",6.6 ,"10,134 ","10,213 "
,45 ～ 49,"22,638 ",6.8 ,"10,906 ","11,732 ","20,930 ",6.5 ,"9,983 ","10,947 ","19,951 ",6.3 ,"9,704 ","10,247 ","22,572 ",7.3 ,"11,258 ","11,314 "
