２２－２　幼保連携型認定こども園の概況,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,各年度５月１日現在,
年度,園数,,,"教員数
（人）",園児数（人）,,,,,,,,,〔再掲〕園児数（人）,,,,,,
,総数,"国・
公立",私立,,総数,,,国・公立,,,私立,,,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,
,,,,,計,男,女,計,男,女,計,男,女,,,,,,,
平成29年度,16 , － ,16 ,419 ,"3,019 ","1,487 ","1,532 ", － , － , － ,"3,019 ","1,487 ","1,532 ",89 ,246 ,262 ,780 ,807 ,835 ,
30,19 , － ,19 ,521 ,"3,393 ","1,678 ","1,715 ", － , － , － ,"3,393 ","1,678 ","1,715 ",109 ,321 ,360 ,856 ,870 ,877 ,
令和元年度,20 , － ,20 ,544 ,"3,299 ","1,670 ","1,629 ", － , － , － ,"3,299 ","1,670 ","1,629 ",98 ,328 ,353 ,783 ,890 ,847 ,
２,21 , － ,21 ,533 ,"3,307 ","1,672 ","1,635 ", － , － , － ,"3,307 ","1,672 ","1,635 ",110 ,352 ,351 ,786 ,804 ,904 ,
３,22 , － ,22 ,551 ,"3,275 ","1,631 ","1,644 ", － , － , － ,"3,275 ","1,631 ","1,644 ",110 ,340 ,391 ,773 ,806 ,855 ,
　資料　秋田県調査統計課「学校基本調査」,,,,,,,,,,,,,,,,,,,,
　注)   教員は本務者のみである。,,,,, ,,,,,,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
