４５　主要スポーツ施設の利用状況（ Ⅰ ）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,各年度間,,,,,
年度,八橋陸上競技場,,,八橋球場（硬式）,,,"八橋健康広場
(旧軟式野球場)",,,市立体育館,,,テニスコート,,,多目的グラウンド,,,,,,,
,"開場
日数
(日)",利用者数（人),,"開場
日数
(日)",利用者数（人),,"開場
日数
(日)",利用者数（人),,"開場
日数
(日)",利用者数（人),,"開場
日数
(日)",利用者数（人),,"開場
日数
(日)",利用者数（人),,,,,,
,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,,,,
平成23年度,360 ,"125,056 ",348 ,215 ,"116,584 ",542 ,153 ,"5,519 ",36 ,348 ,"206,709 ",594 ,269 ,"37,261 ",139 , 254 ," 15,635 ", 62 ,,,,,
24,358 ,"117,742 ",328 ,244 ,"68,245 ",279 ,183 ,"12,939 ",70 ,345 ,"171,468 ",497 ,270 ,"35,411 ",131 , 254 ," 23,820 ", 93 ,,,,,
25,359 ,"124,346 ",346 ,244 ,"96,337 ",394 ,122 ,"8,864 ",72 ,347 ,"185,874 ",535 ,259 ,"31,035 ",119 , 256 ," 18,667 ", 72 ,,,,,
26,359 ,"90,390 ",251 ,244 ,"102,081 ",418 ,244 ,"22,540 ",92 ,347 ,"196,756 ",567 ,244 ,"31,178 ",127 , 244 ," 22,034 ", 90 ,,,,,
27,359 ,"96,397 ",268 ,244 ,"106,365 ",435 , 214 ," 27,497 ", 128 ,347 ,"196,652 ",566 ,244 ,"33,691 ",138 ,244 ,"33,769 ",138 ,,,,,
28,359 ,"127,343 ",355 ,244 ,"102,075 ",418 , 214 ," 22,514 ", 105 ,347 ,"232,183 ",669 ,244 ,"32,225 ",132 ,244 ,"33,044 ",135 ,,,,,
29,359 ,"124,140 ",345 ,244 ,"85,180 ",349 ,214 ,"19,510 ",91 ,347 ,"242,735 ",699 ,274 ,"34,131 ",124 ,244 ,"38,040 ",155 ,,,,,
30,359 ,"109,944 ",306 ,244 ,"84,893 ",348 ,214 ,"10,028 ",47 ,349 ,"232,402 ",666 ,244 ,"28,741 ",118 ,244 ,"25,604 ",105 ,,,,,
令和元年度,360 ,"145,274 ",404 ,244 ,"62,671 ",257 ,183 ,"11,292 ",62 ,272 ,"169,703 ",624 ,244 ,"31,033 ",127 ,244 ,"24,994 ",102 ,,,,,
２,330 ,"53,905 ",163 ,215 ,"12,484 ",58 ,183 ,"13,214 ",72 ,318 ,"81,407 ",256 ,215 ,"25,667 ",119 ,215 ,"7,625 ",35 ,,,,,
