４０　高等学校卒業者の産業別就職状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,各年３月卒業者　単位：人　,,,,,,,,,,,,,,,,,,,,,,,,,,,,
産      業,平成30年,,31,,令和２年,,３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,女,男,女,男,女,計,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 総数　,292 ,223 ,296 ,225 ,287 ,254 ,503 ,304 ,199 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(106),(43),(113),(48),(97),(52),(133),(99),(34),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農　業、林　業,2 ,1 ,1 ,－ ,1 ,1 ,6 ,5 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(－),(－),(－),(－),(－),(－),(－),(－),(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
漁業,－ ,－ ,－ ,－ ,－ ,－ ,－ ,－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(－),(－),(－),(－),(－),(－),(－),(－),(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
鉱業、採石業、砂利採取業,5 ,1 ,3 ,－ ,10 ,－ ,6 ,6 ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(－),(－),(1),(－),(5),(－),(2),(2),(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
建設業,43 ,7 ,55 ,11 ,41 ,11 ,53 ,43 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(23),(5),(29),(4),(16),(1),(25),(23),(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
製造業,70 ,29 ,81 ,33 ,82 ,33 ,95 ,66 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(24),(5),(34),(15),(24),(12),(26),(16),(10),,,,,,,,,,,,,,,,,,,,,,,,,,,,
電気・ガス・熱供給・水道業,13 ,－ ,10 ,4 ,10 ,2 ,21 ,21 ,(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(9),(－),(6),(－),(5),(1),(10),(10),(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
情 報 通 信 業,2 ,3 ,－ ,6 ,5 ,4 ,7 ,5 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(2),(－),(－),(－),(4),(1),(2),(1),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
運輸業、郵便業,21 ,12 ,19 ,18 ,27 ,12 ,17 ,14 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(7),(5),(5),(4),(8),(2),(4),(4),(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
卸売業・小売業,19 ,40 ,15 ,40 ,11 ,48 ,65 ,23 ,42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(3),(5),(1),(5),(－),(3),(4),(1),(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,
金融業・保険業,1 ,4 ,2 ,4 ,1 ,5 ,3 ,－ ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(－),(－),(－),(1),(－),(1),(1),(－),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
不動産業、物品賃貸業,－ ,1 ,－ ,－ ,2 ,6 ,2 ,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(－),(1),(－),(－),(－),(2),(1),(1),(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
学術研究、専門・技術サービス業,5 ,2 ,6 ,3 ,10 ,2 ,9 ,7 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(2),(－),(2),(－),(5),(－),(4),(3),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
宿泊業、飲食サービス業,13 ,19 ,10 ,19 ,16 ,30 ,26 ,14 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(4),(6),(2),(5),(7),(12),(5),(2),(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,
生活関連サービス業、娯楽業,4 ,17 ,8 ,12 ,7 ,22 ,14 ,7 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(1),(6),(1),(1),(2),(2),(1),(1),(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
医療・福祉,1 ,13 ,3 ,15 ,0 ,15 ,32 ,10 ,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(－),(1),(1),(2),(－),(2),(2),(－),(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
教育、学習支援業,－ ,3 ,－ ,1 ,－ ,2 ,2 ,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(－),(－),(－),(－),(－),(－),(2),(1),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
複合サービス事業,4 ,19 ,5 ,9 ,4 ,9 ,10 ,3 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(1),(1),(－),(1),(－),(－),(－),(－),(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
サービス業(他に分類されないもの),23 ,22 ,18 ,18 ,3 ,20 ,40 ,13 ,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(10),(1),(8),(3),(1),(3),(4),(2),(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
公務(他に分類されるのものを除く),65 ,30 ,59 ,32 ,51 ,32 ,89 ,60 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(19),(7),(22),(7),(20),(10),(40),(32),(8),,,,,,,,,,,,,,,,,,,,,,,,,,,,
上記以外,1 ,－ ,1 ,－ ,6 ,－ ,6 ,5 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(1),(－),(1),(－),(－),(－),(－),(－),(－),,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　秋田県調査統計課「学校基本調査」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）１　就職進学者を含む数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　２　( )内は県外就職者で再掲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
