３７　高　等　学　校　卒　業　者　の　進　路　状　況,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,各年３月卒業者　単位：人
年次,卒業者総数,,,大学等進学者,,,"専修学校
等入学者","公共職業
能力開発
施設等入学者",就職者,,,左記以外　　の者,(A)(B)(C),進学率,,就職率,
,(A)＋(B)＋(C)＋(D)＋(E),,,,（A）,,,,,（D）,,,のうち,（％）,,（％）,
,計,男,女,計,男,女,（B）,（C）,計,男,女,（E）,就職者,秋田市,秋田県,秋田市,秋田県
平成24年,"2,888 ","1,356 ","1,532 ","1,514 ",690 ,824 ,641 , 8 ,612 ,336 ,276 ,113 , － ,52.4 ,45.0 ,21.2 ,29.4 
25,"3,143 ","1,452 ","1,691 ","1,521 ",664 ,857 ,611 , 11 ,703 ,385 ,318 ,297 , － ,48.4 ,43.0 ,22.4 ,29.5 
26,"2,861 ","1,378 ","1,483 ","1,432 ",676 ,756 ,617 , － ,644 ,368 ,276 ,168 , 3 ,50.1 ,44.4 ,22.6 ,30.1 
27,"2,901 ","1,376 ","1,525 ","1,505 ",697 ,808 ,608 , 10 ,603 ,341 ,262 ,175 , 1 ,51.9 ,44.4 ,20.8 ,29.7 
28,"2,749 ","1,245 ","1,504 ","1,381 ",638 ,743 ,589 , 7 ,588 ,306 ,282 ,184 , 1 ,50.2 ,44.6 ,21.4 ,29.8 
29,"2,782 ","1,333 ","1,449 ","1,491 ",702 ,789 ,567 , － ,551 ,326 ,225 ,173 , － ,53.6 ,45.3 ,19.8 ,30.4 
30,"2,695 ","1,290 ","1,405 ","1,423 ",670 ,753 ,541 , － ,515 ,292 ,223 ,216 , － ,52.8 ,45.3 ,19.1 ,29.9 
31,"2,639 ","1,261 ","1,378 ","1,460 ",680 ,780 ,473 , － ,521 ,296 ,225 ,185 , － ,55.3 ,45.4 ,19.7 ,30.2 
令和２年,"2,593 ","1,193 ","1,400 ","1,405 ",642 ,763 ,477 , 1 ,542 ,287 ,255 ,169 , 15 ,54.2 ,45.0 ,20.9 ,30.9 
３,"2,541 ","1,165 ","1,376 ","1,440 ",633 ,807 ,458 , 3 ,503 ,304 ,199 ,150 , 13 ,56.7 ,48.1 ,19.8 ,27.8 
資料　秋田県調査統計課「学校基本調査」,,,,,,,,,,,,,,,,,
注） １ 大学等進学者とは、大学・短期大学の本科・別科・通信教育部、放送大学（全科修生）、特別支援学校高等部の専攻科へ進学した者。,,,,,,,,,,,,,,,,,
　　 ２ 左記以外の者には、死亡・不詳を含む,,,,,,,,,,,,,,,,,
　　 ３ 進学率は「大学等進学者」を「卒業者総数」で除したものである。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
