３９　高等学校卒業者の都道府県別就職状況,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,各年３月卒業者　単位：人,,,
都道府県・地域別,"平成
24
年",25 ,26 ,27 ,28 ,29 ,30 ,31 ,"令和
２
年",３,,,
総数, 612 , 703 , 647 , 604 , 589 , 551 , 515 , 521 ,541 ,503 ,,,
北海道, － , － , 3 , 3 , 4 , 1 , 3 , 6 ,3 ,1 ,,,
青森県, － , － , 7 , － , － , － , － , － ,－ ,1 ,,,
岩手県, 1 , 2 , 1 , － , － , 2 , 3 , － , － , － ,,,
宮城県, 22 , 30 , 25 , 19 , 28 , 40 , 35 , 55 ,52 ,52 ,,,
秋田県, 424 , 514 , 477 , 472 , 445 , 384 , 366 , 360 ,392 ,370 ,,,
山形県, － , － , 1 , － , － , 1 , 1 , － , － , 1 ,,,
福島県, 1 , 2 , 1 , － , － , － , 1 , 1 ,－ ,－ ,,,
茨城県, 8 , 3 , 1 , 2 , 6 , 5 , 3 , 4 ,4 ,1 ,,,
栃木県, 5 , 4 , 3 , 3 , 1 , 1 , 2 , 2 ,0 ,0 ,,,
群馬県, 2 , 1 , － , 2 , 2 , 3 , － , 2 ,－ ,－ ,,,
埼玉県, 12 , 8 , 10 , 7 , 9 , 7 , 4 , 14 ,8 ,10 ,,,
千葉県, 20 , 12 , 11 , 3 , 10 , 14 , 17 , 11 ,7 ,6 ,,,
東京都, 76 , 90 , 85 , 71 , 67 , 67 , 55 , 43 ,45 ,42 ,,,
神奈川県, 22 , 19 , 12 , 13 , 10 , 21 , 17 , 13 ,19 ,9 ,,,
新潟県, 1 , 1 , 3 , 3 , 1 , － , － , 3 ,3 ,2 ,,,
北陸地方, 3 , 1 , － , － , － , － , － , － ,1 ,－ ,,,
甲信地方, 1 , 2 , 1 , 1 , 1 , 1 , － , － ,－ ,－ ,,,
東海地方, 8 , 5 , 3 , 2 , 1 , 2 , 3 , 5 ,2 ,4 ,,,
近畿地方, 4 , 1 , 2 , 1 , 2 , 1 , 4 , 1 ,3 ,2 ,,,
中国地方, 1 , 3 , 1 , － , 1 , － , 1 , 1 ,－ ,－ ,,,
四国地方, － , 1 , － , 1 , － , － , － , － ,－ ,1 ,,,
九州地方, － , － , － , － , － , 1 , － , － , － , 1 ,,,
その他, 1 , 4 , － , 1 , 1 , － , － , － ,2 ,－ ,,,
資料　秋田県調査統計課「学校基本調査」,,,,,,,,,,,,,
注）１　就職進学者を含む数値である。,,,,,,,,,,,,,
　　２　「その他」国外勤務及び不詳者,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
