６１　保　安　林　の　概　況,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,各年４月１日現在  単位：ha,
年次,総数,,水源かん養,,土砂流出防備,,土砂崩壊防備,,飛砂防備,,防風保安林,,潮害防備,,干害防備,,なだれ防止,,（参考）,,
,,,保安林,,保安林,,保安林,,保安林,,,,保安林,,保安林,,保安林,,仁別自然休養林,,
,箇所,面積,箇所,面積,箇所,面積,箇所,面積,箇所,面積,箇所,面積,箇所,面積,箇所,面積,箇所,面積,箇所,面積,
平成24年, 153 ," 2,611 ", 15 ," 1,139 ", 26 , 534 , 62 , 112 , 22 , 550 , 7 , 29 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
25, 169 ," 2,956 ", 21 ," 1,445 ", 27 , 554 , 70 , 120 , 22 , 549 , 8 , 41 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
26, 174 ," 2,959 ", 21 ," 1,445 ", 27 , 554 , 75 , 123 , 22 , 549 , 8 , 41 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
27, 174 ," 2,959 ", 21 ," 1,445 ", 27 , 554 , 75 , 123 , 22 , 549 , 8 , 41 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
28, 174 ," 2,959 ", 21 ," 1,445 ", 27 , 554 , 75 , 123 , 22 , 549 , 8 , 41 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
29, 175 ," 2,959 ", 21 ," 1,445 ", 28 , 554 , 75 , 123 , 22 , 549 , 8 , 41 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
30, 175 ," 2,959 ", 21 ," 1,445 ", 28 , 554 , 75 , 123 , 22 , 549 , 8 , 41 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
31, 178 ," 3,030 ", 23 ," 1,502 ", 29 , 568 , 75 , 123 , 22 , 549 , 8 , 41 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
令和２年, 180 ," 3,035 ", 23 ," 1,502 ", 29 , 568 , 77 , 128 , 22 , 549 , 8 , 41 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
３, 184 ," 3,069 ", 23 ," 1,502 ", 30 , 604 , 80 , 128 , 22 , 547 , 8 , 41 , 1 , 1 , 18 , 246 , 2 , － , 1 ," 2,796 ",
注）　参考は総数に含まない。,,,,,,,,,,,,,,,,,【資料】秋田県林業統計,,,,
　,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
