５９　漁　業　の　概　況,,,,,,,,,,,,
,,,,,,,,,,,,
(1)沿岸漁業,,,,,,,,,,,各年１２月３１日現在,
年次,漁業,漁業協同組合員数（人）,,,漁獲量,規模別漁船隻数（隻）,,,,,,
,協同,総数,正,准,（属人）,総数,船外機,動力船,1～3t,3～10t,10～50t,
,組合数,,組合員,組合員,(t),,付船,1t未満,未満,未満,,
平成23年, 1 , 138 , 72 , 66 , 48 , 132 , 68 , － , 30 , 32 , 2 ,
24, 1 , 121 , 62 , 59 , 42 , 134 , 68 , － , 30 , 34 , 2 ,
25, 1 , 125 , 69 , 56 , 43 , 128 , 66 , － , 28 , 32 , 2 ,
26, 1 , 112 , 63 , 49 , 35 , 121 , 62 , － , 27 , 30 , 2 ,
27, 1 , 109 , 62 , 47 , 40 , 124 , 64 , － , 27 , 31 , 2 ,
28, 1 , 108 , 63 , 45 , 30 , 123 , 63 , － , 27 , 31 , 2 ,
29, 1 , 113 , 64 , 49 , 38 , 126 , 64 , － , 28 , 32 , 2 ,
30, 1 , 107 , 62 , 45 , 48 , 122 , 61 , － , 28 , 31 , 2 ,
令和元年, 1 , 111 , 60 , 51 , 50 , 118 , 59 , － , 27 , 30 , 2 ,
２, 1 , 110 , 62 , 48 , 46 , 117 , 57 , － , 27 , 31 , 2 ,
,,,,,,,,,,,,
(2)内水面漁業,,,,,,,,,,,,
年次,漁業,漁業協同組合員数（人）,,,　資料　秋田市農業農村振興課,,,,,,,
,協同,総数,正,准,　 注） 漁獲量：秋田農林統計年報,,,,,,,
,組合数,,組合員,組合員,　　　（平成20年より秋田県漁業協同組合業務報告）,,,,,,,
平成23年, 1 , 269 , 269 , － ,　　　　内水面漁業は、漁業資源の維持・増産、河川環境の保全,,,,,,,
24, 1 , 268 , 268 , － ,　　　　が目的であり漁獲量等の統計は取っていない。,,,,,,,
25, 1 , 268 , 268 , － ,,,,,,,,
26, 1 , 244 , 244 , － ,,,,,,,,
27, 1 , 234 , 232 , 2 ,,,,,,,,
28, 1 , 228 , 226 , 2 ,,,,,,,,
29, 1 , 217 , 215 , 2 ,,,,,,,,
30, 1 , 204 , 202 , 2 ,,,,,,,,
令和元年, 1 , 196 , 194 , 2 ,,,,,,,,
２, 1 , 191 , 189 , 2 ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
