指定緊急避難場所一覧,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NO,施設・場所名,住所,対象とする異常な現象の種類,,,,,,,,指定避難所との重複,想定収容人数,緯度,経度
,,,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,,,,
1,泉小学校グラウンド,秋田県秋田市泉中央6-2-1,○,○,,○,,,,,,"4,555人(2㎡あたり1人）",39.73203977,140.1087435
2,保戸野小学校グラウンド,秋田県秋田市保戸野すわ町9-60,○,○,,○,,,,,,"3,670人(2㎡あたり1人）",39.72435612,140.1149083
3,八橋小学校グラウンド,秋田県秋田市八橋大沼町7-1,○,○,,○,,,,,,"5,215人(2㎡あたり1人）",39.73172902,140.0955339
4,旭北小学校グラウンド,秋田県秋田市山王3-1-35,,○,,○,,,,,,"3,200人(2㎡あたり1人）",39.71688347,140.106438
5,川尻小学校グラウンド,秋田県秋田市川尻みよし町8-31 ,○,○,,○,,,,,,"3,665人(2㎡あたり1人）",39.71086925,140.096183
6,旭南小学校グラウンド,秋田県秋田市旭南1-15-1,,○,,○,,,,,,"4,590人(2㎡あたり1人）",39.71040489,140.1095601
7,中通小学校グラウンド,秋田県秋田市中通5-8-22,,○,,○,,,,,,"2,720人(2㎡あたり1人）",39.71378388,140.1206014
8,築山小学校グラウンド,秋田県秋田市楢山古川新町55-1,,○,,○,,,,,,"3,085人(2㎡あたり1人）",39.70600878,140.121872
9,明徳小学校グラウンド,秋田県秋田市千秋公園1-13,○,,,○,,,,,,"5,890人(2㎡あたり1人）",39.72417575,140.1235479
10,泉中学校グラウンド,秋田県秋田市泉北2-6-1,○,○,,○,,,,,,"5,055人(2㎡あたり1人）",39.73535125,140.1053125
11,秋田東中学校グラウンド,秋田県秋田市手形休下町10-51,○,○,,○,,,,,,"4,120人(2㎡あたり1人）",39.72796588,140.1292485
12,山王中学校グラウンド,秋田県秋田市山王3-1-24,,○,,○,,,,,,"4,545人(2㎡あたり1人）",39.7176481,140.1061157
13,秋田南中学校グラウンド,秋田県秋田市南通宮田15-1,,○,,○,,,,,,"5,355人(2㎡あたり1人）",39.70733138,140.1264742
14,城南中学校グラウンド,秋田県秋田市楢山城南町4-1,○,○,,○,,,,,,"4,280人(2㎡あたり1人）",39.70009588,140.1297405
15,八橋運動公園,秋田県秋田市八橋運動公園地内,○,○,,○,○,○,,,,"津波117,000人(1㎡あたり1人）
津波以外58,500人（2㎡あたり1人）",39.72054088,140.094782
16,八橋陸上競技場,秋田県秋田市八橋運動公園1-10,○,○,,○,,,,,,"14,725人(2㎡あたり1人）",39.72158566,140.0956869
17,八橋球技場,秋田県秋田市八橋運動公園地内,○,○,,○,,,,,,"8,130人(2㎡あたり1人）",39.72147338,140.0997468
18,八橋硬式野球場,秋田県秋田市八橋運動公園1-7,○,○,,○,,,,,,"8,815人(2㎡あたり1人）",39.72003737,140.0968219
19,八橋第２球技場・健康広場,秋田県秋田市八橋運動公園地内,○,○,,○,,,,,,"4,970人(2㎡あたり1人）",39.71973445,140.0998707
20,茨島多目的運動広場,秋田県秋田市茨島1-12-12,,○,,○,,,,,,"2,000人(2㎡あたり1人）",39.70296919,140.1021393
21,総社神社街区公園,秋田県秋田市川尻総社町地内,○,○,,○,○,,,,,"津波8,200人(1㎡あたり1人）
津波以外4,100人（2㎡あたり1人）",39.71095321,140.1001484
22,山王第一街区公園,秋田県秋田市山王3地内,,○,,○,,,,,,"3,500人(2㎡あたり1人）",39.71779056,140.1048154
23,楢山緑地（楢山公園）,秋田県秋田市楢山南中町1-9,,○,,○,,,,,,"3,000人(2㎡あたり1人）",39.70879021,140.1179571
24,拠点第一街区公園,秋田県秋田市東通仲町16,,○,,○,,,,,,"3,750人(2㎡あたり1人）",39.71364114,140.1307546
25,千秋公園,秋田県秋田市千秋公園１,○,,,○,,○,,,,"51,000人(2㎡あたり1人）",39.72195595,140.123942
26,秋操近隣公園,秋田県秋田市泉中央6-3,○,○,,○,,,,,,"9,500人（2㎡あたり1人）",39.7317365,140.1103192
27,秋田県立秋田北高等学校グラウンド,秋田県秋田市千秋中島町8-1,○,○,,○,,,,,,"4,000人（2㎡あたり1人）",39.72746146,140.1222809
28,秋田県立秋田工業高等学校多目的グラウンド,秋田県秋田市保戸野金砂町3-1,○,○,,○,,,,,,"5,475人（2㎡あたり1人）",39.73113833,140.1218516
29,国立大学法人秋田大学陸上競技場,秋田県秋田市手形住吉町6,○,○,,○,,,,,,"14,150人（2㎡あたり1人）",39.7279633,140.1318468
30,国立大学法人秋田大学野球場,秋田県秋田市手形学園町1,○,○,,○,,,,,,"10,185人（2㎡あたり1人）",39.72999311,140.1335098
31,国立大学法人秋田大学附属中学校屋外運動場,秋田県秋田市保戸野原の町7-75,○,○,,○,,,,,,"4,275人（2㎡あたり1人）",39.72619284,140.1159561
32,聖霊女子短期大学付属高等学校グラウンド,秋田県秋田市南通みその町4-82,,○,,○,,,,,,"2,500人（2㎡あたり1人）",39.70970035,140.1230051
33,秋田モータースクール自動車教習場,秋田県秋田市茨島四丁目3-36,,○,,○,,,,,,"9,419人（2㎡あたり1人）",39.69809178,140.1017772
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
