指定緊急避難場所一覧,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NO,施設・場所名,住所,対象とする異常な現象の種類,,,,,,,,指定避難所との重複,想定収容人数,緯度,経度
,,,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,,,,
1,秋田県立新屋高等学校グラウンド（野球場・陸上競技場）,秋田県秋田市豊岩石田坂字鎌塚地内,○,○,,○,○,,,,,"津波21,538人(1㎡あたり1人）
津波以外10,769人（2㎡あたり1人）",39.66836028,140.0960894
2,秋田商業高等学校グラウンド（サッカー場、 硬式野球場、陸上競技場）,秋田県秋田市新屋勝平台1-1,○,○,,○,○,,,,,"津波37,060人(1㎡あたり1人）
津波以外18,530人（2㎡あたり1人）",39.70846111,140.077292
3,勝平小学校グラウンド,秋田県秋田市新屋松美ガ丘北町14-1,○,○,,○,○,,,,,"津波9,970人(1㎡あたり1人）
津波以外4,985人（2㎡あたり1人）",39.70748483,140.0791588
4,勝平中学校グラウンド,秋田県秋田市新屋北浜町13-1,○,○,,○,○,,,,,"津波10,810人(1㎡あたり1人）
津波以外5,405人（2㎡あたり1人）",39.70297553,140.0738924
5,日新小学校グラウンド,秋田県秋田市新屋栗田町24-1,○,○,,○,○,,,,,"津波6,710人(1㎡あたり1人）
津波以外3,355人（2㎡あたり1人）",39.68541326,140.0813841
6,浜田小学校グラウンド,秋田県秋田市浜田字自在山47-2,○,,,○,○,,,,,"津波8,500人(1㎡あたり1人）
津波以外4,252人（2㎡あたり1人）",39.666438,140.0671767
7,下浜小・中学校グラウンド,秋田県秋田市下浜羽川字水垂92,○,○,,○,○,,,,,"津波5,180人(1㎡あたり1人）
津波以外2,590人（2㎡あたり1人）",39.61302085,140.0654994
8,豊岩小学校グラウンド,秋田県秋田市豊岩豊巻字内縄尻90,,,,○,,,,,,"2,125人(2㎡あたり1人）",39.64822129,140.1126465
9,秋田西中学校グラウンド,秋田県秋田市新屋大川町19-75,○,○,,○,,,,,,"10,260人(2㎡あたり1人）",39.68423888,140.0885502
10,"下浜八田地域運動広場
(旧八田小学校ｸﾞﾗｳﾝﾄﾞ)",秋田県秋田市下浜八田字餅田42,○,○,,○,,,,,,"2,030人(2㎡あたり1人）",39.61269308,140.1290323
11,勝平市民グラウンド,秋田県秋田市新屋豊町153-1,○,○,,○,,,,,,"11,770人(2㎡あたり1人）",39.70354226,140.094067
12,松美ヶ丘第三街区公園,秋田県秋田市新屋松美ガ丘南町地内,○,○,,○,○,,,,,"津波3,000人(1㎡あたり1人）
津波以外1,500人（2㎡あたり1人）",39.70037307,140.0814827
