１７７　一般会計の目的別歳出当初予算および決算,,,,,,,,,
,,,,,,,,,
,,,,,,,単位：千円、％,,
科目,令和元年度,,,２,,,３,,
,当初予算額,決算額,構成比,当初予算額,決算額,構成比,当初予算額,,
総　　　　額,"134,500,000 ","132,669,048 ",100.0 ,"139,600,000 ","178,248,867 ",100.0,"136,850,000 ",,
議　 会　 費,"692,376 ","684,006 ",0.5 ,"685,541 ","643,453 ",0.4,"675,792 ",,
総　 務 　費,"17,727,888 ","16,494,881 ",12.4 ,"18,404,576 ","50,290,902 ",28.2,"17,714,359 ",,
民　 生　 費,"50,844,121 ","50,655,227 ",38.2 ,"52,668,117 ","52,243,760 ",29.3,"52,341,543 ",,
衛 　生　 費,"9,317,905 ","9,111,868 ",6.9 ,"9,150,743 ","9,126,529 ",5.1,"9,931,479 ",,
労　 働 　費,"652,448 ","601,758 ",0.4 ,"617,233 ","825,185 ",0.5,"828,662 ",,
農林水産業費,"2,914,237 ","2,755,810 ",2.1 ,"3,318,773 ","2,733,042 ",1.5,"3,350,846 ",,
商　 工　 費,"8,934,971 ","8,984,356 ",6.8 ,"8,730,919 ","11,830,370 ",6.7,"8,307,225 ",,
土　 木　 費,"13,896,246 ","13,795,557 ",10.4 ,"15,291,719 ","17,789,641 ",10.0,"14,672,541 ",,
消　 防　 費,"4,149,998 ","4,073,688 ",3.1 ,"3,951,553 ","3,945,175 ",2.2,"3,814,635 ",,
教　 育　 費,"11,132,398 ","11,005,496 ",8.3 ,"11,652,651 ","13,727,480 ",7.7,"11,994,229 ",,
災害復旧費,"246,838 ","693,040 ",0.5 ,"1,497,765 ","1,641,453 ",0.9,5 ,,
公　 債　 費,"13,890,573 ","13,813,361 ",10.4 ,"13,530,409 ","13,451,877 ",7.5,"13,118,683 ",,
諸 支 出 金,1 , － , － ,1 , － , － ,1 ,,
予　 備　 費,"100,000 ", － , － ,"100,000 ", － , － ,"100,000 ",,
資料　秋田市財政課,,,,,,,,,
