,,４７　事　業　所　数　 ・ ,,,,従　業　者　数　の　推　移,,,,
,,,,,,,,,,
,,,,,,,,,,
（１）平成２６年経済センサス－基礎調査,,,,平成２６年７月１日現在,,（２）平成２８年経済センサス－活動調査,,,,平成２８年６月１日現在
産　　業 （大 分 類）,事業所数,,従業者数,,,産　　業 （大 分 類）,事業所数,,従業者数,
,,構成比,,構成比,,,,構成比,,構成比
総数,"15,764 ",,"148,966 ",,,総数,"14,983 ",,"146,415 ",
農林漁業,63 ,0.4 ,528 ,0.4 ,,農林漁業,65 ,0.4 ,620 ,0.4 
鉱業，採石業，砂利採取業,8 ,0.1 ,158 ,0.1 ,,鉱業，採石業，砂利採取業,5 ,0.0 ,62 ,0.0 
建設業,"1,461 ",9.3 ,"10,812 ",7.3 ,,建設業,"1,421 ",9.5 ,"10,687 ",7.3 
製造業,603 ,3.8 ,"11,771 ",7.9 ,,製造業,539 ,3.6 ,"11,953 ",8.2 
電気・ガス・熱供給・水道業,13 ,0.1 ,761 ,0.5 ,,電気・ガス・熱供給・水道業,18 ,0.1 ,808 ,0.6 
情報通信業,170 ,1.1 ,"2,470 ",1.7 ,,情報通信業,169 ,1.1 ,"2,929 ",2.0 
運輸業，郵便業,355 ,2.3 ,"9,531 ",6.4 ,,運輸業，郵便業,350 ,2.3 ,"9,189 ",6.3 
卸売業，小売業,"4,208 ",26.7 ,"33,564 ",22.5 ,,卸売業，小売業,"4,070 ",27.2 ,"32,956 ",22.5 
金融業，保険業,332 ,2.1 ,"5,296 ",3.6 ,,金融業，保険業,329 ,2.2 ,"5,388 ",3.7 
不動産業，物品賃貸業,825 ,5.2 ,"2,931 ",2.0 ,,不動産業，物品賃貸業,788 ,5.3 ,"2,973 ",2.0 
学術研究，専門・技術サービス業,736 ,4.7 ,"3,856 ",2.6 ,,学術研究，専門・技術サービス業,739 ,4.9 ,"4,169 ",2.8 
宿泊業，飲食サービス業,"1,996 ",12.7 ,"14,083 ",9.5 ,,宿泊業，飲食サービス業,"1,926 ",12.9 ,"13,840 ",9.5 
生活関連サービス業，娯楽業,"1,689 ",10.7 ,"7,439 ",5.0 ,,生活関連サービス業，娯楽業,"1,634 ",10.9 ,"7,146 ",4.9 
教育，学習支援業,537 ,3.4 ,"7,189 ",4.8 ,,教育，学習支援業,525 ,3.5 ,"5,789 ",4.0 
医療，福祉,"1,176 ",7.5 ,"21,551 ",14.5 ,,医療，福祉,"1,194 ",8.0 ,"21,440 ",14.6 
複合サービス事業,82 ,0.5 ,"1,758 ",1.2 ,,複合サービス事業,83 ,0.6 ,"1,568 ",1.1 
サービス業（他に分類されないもの）,"1,148 ",7.3 ,"15,268 ",10.2 ,,サービス業（他に分類されないもの）,"1,128 ",7.5 ,"14,898 ",10.2 
公務（他に分類されるものを除く）,...,...,...,...,,公務（他に分類されるものを除く）,...,...,...,...
資料　経済センサス－基礎調査　（民営事業所）,,,,,,資料　経済センサス－活動調査　（民営事業所）,,,,
　注）総数は、公務を除く、事業内容等不詳を含む。,,,,,,　注）総数は、公務を除く、事業内容等不詳を含む。,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
