１１７　 二酸化硫黄（SO２）濃度の測定結果,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
（１）環境基準との比較,,,,,,,,,令和２年度,,,,,,,,,,,,
項              目,,,山王,土崎,上新城,堀川,将軍野,茨島,仁井田,,,,,,,,,,,,
有  効  測  定  日  数(日),,,363 ,358 ,361 ,364 ,364 ,362 ,300 ,,,,,,,,,,,,
測　　 定 　　時　　間(時間),,,"8,690 ","8,561 ","8,627 ","8,741 ","8,646 ","8,628 ","7,173 ",,,,,,,,,,,,
１時間値が０.１ppm を,,,,,,,,,,,,,,,,,,,,,
          超えた時間数(時間),,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
              その割合(％),,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,
日平均が０.０４ppm を,,,,,,,,,,,,,,,,,,,,,
            超えた日数(日),,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
              その割合(％),,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,
１時 間 値 の 最 高 値(ppm),,,0.004 ,0.014 ,0.007 ,0.016 ,0.007 ,0.021 ,0.004 ,,,,,,,,,,,,
１日平均値の２％除外値(ppm),,,0.001 ,0.001 ,0.001 ,0.005 ,0.001 ,0.007 ,0.001 ,,,,,,,,,,,,
"環境基準の長期的評価
による日平均値が
０.０４ppmを超えた日数(日)",,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
（２）年平均値の推移,,,,,,,各年度間　単位：ppm,,,,,,,,,,,,,,
年度,山王,土崎,上新城,堀川,将軍野,茨島,仁井田,,,,,,,,,,,,,,
平成23年度,0.000 ,0.004 ,0.000 ,0.004 ,0.002 ,0.003 ,0.000 ,,,,,,,,,,,,,,
24,0.000 ,0.004 ,0.000 ,0.005 ,0.002 ,0.002 ,0.000 ,,,,,,,,,,,,,,
25,0.000 ,0.003 ,0.000 ,0.004 ,0.001 ,0.003 ,0.000 ,,,,,,,,,,,,,,
26,0.000 ,0.004 ,0.000 ,0.004 ,0.001 ,0.003 ,0.000 ,,,,,,,,,,,,,,
27,0.000 ,0.003 ,0.000 ,0.004 ,0.000 ,0.002 ,0.001 ,,,,,,,,,,,,,,
28,0.000 ,0.001 ,0.000 ,0.003 ,0.000 ,0.002 ,0.001 ,,,,,,,,,,,,,,
29,0.000 ,0.001 ,0.000 ,0.003 ,0.000 ,0.002 ,0.001 ,,,,,,,,,,,,,,
30,0.000 ,0.001 ,0.000 ,0.003 ,0.000 ,0.002 ,0.000 ,,,,,,,,,,,,,,
令和元年度,0.001 ,0.001 ,0.000 ,0.003 ,0.000 ,0.002 ,0.000 ,,,,,,,,,,,,,,
２,0.000 ,0.000 ,0.000 ,0.003 ,0.000 ,0.002 ,0.000 ,,,,,,,,,,,,,,
資料　秋田市環境保全課,,,,,,,,,,,,,,,,,,,,,
注）　１　紫外線蛍光法による測定（堀川局は溶液導電率法による）。,,,,,,,,,,,,,,,,,,,,,
　　　２　環境基準：１時間値の１日平均値が0.04ppm以下であり、かつ１時間値が0.1ppm以下であること。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
