８　　　人　　　口　　　動　　　態,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
（１）自然動態と社会動態,,,,,,,,,,,,,,,,,,,,,,,,,,,各年間・月間
年月,自　　　　　然　　　　　動　　　　　態,,,,,,,,,,,,,社　　　　　会　　　　　動　　　　　態,,,,,,,,,,,,,"差　引
増　減"
,出　　　生　（人）,,,,,,死　　　亡　（人）,,,,,,増減,転　　　入　（人）,,,,,,転　　　出　（人）,,,,,,増減,
,総数,,男,,女,,総数,,男,,女,,,総 数,,県外,,県内,,総 数,,県外,,県内,,,
平成24年, (5) ,"2,299 ", (4) ,"1,156 ", (1) ,"1,143 ", (2) ,"3,425 ", (2) ,"1,746 ",   ,"1,679 ","△ 1,126", (536) ,"10,177 ", (521) ,"6,557 ", (15) ,"3,620 ", (497) ,"9,823 ", (486) ,"7,502 ", (11) ,"2,321 ",354,△ 772
25 , (1) ,"2,215 ",,"1,109 ", (1) ,"1,106 ", (7) ,"3,393 ", (4) ,"1,676 ", (3) ,"1,717 ","△ 1,178", (596) ,"9,836 ", (581) ,"6,399 ", (15) ,"3,437 ", (548) ,"10,313 ", (541) ,"7,915 ", (7) ,"2,398 ",△ 477,"△ 1,655"
26 , (3) ,"2,310 ", (3) ,"1,229 ",   ,"1,081 ", (5) ,"3,577 ", (3) ,"1,761 ", (2) ,"1,816 ","△ 1,267", (559) ,"9,661 ", (548) ,"6,259 ", (11) ,"3,402 ", (555) ,"10,003 ", (549) ,"7,614 ", (6) ,"2,389 ",△ 342,"△ 1,609"
27 , (7) ,"2,142 ", (4) ,"1,122 ", (3) ,"1,020 ", (5) ,"3,522 ",,"1,826 ", (5) ,"1,696 ","△ 1,380", (637) ,"9,666 ", (623) ,"6,277 ", (14) ,"3,389 ", (593) ,"10,276 ", (589) ,"7,805 ", (4) ,"2,471 ",△ 610,"△ 1,990"
28 , (7) ,"2,095 ", (5) ,"1,065 ", (5) ,"1,030 ", (2) ,"3,614 ", (1) ,"1,789 ", (1) ,"1,825 ","△ 1,519", (580) ,"9,358 ", (575) ,"6,095 ", (5) ,"3,263 ", (655) ,"10,078 ", (646) ,"7,829 ", (9) ,"2,249 ",△ 720,"△ 2,239"
29 , (8) ,"2,007 ", (6) ,993 , (2) ,"1,014 ", (1) ,"3,737 ", (1) ,"1,885 ",,"1,852 ","△ 1,730", (582) ,"8,998 ", (573) ,"5,821 ", (9) ,"3,177 ", (542) ,"9,778 ", (530) ,"7,403 ", (12) ,"2,375 ",△ 780,"△ 2,510"
30 , (5) ,"1,916 ", (4) ,"1,002 ", (1) ,914 , (2) ,"3,586 ", (1) ,"1,793 ", (1) ,"1,793 ","△ 1,670", (576) ,"8,615 ", (569) ,"5,515 ", (7) ,"3,100 ", (579) ,"9,639 ", (567) ,"7,458 ", (12) ,"2,181 ","△ 1,024","△ 2,694"
令和元年, (9) ,"1,803 ", (8) ,915 , (1) ,888 , (2) ,"3,707 ",   ,"1,800 ", (2) ,"1,907 ","△ 1,904", (703) ,"9,118 ", (695) ,"5,880 ", (8) ,"3,238 ", (637) ,"9,529 ", (630) ,"7,380 ", (7) ,"2,149 ",△ 411,"△ 2,315"
２, (4) ,"1,767 ", (3) ,923 , (1) ,844 , (3) ,"3,831 ", (1) ,"1,938 ", (2) ,"1,893 ","△ 2,064", (305) ,"8,534 ", (292) ,"5,473 ", (13) ,"3,061 ", (376) ,"8,458 ", (361) ,"6,374 ", (15) ,"2,084 ",76,"△ 1,988"
３, (4) ,"1,746 ", (1) ,887 , (3) ,859 , (6) ,"3,989 ", (3) ,"1,958 ", (3) ,"2,031 ","△ 2,243", (248) ,"8,428 ", (238) ,"5,372 ", (10) ,"3,056 ", (241) ,"8,401 ", (234) ,"6,224 ", (7) ,"2,177 ",27,"△ 2,216"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
１月, (3) ,128 , (1) ,69 , (2) ,59 , (1) ,387 , (1) ,190 ,,197 ,△ 259, (27) ,338 , (27) ,234 ,,104 , (15) ,379 , (14) ,252 , (1) ,127 ,△ 41,△ 300
２月,   ,107 ,,55 ,,52 ,   ,320 ,,154 ,,166 ,△ 213, (18) ,399 , (18) ,243 ,,156 , (25) ,539 , (25) ,351 ,,188 ,△ 140,△ 353
３月,   ,141 ,,67 ,,74 , (2) ,365 , (1) ,177 , (1) ,188 ,△ 224, (34) ,"2,254 ", (34) ,"1,246 ",,"1,008 ", (51) ,"3,009 ", (50) ,"2,337 ", (1) ,672 ,△ 755,△ 979
４月,   ,159 ,,77 ,,82 ,   ,314 ,,156 ,,158 ,△ 155, (34) ,"1,583 ", (31) ,"1,057 ", (3) ,526 , (31) ,882 , (30) ,666 , (1) ,216 ,701,546
５月,   ,148 ,,76 ,,72 ,   ,308 ,,145 ,,163 ,△ 160, (6) ,463 , (4) ,316 , (2) ,147 , (11) ,410 , (11) ,293 ,,117 ,53,△ 107
６月,   ,142 ,,75 ,,67 , (1) ,270 , (1) ,149 ,,121 ,△ 128, (8) ,442 , (8) ,286 ,,156 , (11) ,513 , (11) ,402 ,,111 ,△ 71,△ 199
７月,   ,161 ,,84 ,,77 , (1) ,317 ,,154 , (1) ,163 ,△ 156, (9) ,657 , (9) ,456 ,,201 , (15) ,487 , (15) ,342 ,,145 ,170,14
８月,   ,141 ,,71 ,,70 ,   ,317 ,,161 ,,156 ,△ 176, (8) ,436 , (7) ,306 , (1) ,130 , (14) ,402 , (13) ,284 , (1) ,118 ,34,△ 142
９月, (1) ,156 ,,74 , (1) ,82 ,   ,359 ,,165 ,,194 ,△ 203, (16) ,572 , (16) ,405 ,,167 , (23) ,541 , (23) ,404 ,,137 ,31,△ 172
10月,   ,150 ,,67 ,,83 ,   ,330 ,,151 ,,179 ,△ 180, (28) ,473 , (27) ,310 , (1) ,163 , (10) ,445 , (9) ,336 , (1) ,109 ,28,△ 152
11月,   ,165 ,,99 ,,66 ,   ,353 ,,162 ,,191 ,△ 188, (42) ,419 , (40) ,270 , (2) ,149 , (18) ,430 , (16) ,298 , (2) ,132 ,△ 11,△ 199
12月,   ,148 ,,73 ,,75 , (1) ,349 ,,194 , (1) ,155 ,△ 201, (18) ,392 , (17) ,243 , (1) ,149 , (17) ,364 , (17) ,259 ,,105 ,28,△ 173
　秋田市市民課の資料に基づき、秋田市情報統計課が集計したものである。,,,,,,,,,,,,,,,,,,,,,,,,,,,
  注）　差引増減数は、各年の住民基本台帳人口と外国人登録人口の移動状況等による届け出を基に集計したものであるため、第７表（前頁）の対前年人口増減数とは一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　（　）は外国人の内数,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
（２）婚姻と離婚件数,,,,,,（３）秋田県内における平均初婚年齢,,,,,,（４）出生・死亡に関する出現率,,,,,,,,,,,,,,,
,,,,各年間　,,,,,,各年間　単位：歳　,,,①,,③,,①,,②,,②,,②,,,,
