５　住　居　表　示　地　区　の　面　積,,,,,,,,
,,,,,,,,
,,,,,,,令和３年１２月３１日現在,
地区,町　　　　　丁　　　　　名,町数,面積,地区,町　　　　　丁　　　　　名,町数,面積,
,,,（K㎡）,,,,（K㎡）,
総数,,375 ,52.313 ,仁井田,福島一丁目、福島二丁目、二ツ屋一丁目、二ツ屋二丁目、,21 ,2.364 ,
大町,一丁目、二丁目、三丁目、四丁目、五丁目、六丁目,6 ,0.552 ,,緑町、潟中町、蕗見町、栄町、小中島、新田一丁目、,,,
旭北,栄町、寺町、錦町,3 ,0.296 ,,新田二丁目、新田三丁目、本町一丁目、本町二丁目、,,,
旭南,一丁目、二丁目、三丁目,3 ,0.395 ,,本町三丁目、本町四丁目、本町五丁目、本町六丁目、,,,
川元,松丘町、山下町、開和町、むつみ町、小川町,5 ,0.377 ,,目長田一丁目、目長田二丁目、目長田三丁目,,,
川尻,総社町、上野町、新川町、みよし町、若葉町、御休町、大川町,7 ,0.857 ,御野場,一丁目、二丁目、三丁目、四丁目、五丁目、六丁目、七丁目、,8 ,0.540 ,
山王,一丁目、二丁目、三丁目、四丁目、五丁目、六丁目、七丁目、,12 ,1.268 ,,八丁目,,,
,新町、中島町、沼田町、中園町、臨海町,,　,御野場新町,一丁目、二丁目、三丁目、四丁目、五丁目,5 ,0.560 ,
高陽,幸町、青柳町,2 ,0.285 ,御所野,地蔵田一丁目、地蔵田二丁目、地蔵田三丁目、地蔵田四丁目、,24 ,3.590 ,
保戸野,通町、鉄砲町、千代田町、原の町、すわ町、中町、八丁、桜町、,9 ,1.165 ,,地蔵田五丁目、元町一丁目、元町二丁目、元町三丁目、元町四丁目,,,
,金砂町,,,,元町五丁目、元町六丁目、元町七丁目、下堤一丁目、下堤二丁目,,,
千秋,明徳町、久保田町、城下町、公園、矢留町、中島町、北の丸,7 ,0.935 ,,下堤三丁目、下堤四丁目、下堤五丁目、湯本一丁目、湯本二丁目,,,
手形,新栄町、山崎町、学園町、住吉町、休下町、からみでん、田中,7 ,0.739 ,,湯本三丁目、湯本四丁目、湯本五丁目、湯本六丁目、堤台一丁目,,,
手形山,東町、西町、南町、北町、中町,5 ,0.328 ,寺内,油田一丁目、油田二丁目、油田三丁目、堂ノ沢一丁目、堂ノ沢二丁目,19 ,2.250 ,
東通,仲町、観音前、館ノ越、明田、一丁目、二丁目、三丁目、,12 ,0.938 ,,堂ノ沢三丁目、蛭根一丁目、蛭根二丁目、蛭根三丁目、高野、鵜ノ木、,,,
,四丁目、五丁目、六丁目、七丁目、八丁目,,,,大畑、焼山、後城、大小路、神屋敷,,,
中通,一丁目、二丁目、三丁目、四丁目、五丁目、六丁目、七丁目,7 ,0.838 ,,児桜一丁目、児桜二丁目、児桜三丁目,,,
南通,亀の町、みその町、築地、宮田,4 ,0.602 ,外旭川,八幡田一丁目、八幡田二丁目、八柳一丁目、八柳二丁目、,5 ,0.510 ,
楢山,登町、南中町、佐竹町、本町、大元町、城南町、太田町、,13 ,1.838 ,,八柳三丁目,,,
,金照町、共和町、石塚町、川口境、愛宕下、城南新町,,,土崎港中央,一丁目、二丁目、三丁目、四丁目、五丁目、六丁目、七丁目,7 ,1.003 ,
牛島東,一丁目、二丁目、三丁目、四丁目、五丁目、六丁目、七丁目,7 ,0.955 ,土崎港東,一丁目、二丁目、三丁目、四丁目,4 ,0.658 ,
牛島西,一丁目、二丁目、三丁目、四丁目,4 ,0.792 ,土崎港西,一丁目、二丁目、三丁目、四丁目、五丁目,5 ,0.748 ,
牛島南,一丁目、二丁目,2 ,0.183 ,土崎港南,一丁目、二丁目、三丁目,3 ,0.623 ,
卸町,一丁目、二丁目、三丁目、四丁目、五丁目,5 ,0.573 ,土崎港北,一丁目、二丁目、三丁目、四丁目、五丁目、六丁目、七丁目,7 ,1.232 ,
大住,一丁目、二丁目、三丁目、四丁目,4 ,0.339 ,将軍野東,一丁目、二丁目、三丁目、四丁目,4 ,0.649 ,
大　住　南,一丁目、二丁目、三丁目,3 ,0.178 ,将軍野南,一丁目、二丁目、三丁目、四丁目、五丁目,5 ,0.737 ,
茨島,一丁目、二丁目、三丁目、四丁目、五丁目、六丁目、七丁目,7 ,1.887 ,将軍野,堰越、青山町、桂町、向山,4 ,0.451 ,
泉,東町、馬場、一ノ坪、三嶽根、釜ノ町、菅野一丁目、菅野二丁目,20 ,2.177 ,港北,新町、松野町,2 ,0.229 ,
,北一丁目、北二丁目、北三丁目、北四丁目、中央一丁目,,,飯島,緑丘町、美砂町、松根東町、松根西町、文京町、長野中町、長野本町、,27 ,2.927 ,
,中央二丁目、中央三丁目、中央四丁目、中央五丁目、中央六丁目,,,,長野上町、道東一丁目、道東二丁目、道東三丁目、川端一丁目、,,,
,南一丁目、南二丁目、南三丁目,,,,川端二丁目、川端三丁目、穀丁、鼠田一丁目、鼠田二丁目、鼠田三丁目、,,,
旭川,清澄町、新藤田東町、新藤田西町、南町,4 ,0.415 ,,鼠田四丁目、飯田一丁目、飯田二丁目、西袋一丁目、西袋二丁目、,,,
八橋,イサノ一丁目、イサノ二丁目、大畑一丁目、大畑二丁目、鯲沼町、,20 ,2.099 ,,西袋三丁目、新町一丁目、新町二丁目、新町三丁目,,,
,大沼町、田五郎一丁目、田五郎二丁目、三和町、新川向、,,,新屋,栗田町、元町、大川町、日吉町、表町、扇町、比内町、鳥木町、,15 ,3.685 ,
,本町一丁目、本町二丁目、本町三丁目、本町四丁目、,,,,沖田町、前野町、田尻沢西町、田尻沢東町、田尻沢中町、,,,
,本町五丁目、本町六丁目、南一丁目、南二丁目、大道東、運動公園,,,,渋谷町、高美町,,,
横森,一丁目、二丁目、三丁目、四丁目、五丁目,5 ,0.751 ,勝平,船場町、勝平町、割山町、松美町、寿町、南浜町、豊町、天秤野、,15 ,2.955 ,
桜,一丁目、二丁目、三丁目、四丁目,4 ,0.484 ,,朝日町、松美ガ丘東町、松美ガ丘南町、松美ガ丘北町、勝平台、,,,
桜台,一丁目、二丁目、三丁目,3 ,0.404 ,,下川原町、北浜町,,,
南ヶ丘,一丁目、二丁目、三丁目,3 ,0.477 ,向浜,一丁目、二丁目,2 ,3.475 ,
,,,,,,,,
資料　秋田市生活総務課,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
