１０　　県　内　市　町　村　別　転　入　・　転　出　人　口　,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,令和３年間　単位：人 
市　町　村　名,転　　入　　人　　口,,,,,,転　　出　　人　　口,,,,,,差　　　　引　　　　計,,,,,
,総　　数,,男,,女,,総　　数,,男,,女,,総　　数,,男,,女,
総数, (10) ,"3,056", (5) ,"1,555", (5) ,"1,501", (7) ,"2,177", (3) ,"1,202", (4) ,975, (3) ,879, (2) ,353, (1) ,526
能代市,   ,283 ,,146 ,,137 , (1) ,167 , (1) ,97 ,,70 , (△1) ,116, (△1) ,49,   ,67
横手市,   ,321 ,,154 ,,167 ,   ,252 ,,143 ,,109 ,   ,69,   ,11,   ,58
大館市,   ,228 ,,125 ,,103 ,   ,232 ,,145 ,,87 ,   ,△ 4,   ,△ 20,   ,16
男鹿市,   ,177 ,,85 ,,92 , (1) ,108 , (1) ,58 ,,50 , (△1) ,69, (△1) ,27,   ,42
湯沢市, (2) ,178 , (1) ,102 , (1) ,76 ,   ,110 ,,65 ,,45 , (2) ,68, (1) ,37, (1) ,31
鹿角市,   ,94 ,,57 ,,37 ,   ,61 ,,37 ,,24 ,   ,33,   ,20,   ,13
由利本荘市, (2) ,417 , (1) ,212 , (1) ,205 , (1) ,251 ,,138 , (1) ,113 , (1) ,166, (1) ,74,   ,92
潟上市,   ,250 ,,117 ,,133 ,   ,329 ,,153 ,,176 ,   ,△ 79,   ,△ 36,   ,△ 43
大仙市, (4) ,429 , (2) ,213 , (2) ,216 ,   ,244 ,,133 ,,111 , (4) ,185, (2) ,80, (2) ,105
北秋田市,   ,128 ,,70 ,,58 ,   ,99 ,,52 ,,47 ,   ,29,   ,18,   ,11
にかほ市, (1) ,73 , (1) ,42 ,,31 , (2) ,64 , (1) ,37 , (1) ,27 , (△1) ,9,   ,5, (△1) ,4
仙北市,   ,96 ,,53 ,,43 ,   ,51 ,,34 ,,17 ,   ,45,   ,19,   ,26
小坂町,   ,9 ,,5 ,,4 ,   ,9 ,,4 ,,5 ,   ,0,   ,1,   ,△ 1
上小阿仁村,   ,8 ,,3 ,,5 ,   ,5 ,,3 ,,2 ,   ,3,   ,0,   ,3
藤里町,   ,7 ,,3 ,,4 ,   ,5 ,,4 ,,1 ,   ,2,   ,△ 1,   ,3
三種町, (1) ,57 ,,26 , (1) ,31 ,   ,29 ,,14 ,,15 , (1) ,28,   ,12, (1) ,16
八峰町,   ,20 ,,9 ,,11 ,   ,10 ,,5 ,,5 ,   ,10,   ,4,   ,6
五城目町,   ,76 ,,48 ,,28 , (1) ,48 ,,30 , (1) ,18 , (△1) ,28,   ,18, (△1) ,10
八郎潟町,   ,43 ,,21 ,,22 ,   ,25 ,,12 ,,13 ,   ,18,   ,9,   ,9
井川町,   ,32 ,,12 ,,20 ,   ,20 ,,8 ,,12 ,   ,12,   ,4,   ,8
大潟村,   ,29 ,,10 ,,19 ,   ,16 ,,9 ,,7 ,   ,13,   ,1,   ,12
美郷町,   ,64 ,,25 ,,39 , (1) ,21 ,,10 , (1) ,11 , (△1) ,43,   ,15, (△1) ,28
羽後町,   ,31 ,,13 ,,18 ,   ,21 ,,11 ,,10 ,   ,10,   ,2,   ,8
東成瀬村,   ,6 ,,4 ,,2 ,   , - ,, - ,, - ,   ,6,   ,4,   ,2
秋田市市民課の資料に基づき、秋田市情報統計課が集計したものである。,,,,,,,,,,,,,,,,,,
注）（ ）内は外国人で再掲,,,,,,,,,,,,,,,,,,
