９８　建築の時期別自動火災感知設備の状況,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,平成３０年１０月１日現在,,,
建築の時期,総数,自動火災感知設備がある,,,,,,自動火災感知設備はない,,,
,,総数,寝室,台所,階段,廊下,その他,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
総　　　　　　数,"127,740 ","44,690 ","25,350 ","28,390 ","7,900 ","5,750 ","4,940 ","81,380 ",,,
昭和35年以前,"4,830 ","1,120 ",480 ,620 ,90 ,180 ,90 ,"3,710 ",,,
昭和36年 ～ 　45年,"9,900 ","3,070 ","1,670 ","1,960 ",380 ,350 ,330 ,"6,830 ",,,
昭和46年 ～ 　55年,"24,080 ","6,530 ","3,030 ","4,060 ","1,520 ",810 ,470 ,"17,550 ",,,
昭和56年～平成２年,"26,330 ","9,150 ","5,330 ","5,940 ","1,840 ",990 ,"1,210 ","17,180 ",,,
平成３年 ～  ７年,"17,080 ","5,730 ","3,040 ","3,700 ",730 ,510 ,500 ,"11,350 ",,,
平成８年 ～　 12年,"15,860 ","4,830 ","2,420 ","3,420 ",750 ,510 ,600 ,"11,030 ",,,
平成13年 ～　 17年,"16,810 ","7,320 ","3,740 ","5,240 ","1,090 ","1,420 ",800 ,"9,490 ",,,
平成18年～　　20年,"6,220 ","4,920 ","4,080 ","2,990 ","1,480 ",990 ,770 ,"1,300 ",,,
平成21年～30年10月, － , － , － , － , － , － , － , － ,,,
資料　総務省統計局「住宅・土地統計調査報告」,,,,,,,,,,,
注）　１　標本調査であるため、個々の数値と総数は一致しない場合がある。,,,,,,,,,,,
　　　２　平成25年調査以降は調査項目から除外されている。,,,,,,,,,,,
