８８　構造別建築物の件数・床面積・工事費（着工建築物）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,各年度間,
年度,総数,,,木造,,,鉄骨鉄筋コンクリート造,,,鉄筋コンクリート造,,,
,件数,床面積合計,工事費予定額,件数,床面積合計,工事費予定額,件数,床面積合計,工事費予定額,件数,床面積合計,工事費予定額,
,（棟）,（㎡）,（万円）,（棟）,（㎡）,（万円）,（棟）,（㎡）,（万円）,（棟）,（㎡）,（万円）,
平成23年度," 1,785 "," 294,956 "," 4,652,273 "," 1,431 "," 173,124 "," 2,537,399 ", － , － , － , 21 ," 33,806 "," 755,803 ",
24 ," 1,808 "," 255,865 "," 3,863,542 "," 1,416 "," 167,008 "," 2,503,862 ", 1 , 52 , X , 12 ," 5,431 ", X ,
25 ," 2,085 "," 351,139 "," 6,458,640 "," 1,544 "," 186,280 "," 2,860,683 ", 1 , 20 , X , 20 ," 56,083 "," 1,665,377 ",
26 ," 1,710 "," 261,445 "," 4,353,886 "," 1,338 "," 160,991 "," 2,583,172 ", 1 , 132 , 48 , 8 ," 5,633 "," 166,094 ",
27 ," 1,774 "," 258,879 "," 4,617,843 "," 1,388 "," 163,314 "," 2,624,263 ", 1 , 48 , X , 11 ," 16,817 "," 436,584 ",
28 ," 1,776 "," 296,804 "," 5,649,542 "," 1,371 "," 170,284 "," 2,744,486 ", － , － , － , 16 ," 28,484 ", X ,
29 ," 1,750 "," 248,183 "," 4,515,697 "," 1,360 "," 173,075 "," 2,963,483 ", － , － , － , 4 ," 1,080 "," 34,700 ",
30 ," 1,824 "," 295,222 "," 5,435,824 "," 1,466 "," 177,990 "," 2,998,756 ", － , － , － , 6 ," 29,564 "," 793,050 ",
令和元年度," 1,670 "," 276,015 "," 6,624,883 "," 1,395 "," 163,856 "," 2,885,800 ", 1 ," 25,058 ", X , 4 ," 6,078 "," 185,860 ",
２," 1,575 "," 253,628 "," 4,772,444 "," 1,274 "," 162,926 "," 2,756,014 ", 2 ," 1,574 "," 53,300 ", 9 ," 14,041 "," 415,705 ",
,,,,,,,,,,,,,
年度,鉄骨造,,,コンクリートブロック造,,,その他,,,,,,
,件数,床面積合計,工事費予定額,件数,床面積合計,工事費予定額,件数,床面積合計,工事費予定額,,,,
,（棟）,（㎡）,（万円）,（棟）,（㎡）,（万円）,（棟）,（㎡）,（万円）,,,,
平成23年度, 297 ," 86,873 "," 1,348,815 ", 3 , 103 ," 1,320 ", 33 ," 1,050 "," 8,936 ",,,,
24 , 379 ," 83,374 "," 1,209,710 ", － , － , － , － , － , － ,,,,
25 , 519 ," 108,727 "," 1,931,527 ", 1 , 29 , X , － , － , － ,,,,
26 , 361 ," 94,613 "," 1,601,650 ", 2 , 76 , X , － , － , － ,,,,
27 , 371 ," 78,548 "," 1,553,956 ", 3 , 152 , X , － , － , － ,,,,
28 , 388 ," 98,017 "," 1,700,556 ", 1 , 19 , X , － , － , － ,,,,
29 , 309 ," 71,832 "," 1,508,849 ", － , － , － , 77 ," 2,196 "," 8,665 ",,,,
30 , 258 ," 84,801 "," 1,629,470 ", 1 , 56 , X , 93 ," 2,811 ", X ,,,,
令和元年度, 196 ," 78,941 "," 1,492,900 ", 1 , 56 , X , 73 ," 2,026 "," 8,066 ",,,,
２, 202 ," 72,188 "," 1,526,634 ", － , － , － , 88 ," 2,899 "," 20,791 ",,,,
資料　秋田市建築指導課,,,,,,,,,,,,,
