５０　農家数の推移（秋田市・秋田県）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,各年２月１日現在 ,,
年次,"農　家　数
（戸）",,対前回増減状況,,,,"農　家　率
（％）",,,
,,,増 減 数（戸),,増 減 率（％),,,,,
,秋田市,秋田県,秋田市,秋田県,秋田市,秋田県,秋田市,秋田県,,
昭和50年,"6,369","114,610",△ 509,"△ 4,161",△ 7.4,△ 3.5,8.1,35.7,,
55,"5,932","110,280",△ 437,"△ 4,330",△ 6.9,△ 3.8,6.8,32.8,,
60,"5,453","104,351",△ 479,"△ 5,929",△ 8.1,△ 5.4,5.7,29.7,,
平成２年,"4,939","96,474",△ 514,"△ 7,877",△ 9.4,△ 7.5,4.8,26.9,,
７,"4,341","88,513",△ 598,"△ 7,961",△ 12.1,△ 8.3,3.8,23.7,,
12,"3,203","70,042","△ 1,138","△ 18,471",△ 26.2,△ 20.9,2.6,18.0,,
17,"4,303","60,325","1,100","△ 9,717",34.3,△ 13.9,3.2,15.1,,
22,"3,495","47,298",△ 808,"△ 13,027",△ 18.8,△ 21.6,2.6,11.9,,
27,"2,676","37,810",△ 819,"△ 9,488",△ 23.4,△ 20.1,2.0,9.6,,
令和２年,"1,941","27,780",△ 735,"△ 10,030",△ 27.5,△ 26.5,1.4,7.1,,
資料　農林水産省「世界農林業ｾﾝｻｽ・農業ｾﾝｻｽ」、秋田県「秋田県統計書」,,,,,,,,,,
　注）１　対象は、平成７年までは自給的農家を含めた総農家とし、平成12年から販売農家のみを対象とする。,,,,,,,,,,
　　　２　農家率とは、全世帯に占める農家数の割合。,,,,,,,,,,
,,,,,,,,,,
