５３　農 産 物 販 売 金 額 規 模 別 農 家 （ 経 営 体 ） 数,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,各年２月１日現在　単位：平成２７年まで戸、令和２年は経営体
年次,"
農家数
（経営体数）
","販売
なし","10万円
未満",10万円,50万円,100万円,200万円,300万円,500万円,"700万円
以上"
,,,,以上,以上,以上,以上,以上,以上,
,,,,50万円,100万円,200万円,300万円,500万円,700万円,
,,,,未満,未満,未満,未満,未満,未満,
昭和50年,"6,369 ",772 ,"3,103 ",,,"1,575 ",678 ,211 ,14 ,16 
55,"5,932 ",572 ,261 ,"1,251 ","1,093 ","1,361 ",735 ,520 ,94 ,45 
60,"5,453 ",473 ,223 ,"1,091 ",954 ,"1,253 ",708 ,573 ,130 ,48 
平成２年,"4,939 ",484 ,"1,209 ",,865 ,"1,247 ",573 ,426 ,82 ,53 
７,"4,341 ",415 ,861 ,,768 ,931 ,619 ,515 ,145 ,87 
12,"3,203 ",57 ,755 ,,820 ,846 ,398 ,216 ,55 ,56 
17,"4,303 ",279 ,"1,001 ",,"1,051 ","1,142 ",389 ,270 ,81 ,90 
22,"3,495 ",135 ,788 ,,951 ,891 ,332 ,243 ,79 ,76 
27,"2,676 ",72 ,655 ,,715 ,655 ,251 ,186 ,75 ,67 
令和２年,"1,940 ",21 ,346 ,,451 ,722 ,,217 ,183 ,
資料　農林水産省「世界農林業ｾﾝｻｽ・農業ｾﾝｻｽ」、秋田県「秋田県統計書」,,,,,,,,,,
　注）１　対象は、平成７年までは自給的農家を含めた総農家、平成12年から平成27年までは販売農家のみ、令和２年からは個人経営体を対象とする。,,,,,,,,,,
      ２　平成17年から経営体の概念が変わったため、平成12年までの「農家数」と捉え方は異なる。,,,,,,,,,,
　　　３　令和２年から調査対象区分が「個人経営体」に変更されたため、平成17年から平成27年までの集計値と対象の捉え方が異なる。,,,,,,,,,,
　　　　,,,,,,,,,,
