１４８　保　育　所　の　概　況 （Ⅰ）,,,,,,,,,,,,,
,,,,,,,,,,,,,
（１）保育所数,,,,,,,,,各年４月１日現在,,,,
年次,総数,認可保育所,,,"認定
こども園","小規模
保育事業","事業所内
保育事業","認可外
保育施設","へき地
保育所",,,,
,,総数,公立,私立,,,,,,,,,
平成24年,88 ,57 ,13 ,44 ,－ ,－ ,－ ,28 ,3 ,,,,
25,91 ,57 ,12 ,45 ,－ ,－ ,－ ,31 ,3 ,,,,
26,90 ,57 ,9 ,48 ,－ ,－ ,－ ,30 ,3 ,,,,
27,91 ,48 ,9 ,39 ,15 ,8 ,3 ,14 ,3 ,,,,
28,100 ,55 ,6 ,49 ,18 ,11 ,5 ,8 ,3 ,,,,
29,103 ,55 ,6 ,49 ,20 ,12 ,5 ,8 ,3 ,,,,
30,108 ,53 ,6 ,47 ,24 ,15 ,5 ,8 ,3 ,,,,
31,109 ,52 ,6 ,46 ,27 ,16 ,4 ,7 ,3 ,,,,
令和２年,114 ,53 ,6 ,47 ,29 ,18 ,4 ,8 ,2 ,,,,
３,112 ,52 ,6 ,46 ,31 ,16 ,4 ,7 ,2 ,,,,
,,,,,,,,,,,,,
（２）入所児童数,,,,,,,,,単位：人,,,,
年次,総数,認可保育所,,,"認定
こども園","小規模
保育事業","事業所内
保育事業","認可外
保育施設","へき地
保育所",,,,
,,総数,公立,私立,,,,,,,,,
平成24年,"5,664 ","4,876 ",992 ,"3,884 ",－ ,－ ,－ ,721 ,67 ,,,,
25,"5,801 ","5,001 ",910 ,"4,091 ",－ ,－ ,－ ,741 ,59 ,,,,
26,"5,906 ","5,092 ",735 ,"4,357 ",－ ,－ ,－ ,744 ,70 ,,,,
27,"6,239 ","4,640 ",719 ,"3,921 ","1,103 ",110 ,35 ,297 ,54 ,,,,
28,"6,543 ","4,848 ",404 ,"4,444 ","1,325 ",139 ,32 ,146 ,53 ,,,,
29,"6,736 ","4,777 ",396 ,"4,381 ","1,617 ",127 ,34 ,141 ,40 ,,,,
30,"6,877 ","4,314 ",380 ,"3,934 ","2,221 ",135 ,29 ,136 ,42 ,,,,
31,"6,965 ","4,195 ",362 ,"3,833 ","2,454 ",153 ,20 ,98 ,45 ,,,,
令和２年,"7,072 ","4,135 ",328 ,"3,807 ","2,591 ",191 ,26 ,92 ,37 ,,,,
３,"7,061 ","3,970 ",285 ,"3,685 ","2,767 ",175 ,30 ,88 ,31 ,,,,
資料　秋田市子ども育成課,,,,,,,,,,,,,
注）　認定こども園は保育利用のみ、事業所内保育事業は地域枠の人数である。,,,,,,,,,,,,,
