７７　信用保証状況,,,,
,,,,
,,,,各年度間、年度末現在
年度,保証承諾,,保証貸付現在額,
,件数,金額,件数,金額
,,（万円）,,（万円）
平成23年度,"2,551 ","2,979,006 ","8,742 ","9,110,219 "
24,"1,990 ","2,162,582 ","8,772 ","8,448,771 "
25,"2,116 ","2,529,354 ","8,840 ","8,147,280 "
26,"2,277 ","2,252,535 ","8,852 ","7,742,632 "
27,"2,242 ","2,491,162 ","8,818 ","7,508,746 "
28,"2,347 ","2,328,913 ","8,531 ","6,989,516 "
29,"2,261 ","2,263,857 ","8,408 ","6,494,441 "
30,"2,435 ","2,131,318 ","8,088 ","6,017,296 "
令和元年度,"2,324 ","2,316,864 ","7,835 ","5,826,752 "
２,"7,056 ","10,045,416 ","10,424 ","11,851,675 "
資料　秋田県信用保証協会,,,,
