１４７　児童扶養手当・特別児童扶養手当・児童手当の状況　,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,受給者－各年度末現在、単位：人、受給額－各年度間、単位：千円,,,,,
年度,"児童扶養
手当受給者",特別児童扶養手当受給者,,,,,,,,,,,,,,,,,,,,,
,,総数,１級,２級,,,,,,,,,,,,,,,,,,,
平成23年度,"3,081 ",694 ,314 ,380 ,,,,,,,,,,,,,,,,,,,
24,"3,032 ",714 ,315 ,399 ,,,,,,,,,,,,,,,,,,,
25,"2,993 ",727 ,313 ,414 ,,,,,,,,,,,,,,,,,,,
26,"2,996 ",762 ,308 ,454 ,,,,,,,,,,,,,,,,,,,
27,"2,933 ",763 ,295 ,468 ,,,,,,,,,,,,,,,,,,,
28,"2,872 ",770 ,280 ,490 ,,,,,,,,,,,,,,,,,,,
29,"2,769 ",790 ,267 ,523 ,,,,,,,,,,,,,,,,,,,
30,"2,690 ",804 ,249 ,555 ,,,,,,,,,,,,,,,,,,,
令和元年度,"2,548 ",823 ,248 ,575 ,,,,,,,,,,,,,,,,,,,
２,"2,470 ",824 ,244 ,580 ,,,,,,,,,,,,,,,,,,,
注）　児童扶養手当は、平成22年度より母子世帯に加え父子世帯にも支給対象が拡大された。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
年度,児　　　　　　童　　　　　　手　　　　　　当　　　　,,,,,,,,,,,,,,,,,,,,,,
,総数,,,０～３歳未満,,,,,,,,,３歳～義務教育就学前,,,,,,,,,,
,,,,被用者,,,非被用者 ,,,特例給付,,,被用者就学前特例給付,,,非被用者就学前特例給付,,,,,,,
,受給者,対象児童,受給額,受給者,対象児童,受給額,受給者,対象児童,受給額,受給者,対象児童,受給額,受給者,対象児童,受給額,受給者,対象児童,受給額,,,,,
平成21年度,"17,656 ","304,532 ","1,979,430 ","4,472 ","57,453 ","574,530 ","1,015 ","12,799 ","127,990 ",88 ,"1,183 ","11,820 ","11,485 ","186,360 ","1,007,575 ","3,012 ","46,737 ","257,515 ",,,,,
注）　１　児童手当の対象児童は年間の延べ人員である。平成12年度から支給者枠が３歳から義務教育就学前者に拡大された。,,,,,,,,,,,,,,,,,,,,,,,
　　　２　平成16年度から支給者枠が義務教育就学前者から小学校第３学年終了前に拡大された。,,,,,,,,,,,,,,,,,,,,,,,
　　　３　平成18年度から支給者枠が小学校第３学年終了前から小学校最終学年終了前に拡大された。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
年　度,子　　ど　　も　　手　　当,,,,,,,,,,,,,,,,,,,,,,
,総数,,,０～３歳未満,,,,３歳～小学生,,,,,,,,中学生,,,,,,,
,,,,被用者,,非被用者,,被用者,,,,非被用者,,,,,,,,,,,
,,,,,,,,第１・２子,,第３子以降,,第１・２子,,第３子以降,,,,,,,,,
