５４　経 営 耕 地 面 積 と 経 営 耕 地 種 別 農 家 （ 経 営 体 ） 数 の 推 移 　,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,各年２月１日現在
年次,経営耕地面積（ha）,,,,,,,,,,,,,経営耕地種別農家（経営体）数,,
,総数,田,,,,樹園地,,,畑,,,,,,,
,,計,"稲を
作った田",過去１年間稲以外の作物を作った田,過去１年間全く作付けしなかった田,計,果樹園,その他,計,普通畑,飼料畑,"牧草
専用地",過去１年間全く作付けしなかった畑,"田
（戸）
（経営体）","樹園地
（戸）
（経営体）","畑
（戸）
（経営体）"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
昭和50年,"6,294 ","5,707 ","5,535 ",5 ,167 ,47 ,46 ,1 ,540 ,440 ,5 ,56 ,38 ,"5,939 ",138 ,"5,490 "
55,"6,075 ","5,576 ","5,215 ",196 ,165 ,46 ,45 ,1 ,453 ,369 ,33 ,15 ,36 ,"5,674 ",129 ,"5,052 "
60,"5,862 ","5,425 ","4,832 ",412 ,181 ,42 ,42 , - ,396 ,307 ,13 ,45 ,31 ,"5,232 ",115 ,"4,515 "
平成２年,"5,448 ","5,118 ","4,313 ",720 ,85 ,40 ,39 ,1 ,290 ,269 ,2 ,4 ,15 ,"4,759 ",111 ,"3,591 "
7,"5,006 ","4,691 ","4,375 ",197 ,119 ,36 ,36 , - ,279 ,240 ,3 ,16 ,20 ,"4,196 ",104 ,"2,953 "
12,"4,623 ","4,382 ","3,369 ",316 ,697 ,31 ,31 , - ,211 ,173 ,18 ,1 ,19 ,"3,183 ",71 ,"2,100 "
17,"7,446 ","7,059 ","5,419 ",718 ,921 ,50 ,50 , - ,338 ,215 ,24 ,66 ,33 ,"4,257 ",85 ,"2,323 "
22,"7,032 ","6,649 ","5,056 ",665 ,928 ,40 ,40 , - ,344 ,200 ,4 ,83 ,57 ,"3,441 ",70 ,"2,004 "
27,"6,254 ","5,952 ","5,127 ",417 ,408 ,45 ,45 , - ,257 ,166 ,1 ,54 ,36 ,"2,641 ",54 ,"1,414 "
令和２年,"5,187 ","4,984 ",…,…,…,27 ,27 , - ,176 ,…,…,35 ,…,"1,889 ",36 ,338 
資料 農林水産省「世界農林業センサス・農業センサス」、秋田県「秋田県統計書」「世界農林業センサス・農林業センサス（農林業経営体調査）」,,,,,,,,,,,,,,,,
注） １ 面積は単位未満を四捨五入したもので、計とその内訳の積算値は必ずしも一致しない。,,,,,,,,,,,,,,,,
　　 ２ 平成17年から経営体の概念が変わったため、平成12年までの「農家数」と捉え方が異なる。,,,,,,,,,,,,,,,,
　　 ３ 平成17年から樹園地の内訳項目が無いため、果樹園に全て含んでいる。,,,,,,,,,,,,,,,,
　　 ４ 令和２年から調査対象区分が「個人経営体」に変わったため、平成17年から平成27年までの集計値と対象の捉え方が異なる。,,,,,,,,,,,,,,,,
     ５ 令和２年から畑の集計項目が変わったため、計とその内訳の積算値は一致しない。,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
