１４０　職　業　紹　介　＜ Ⅱ ＞,,,,,,,,,,,
,,,,,,,,,,,
（２）中高年齢者の職業紹介状況（常用計）,,,,,,,,,,,
,,,,各年度間　単位：人,,,,,,,
年度,"新規
求職者数","月間有効
求職者数",紹介件数,就職件数,,,,,,,
平成23年度,"11,345 ","52,165 ","19,798 ","3,231 ",,,,,,,
24,"10,769 ","47,763 ","17,580 ","3,046 ",,,,,,,
25,"9,584 ","43,116 ","15,426 ","3,239 ",,,,,,,
26,"8,882 ","39,215 ","14,172 ","3,010 ",,,,,,,
27,"8,904 ","38,589 ","12,876 ","2,954 ",,,,,,,
28,"8,331 ","37,232 ","12,036 ","2,859 ",,,,,,,
29,"8,428 ","36,990 ","11,245 ","2,818 ",,,,,,,
30,"9,115 ","38,871 ","12,031 ","3,244 ",,,,,,,
令和元年度,"9,140 ","39,193 ","11,144 ","3,207 ",,,,,,,
２,"8,905 ","40,821 ","9,993 ","2,741 ",,,,,,,
資料　秋田公共職業安定所,,,,,,,,,,,
注）  １　本表は、同職安管内分でパートを含む数値である（男鹿出張所を除く。）。,,,,,,,,,,,
　　　２　「常用」とは、雇用期間を定めないもの又は４か月以上の雇用期間が定められているものをいう。,,,,,,,,,,,
　　　３　「新規」とは、新しく登録されたものをいう。,,,,,,,,,,,
　　　４　「有効」とは、月を越して引き続くものをいう。,,,,,,,,,,,
　　　　,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
