１１０　区画整理事業による公共施設等の整備状況,,,,,,,,,
,,,,,,,,,
,,,,,,,,令和３年３月３１日現在,
事業主体別,"施行
地区数","施行面積
（ha）",都市計画道路,,区画道路,,公園,,
,,,延長(ｍ),面積(㎡),延長(ｍ),面積(㎡),箇所数,面積(㎡),
総　数,81 ,"1,488 ","49,571 ","921,626 ","279,423 ","1,954,246 ",132 ,"551,930 ",
秋田市,15 ,702 ,"29,473 ","501,379 ","144,987 ","920,839 ",50 ,"176,879 ",
秋田県,3 ,30 ,582 ,"10,510 ","10,969 ","79,307 ",2 ,"7,660 ",
組　合,9 ,168 ,"3,161 ","41,285 ","37,060 ","259,376 ",19 ,"69,870 ",
個　人,54 ,588 ,"16,355 ","368,452 ","86,407 ","694,724 ",61 ,"297,521 ",
資料　秋田市都市計画課,,,,,,,,,
注）　１　総数値においては、端数調整の関係で内訳合計値と相違する項目がある。,,,,,,,,,
　　　２　区画道路に特殊道路および通路を含む。,,,,,,,,,
