１２１　炭化水素類（HC）濃度の測定結果,,,,,,,,
,,,,,,,,
(１)光化学オキシダントの生成防止のための,,,,,,,,
　　大気中炭化水素濃度の指針との比較,,,,,,,,令和２年度
項　　　目,,,将軍野,,,山王,,
,,,非メタン,メタン,全炭化水素,非メタン,メタン,全炭化水素
測　　　定　　　時　　　間（時間)　　,,,"8,564 ","8,564 ","8,564 ","8,639 ","8,639 ","8,639 "
年　　　平　　　均　　　値（ppmC),,,0.09 ,2.00 ,2.09 ,0.09 ,1.99 ,2.08 
６ ～ ９時における年平均値（ppmC),,,0.09 ,2.01 ,2.09 ,0.10 ,2.00 ,2.10 
６ ～ ９時　測　定　日　数（日),,,360 ,360 ,360 ,364 ,364 ,364 
６～９時３時間平均値の,,,,,,,,
最　　　 高　　 　値（ppmC),,,1.19 ,3.54 ,4.73 ,0.96 ,2.27 ,2.91 
最　　　 低　 　　値（ppmC),,,0.03 ,1.82 ,1.90 ,0.02 ,1.84 ,1.94 
６～９時３時間平均値が,,,,,,,,
　　0.20ppmCを超えた日数（日),,,10 ,-,-,24 ,-,-
　　そ　　の　　割　　合（％),,,2.8 ,-,-,6.6 ,-,-
0.31ppmCを超えた日数（日),,,5 ,-,-,13 ,-,-
そ　　の　　割　　合（％),,,1.4 ,-,-,3.6 ,-,-
,,,,,,,,
(２)非メタンの６～９時における年平均値および,,,,,,,,
    指針値を超えた日数の推移,,,,,,各年度間,,
年　　度,将軍野,,,山王,,,,
,"年平均値
(ppmC)",指針を超えた日数（日）,,"年平均値
(ppmC)",指針を超えた日数（日）,,,
,,0.20ppmC,0.31ppmC,,0.20ppmC,0.31ppmC,,
平成23年度,0.09 ,19 ,3 ,-,-,-,,
24,0.10 ,18 ,13 ,-,-,-,,
25,0.11 ,59 ,28 ,-,-,-,,
26,0.07 ,7 ,0 ,-,-,-,,
27,0.08 ,23 ,4 ,-,-,-,,
28,0.10 ,6 ,2 ,-,-,-,,
29,0.08 ,6 ,1 ,-,-,-,,
30,0.09 ,17 ,6 ,-,-,-,,
令和元年度,0.07 ,6 ,2 ,-,-,-,,
２,0.09 ,10 ,5 ,0.09 ,24 ,13 ,,
資料　秋田市環境保全課,,,,,,,,
注）  １　ガスクロマトグラフ直接法による測定。,,,,,,,,
　　　２　光化学オキシダントの生成防止のための大気中炭化水素濃度,,,,,,,,
　　　　の指針値：６～９時の非メタン炭化水素の３時間平均値が0.20,,,,,,,,
　　　　～0.31ppmC（炭素換算量）の範囲又はそれ以下であること。,,,,,,,,
　 　 ３　令和２年度から山王局で測定開始。,,,,,,,,
