１７２　地方裁判所事件の処理状況,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,各年間,
年次,民事訴訟事件（件),,,民事執行事件（件),,,破産事件（件),,,刑事訴訟事件（件),,,
,新受,既済,未済,新受,既済,未済,新受,既済,未済,新受,既済,未済,
平成24年,403 ,443 ,191 ,892 ,863 ,551 ,312 ,359 ,94 ,202 ,238 ,58 ,
25,300 ,306 ,185 ,879 ,958 ,472 ,213 ,236 ,71 ,162 ,186 ,34 ,
26,228 ,273 ,140 ,815 ,862 ,425 ,242 ,244 ,69 ,174 ,159 ,49 ,
27,249 ,226 ,163 ,805 ,775 ,455 ,253 ,257 ,65 ,146 ,145 ,50 ,
28,223 ,224 ,162 ,796 ,841 ,410 ,230 ,209 ,86 ,179 ,161 ,68 ,
29,278 ,263 ,177 ,861 ,833 ,438 ,276 ,270 ,92 ,185 ,199 ,54 ,
30,224 ,245 ,156 ,769 ,795 ,412 ,296 ,293 ,95 ,205 ,200 ,59 ,
令和元年,238 ,233 ,161 ,816 ,732 ,496 ,318 ,320 ,93 ,208 ,195 ,72 ,
２,216 ,225 ,152 ,845 ,852 ,489 ,216 ,246 ,63 ,156 ,180 ,48 ,
３,181 ,211 ,122 ,934 ,917 ,506 ,228 ,220 ,71 ,116 ,111 ,53 ,
資料　秋田地方裁判所,,,,,,,,,,,,,
　注）１　本表の事件数は秋田地方裁判所(管内の支部を除く)が取り扱ったものである。,,,,,,,,,,,,,
　　　２　民事訴訟事件の数値は行政訴訟事件及び控訴事件を含まない数値である。,,,,,,,,,,,,,
