１１ 地 区 別 人 口 お よ び 世 帯 の 動 向,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,各年１０月１日現在,
地区名,,世　　帯　　数,,,,人　　　　　口,,,,地区名,,世　　帯　　数,,,,人　　　　　口,,,,
,,令和２年,令和３年,増減数,増減率,令和２年,令和３年,増減数,増減率,,,令和２年,令和３年,増減数,増減率,令和２年,令和３年,増減数,増減率,
,,,,,（％）,（人）,（人）,（人）,（％）,,,,,,（％）,（人）,（人）,（人）,（％）,
総　　　　数,,"136,952","137,935 ",983,0.7,"307,672","305,586 ","△ 2,086",△ 0.7,西部地域,西部地域計,"14,135","14,269 ",134,0.9,"34,035","33,764 ",△ 271,△ 0.8,
中央地域,中央地域計,"35,982","36,186 ",204,0.6,"71,313","70,943 ",△ 370,△ 0.5,,新屋,"6,427","6,570 ",143,2.2,"14,990","15,009 ",19,0.1,
,大町,"1,579","1,556 ",△ 23,△ 1.5,"2,697","2,631 ",△ 66,△ 2.4,,勝平,"5,488","5,475 ",△ 13,△ 0.2,"12,870","12,714 ",△ 156,△ 1.2,
,旭北,402,404 ,2,0.5,669,671 ,2,0.3,,浜田,872,880 ,8,0.9,"2,607","2,584 ",△ 23,△ 0.9,
,旭南,"1,302","1,321 ",19,1.5,"2,524","2,536 ",12,0.5,,豊岩,614,617 ,3,0.5,"1,732","1,676 ",△ 56,△ 3.2,
,川元,"1,126","1,130 ",4,0.4,"2,128","2,116 ",△ 12,△ 0.6,,下浜,734,727 ,△ 7,△ 1.0,"1,836","1,781 ",△ 55,△ 3.0,
,川尻,"2,134","2,117 ",△ 17,△ 0.8,"4,904","4,843 ",△ 61,△ 1.2,南部地域,南部地域計,"20,257","20,442 ",185,0.9,"49,919","49,557 ",△ 362,△ 0.7,
,山王,"3,166","3,179 ",13,0.4,"5,821","5,804 ",△ 17,△ 0.3,,牛島東,"2,367","2,368 ",1,0.0,"5,433","5,383 ",△ 50,△ 0.9,
,高陽,"1,081","1,062 ",△ 19,△ 1.8,"1,904","1,854 ",△ 50,△ 2.6,,牛島西,"2,121","2,119 ",△ 2,△ 0.1,"5,162","5,077 ",△ 85,△ 1.6,
,保戸野,"2,649","2,641 ",△ 8,△ 0.3,"5,469","5,394 ",△ 75,△ 1.4,,牛島南,510,514 ,4,0.8,"1,276","1,254 ",△ 22,△ 1.7,
,泉,"4,627","4,641 ",14,0.3,"10,109","10,050 ",△ 59,△ 0.6,,卸町,419,441 ,22,5.3,854,881 ,27,3.2,
