１１１　宅 地 開 発 の 推 移,,,,,,,,,
,,,,,,,,,
,,,,,,,,,各年度間
年度,開発件数,開発行為による公共施設の整備実績,,,,,,,
,,"開発面積
（㎡）",幅員別道路延長（ｍ）,,,公園,,消防水利施設(箇所),
,,,総数,６ｍ未満,６ｍ以上,箇所数,面積(㎡),貯水槽,消火栓
平成23年度, 7 ," 33,584 ", 420 , － , 420 , 2 , 276 , － , 1 
24, 11 ," 43,530 "," 1,051 ", － ," 1,051 ", 3 ," 1,054 ", － , 2 
25, 14 ," 35,688 ", 875 , － , 875 , － , － , － , 3 
26, 11 ," 38,478 ", 858 , － , 858 , 2 , 383 , － , 3 
27, 14 ," 47,660 ", 915 , － , 915 , 3 , 878 , － , 6 
28, 14 ," 74,626 "," 1,716 ", 14 ," 1,702 ", 5 , 771 , － , 4 
29, 5 ," 8,579 ", 151 , － , 151 , 1 , 114 , － , 3 
30, 11 ," 36,079 ", 452 , － , 452 , 1 , 141 , － , 2 
令和元年度, 18 ," 56,070 "," 1,448 ", 20 ," 1,427 ", 4 , 903 , － , 6 
２, 20 ," 69,878 ", 863 , 53 , 809 , 4 , 766 , 2 , 3 
資料　秋田市都市計画課,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
